Breast Oncology	first_name	middle_name	last_name	degrees	title	department	program	username	email
"Sharon M. Hall, Ph.D."	Sharon	M.	Hall	Ph.D.	Professor	Psychiatry	Tobacco Control		
"Bonnie L. Halpern-Felsher, Ph.D."	Bonnie	L.	Halpern-Felsher	Ph.D.	Professor	Pediatrics	Tobacco Control		
"Pamela Ling, M.D., MPH"	Pamela		Ling	"M.D., MPH"	Associate Professor	Medicine	Tobacco Control		
"Ruth E. Malone, Ph.D., RN"	Ruth	E.	Malone	"Ph.D., RN"	"Professor, Vice Chair"	Social and Behavioral Sciences	Tobacco Control		
"Wendy Max, Ph.D."	Wendy		Max	Ph.D.	Professor	Social and Behavioral Sciences	Tobacco Control		
"Ricardo Munoz, Ph.D."	Ricardo		Munoz	Ph.D.	Professor	Psychiatry	Tobacco Control		
"Tung T. Nguyen, M.D."	Tung	T.	Nguyen	M.D.	Professor	Medicine	Tobacco Control		
"Eliseo J. Perez-Stable, M.D."	Eliseo	J.	Perez-Stable	M.D.	Professor	Medicine	Tobacco Control		
"Judith J. Prochaska, Ph.D., MPH"	Judith	J.	Prochaska	"Ph.D., MPH"	Associate Professor	Psychiatry	Tobacco Control		
"Matthew Springer, Ph.D."	Matthew		Springer	Ph.D.	Associate Professor	Medicine	Tobacco Control		
"Hai-Yen Sung, Ph.D."	Hai-Yen		Sung	Ph.D.	Professor	Social and Behavioral Sciences	Tobacco Control		
"Janice Y. Tsoh, Ph.D."	Janice	Y.	Tsoh	Ph.D.	Associate Professor	Psychiatry	Tobacco Control		
