last_name	first_name	degree	username	description
Mahvi	David	MD	dmm685	
Walterhouse	David	MD	dow641	"Dr. David Walterhouse's laboratory studies the function and regulation of the human oncogene GLI1. GLI1 is a zinc finger transcription factor that was first identified as an amplified gene in a subset of malignant gliomas.  GLI1 is expressed in several human cancers, including basal cell carcinoma, medulloblastoma, sarcomas, and prostate carcinoma.  GLI1 is believed to play roles in the genesis of basal cell carcinoma, medulloblastoma, and sarcomas; in tumor progression of sarcomas, and in prostate cancer metastasis.  Dr. Walterhouse's laboratory is interested in mechanisms by which GLI family proteins, including GLI1, GLI2, and GLI3 contribute to tumorigenesis. Transcription activation is believed to be the primary mechanism by which GLI1 contributes to cell transformation and whether other family members can transform cells is under investigation. His laboratory has identified VP-16-like transcription activation domains in GLI family proteins and is identifying specific co-activators that interact with these domains to activate transcription and/or to transform cells. Factors modulating GLI1 transcriptional regulatory activity including Protein Kinase A (PKA), an amino terminal transcriptional inhibitory domain, and the steroidal alkaloid cyclopamine are under investigation. The laboratory has identified downstream targets for GLI1 in the setting of cell transformation, linking GLI1 with cell cycle control.  The laboratory is now identifying GLI1 targets in human cancers, such as medulloblastoma and prostate carcinoma.  During a search for point mutations in glioma-derived GLI1, based on what appeared to be unique activating properties for glioma-derived GLI1, the laboratory identified polymorphisms in the human GLI1 gene and studies are ongoing to determine whether these polymorphisms carry clinical significance in terms of the risk of developing GLI1 related cancers.   The goal of his work is to gain an understanding of the roles GLI1 plays in cancers so that therapeutic agents can one day be developed to treat GLI1-related malignancies."
Channin	David	MD	dsc968	"<p>Dr. Channin was co-leader of the Standards and Interoperability Special Interest Group of the caBIG Imaging Workspace. He contributed to the development of requirements for the Annotations and Image Markup (AIM) project, the purpose of which was to establish a standard for medical image annotation and markup. While the primary focus is the use of this standard in the mark up and annotation of images used in the research space, and in particular image-based cancer clinical trials, the standard must be suitable for use in the annotation and mark-up of all medical images used for clinical and other research tasks. As a member of the RadLex (Radiological Lexicon) Steering committee and co-chair of the Playbook Subcommittee, Dr. Channin developed a canonical lexicon of terms that describe the radiology orderables and procedures used in performing radiological studies. Through the Radiological Society of North America web site, one can capture and retrieve a variety of radiology information sources, such as teaching files, research data, and radiology reports. RadLex will unify and supplement radiology terms in other lexicons, such as the ACR Index, SNOMED, the Unified Medical Language System, the Fleischner Society Glossaries, and DICOM. The terms will be made freely available on the Internet with cross references to other lexicons and standards."
West	Dennis P	PhD	dwe543	
Eklund	Elizabeth	MD	eae607	"<p>Dr. Eklund investigates the molecular mechanisms of myeloid differentiation. Since disruption in the orderly progression of myeloid differentiation results in myeloid malignancies, Dr. Eklund has been determining the regulatory events necessary for successful terminal myeloid differentiation. Identification of the steps involved in normal myelopoiesis is necessary to define the crucial molecular lesions in leukemia and myelodysplasia. Her work has demonstrated that combinations of transcription factors, of variable lineage specificity, interact with elements in myeloid genes to confer lineage and differentiation state specific gene expression. The interaction between these transcription factors is often regulated by the phosphorylation state of the factor. In particular, her current study is focused on homeobox (HOX) genes in myeloid leukemia.  Her investigations also are aimed to determine the identity of the involved kinases and signaling pathways."
Chen	Zongming Eric	"MD, PhD"	ecz500	
Hahn	Elizabeth	MA	eha003	"<p>Ms. Hahn is Assistant Professor of Preventive Medicine and the Institute for Healthcare Studies, Director of the Outcomes Measurement and Survey Core for the RHLCCC, and Director of Biostatistics for the Center on Outcomes, Research and Education at Evanston Northwestern Healthcare. She is a member of the Cancer Control and Prevention: Health Policy and Health Services Research Peer Review Committee for the American Cancer Society (ACS) and a member of the Peer Review Committee for the ACS Institutional Research Grant program for the RHLCCC. In 2003 she served on the Advisory Planning Committee for a Northwestern University conference on health disparities (Addressing Ethnic Disparities in Cancer Care). She is a medical sociologist and biostatistician with expertise in the design, implementation, coordination, and statistical analysis of international clinical trials, survey research studies, and other health services research projects. Her research primarily involves patient-reported outcomes (PROs) in patients with cancer and other chronic illnesses, with a focus on underserved populations and health disparities. She has been principal investigator on research grants funded by AHRQ/NCI, ACS, Coleman Foundation and NHLBI, and co-investigator on research grants funded by ACS, American Heart Association, CDC, NCI, NIAMS, NHLBI, and several foundations. Her research includes the development of a bilingual, multimedia Talking Touchscreen that allows patients with varying literacy levels and computer skills to self-administer PRO questionnaires. By overcoming PRO assessment barriers, the Talking Touchscreen will extend eligibility for future research, allowing for new insight into previously undetected disease or treatment problems among low literacy patients. Using multimedia technologies to collect PRO data also helps increase access of underserved populations to new technologies. The Talking Touchscreen is being used in her most recently funded NHLBI grant, –Refining and Standardizing Health Literacy Assessment” (R01 HL081485). This project will develop computer adaptive testing of health literacy in English and Spanish, and will evaluate the impact of low literacy on cancer screening behaviors."
Perlman	Elizabeth	MD	ejp866	"<p>Dr. Elizabeth Perlman is a clinician scientist whose predominant clinical role is to serve as the central pathology reviewer for the Children's Oncology Group Renal Tumor Committee. In this capacity she reviews all pediatric renal tumors registered on COG protocols in the United States.  In connection with this role, her laboratory research focuses on the large-scale gene expression analysis of pediatric renal tumors, pediatric sarcomas, and pediatric germ cell tumors.  The overall goals of these studies are to define gene expression profiles that serve as diagnostic classifiers, those that serve as predictors of relapse, and those that provide clues to the pathogenesis."
Sontheimer	Erik	PhD	ejs760	"<p>RNA molecules are essential participants in many aspects of cellular function. The Sontheimer lab aims to understand the mechanisms of RNA-mediated steps during eukaryotic gene expression. Dr. Sontheimer's current research is focused on two important pathways: pre-mRNA splicing and RNA silencing. The machinery that removes introns from mRNA precursors is a large macromolecular complex called the spliceosome. Improper regulation of splicing has been shown to lead to certain forms of cancer.  Recently, a new role for RNA has been uncovered in eukaryotic gene expression: double-stranded RNA (dsRNA) molecules trigger the silencing of homologous genes in a phenomenon known as RNA interference (RNAi).  RNAi is an important control pathway that regulates the expression of cellular genes including oncogenes and protects cells from viruses and transposons.  It has also emerged as a broadly applicable experimental approach to determine the functions of novel genes. Finally, RNA silencing is being developed as a potentially powerful therapeutic tool. In collaboration with Richard Carthew, the Sontheimer lab is investigating the biochemical mechanism of RNAi."
Weiss	Eric	PhD	elw264	"<p>Dr. Weiss's laboratory is interested in understanding how protein kinase signaling pathways coordinate cytoskeleton organization, membrane traffic, and gene expression to define cell architecture.  The Weiss lab's present work is concentrated on understanding the functions of p21-activated kinases (PAKs) and the Ndr/warts family kinase Cbk1. The PAKs and Cbk1 play important roles in the cell cycle.  Understanding how any protein kinase relays information requires identification of its regulatory partners and downstream phosphorylation targets.  The Weiss lab is taking diverse approaches to this difficult problem. In addition to well-established genetic and biochemical techniques, this group is applying novel chemical genetic methods for in vivo and in vitro characterization of individual protein kinase functions and targets.  The loss of normal cell architecture control is an important aspect of cancer progression, particularly in development of metastatic and invasive disease.  In a broad sense, Dr. Weiss's work will help determine how morphological control mechanisms work in normal cells and how these processes become deranged in cancer cells, which, in turn, will identify targets for therapeutic agents.  More specifically, Ndr/warts family protein kinases and associated proteins have recently emerged as an important link between cell proliferation control and morphogenesis."
Marsh	Erica E.	"MD, MSCI"	ema212	
Xu	Eugene Y.	PhD	eyx963	
Mauvais-Jarvis	Franck	"MD, PhD"	fma674	
Mulcahy	Mary	MD	fmm757	
Smith	Greg	PhD	gas611	"<p>Dr. Smith's laboratory investigates the pathways of herpesvirus replication and dissemination. Two human herpesviruses are associated with cancer (KSHV and EBV).  In addition, other human herpesviruses including HSV, VZV, and, CMV can cause significant disease in cancer patients with underlying defects in immune function.  The Smith laboratories research is focused on fundamental replication processes used by all herpesviruses to enter cells upon initial infection and to exit cells during the lytic phase of herpesvirus replication.  The major interest of the group is to determine the mechanisms by which herpesviruses co-opt cellular machinery necessary for transport of viral particles within cells. To this end, Dr. Smith has developed novel methods to image individual viral particles in living cells, both of neuronal and epithelial origin.  Since these features of herpesviruses replication are conserved across the family, Dr. Smith's research may result in the development of novel therapeutics directed at targets essential for either the entry or exit of herpesvirus from cells.  Finally, Dr. Smith's research may aide in the development of recombinant vectors to treat cancers of the nervous system."
Dimri	Goberdhan	PhD	gdi570	"<p>Dr. Dimri's laboratory is interested in the role of polycomb group (PcG) proteins in cellular senescence and oncogenesis.  Dr. Dimri's study demonstrated that overexpression of a PcG protein, Bmi-1, in breast epithelial cells leads to induction of enzyme telomerase and cell immortalization. Further investigations are ongoing to examine the mechanism of Bmi-1 upregulation in tumors and cancer cell lines, the molecular basis of  telomerase induction of Bmi-1, and the mechanisms by which Bmi-1 cooperates with other oncogenes.  Furthermore, other PcG family members have non-overlapping functions in regulating senescence and oncogenesis; some members regulate p53-p21 pathway of senescence, while others regulate pRb-p16 pathway of senescence. These proteins cooperate in cellular transformation, affecting each other. Efforts are ongoing to develop reagents that can inhibit the function and/or expression of the diverse pro-oncogenic PcG proteins. Such reagents may help in developing novel strategies to treat breast and other cancers."
Woloschak	Gayle E.	PhD	gew111	"<p>Dr. Woloschak is developing for intracellular use a new type of bio-nanocomposite that has novel functional properties inside cells and in vitro. These nanocomposites are composed of metal oxide (TiO2) nanoparticles (4.5 nm in size, surface coated with glycidyl isopropyl ether) and DNA oligonucleotides bound via dopamine to the nanoparticles. Within the nanocomposites DNA oligonucleotides retain base-pairing specificity, while the TiO2 nanoparticles exhibit photoreactivity. Moreover, TiO2 nanocomposites exhibit semiconducting properties through both constituentsãexcitation of TiO2 (exposure to electromagnetic radiation of energy above 3.2 eV) results in charge separation with accumulation of electrons in metal oxide and irreversible trapping of the electropositive holes in the sugar molecules of the DNA phosphodiester backbone leading to the cleavage of the DNA. She are currently developing these nanoparticles for cancer imaging and therapy. A second project in the laboratory involves understanding the role of the gene encoding proliferating cell nuclear antigen in radiation sensitivity. This work involves studies with the wasted mouse, a model which shows sensitivity to ionizing radiation, immunodeficiency, and motor neuron disease. A final component of the work in the laboratory involves studies of tissues from mice and dogs irradiated with various doses, dose-rates and qualities of ionizing radiation."
Beitel	Greg	PhD	gjb871	"<p>Dr. Beitel's laboratory uses genetic, molecular and biochemical approaches with the model organism Drosophila melanogaster to investigate the mechanisms of vascular tube-size control and cell-cell junction organization. Both these areas have important implications for cancer because the ability to regulate vascular tube size could lead to a new class of anti-angiogenic based anti-cancer therapies and because many cell junction components have functions in cell polarity and growth control that are specifically disrupted in cancerous cells. In the area of tube-size control, the members of the Beitel lab have shown that a particular cell-cell junction which contains known tumor suppressor proteins has a critical role in controlling the size the tubes that delivers oxygen throughout the Drosophila embryo. The lab members have identified several new components of this junction and have shown that this junction is more closely related to human cell-cell junctions than was previous believed. Through collaborations with other labs, the Beitel lab is currently testing whether these proteins have conserved roles in vascular tube-size control or in establishing normal vertebrate cell junctions and polarity. In the area of cell-cell junction organization, the Beitel lab has initiated high throughput screens to identify the networks of interactions between particular protein-protein interaction domains that are prevalent among tumor suppressor and cell signaling proteins. These screens will be done for both the human and Drosophila proteomes, with the experimental manipulability of Drosophila allowing for rapid in vivo validation of conserved interactions. Confirmed interactions will be further analyzed in vertebrate models. Understanding these networks should identify multiple therapeutic intervention strategies to limit the growth of tumor cells."
Gamble	Gail L.	MD	glg377	
Mutlu	Gokhan	MD	gmm806	
Goldberg	Erwin	PhD	goldberg	
Qin	Gangjian	MD	gqi114	
Budinger	G.R. Scott	MD	grb468	
MacVicar	Gary	MD	grm883	"<p>Dr. MacVicar received his fellowship training in GU oncology from the University of Michigan under the renowned prostate cancer researcher, Dr. Kenneth Pienta.  He joined the faculty of Hematology Oncology in 2005 and is one of the newest members of the Prostate Cancer Program. He treats patients with advanced prostate cancer. Dr. MacVicar's research includes studying the clinical fate of circulating tumor cells in prostate cancer patients and the development of novel anti-angiogenesis therapeutic trials in hormone refractory prostate cancer patients."
Rodriguez	Gustavo	MD	grodriguez@enh.org	"<p>Dr. Rodriguez's laboratory is striving to develop an effective pharmacologic approach for the prevention of ovarian cancer. It has been observed that routine use of the combination estrogen-progestin oral contraceptive pill (OCP) confers a remarkable 30-50 percent reduction in the risk of developing subsequent epithelial ovarian cancer, suggesting that an effective cancer preventive approach using contraceptive hormones is possible. They have discovered that the progestin component of OCPs markedly activates well-known cancer preventive molecular pathways such as apoptosis and TGF-beta in the ovarian epithelium. In an analysis of data from the Cancer and Steroid Hormone Study of a large case-control study with approximately 400 women with ovarian cancer and 3,000 matched controls, the team demonstrated that use of a progestin-potent OCP is twice as protective against ovarian cancer as use of a progestin-weak OCP. In fact, use of a progestin-potent oral contraceptive pill for less than 18 months was sufficient to lower the subsequent risk of ovarian cancer by more than 60 percent."
Kansas	Geoffrey	PhD	gsk116	"<p>The Kansas laboratory focuses on two distinct areas of investigation. The first concerns the signaling and transcriptional pathways that control the expression of carbohydrate ligands for selectins on activated T cells. Selectins are carbohydrate-binding adhesion molecules which control the interaction of leukocytes with other leukocytes, platelets, and the endothelium, and as such are critically involved in inflammation, development and cancer metastasis. The Kansas group has defined roles for the transcription factors Stat4 and T-bet, and the major signaling molecule Ras, in controlling the expression of key glycosyltransferases responsible for selectin ligand biosynthesis. The second major area is the developmental biology of plasma cells, terminally differentiated B cells responsible for production of antibody. Dr. Kansas has recently shown that the Stat3 transcription factor is essential for the differentiation of IgG B cells to plasma cells. Remarkably, Stat3 plays no essential role prior to plasma cell development. He is now working to understand why Stat3 is nonredundantly requisite for IgG B cells but not for other isotypes. Based in part on these studies, and in part on the finding of active Stat3 in myeloma cells, additional efforts are directed toward production of a mouse model of myeloma, using constitutively active mutants of Stat3."
Yang	Guang-Yu	"MD, PhD"	gya826	"<p>Dr. Yang is surgical pathologist whose research interests are in the molecular mechanisms and chemoprevention of chronic inflammation-driven carcinogenesis using ulcerative colitis as a model. His group's central focus is studying the key inflammatory factors in driving carcinogenesis and the related molecular signal transduction pathway (mainly inflammation-caused nitro-oxidative stress and the arachidonic acid metabolic pathway) in order to develop an efficient strategy to prevent inflammation-driven carcinogenesis. They have developed a novel chronic inflammation driven carcinogenesis mouse model without using carcinogens (dextran sulfate sodium induced and dietary iron enhanced ulcerative colitis-associated carcinogenesis) which provides a basis for studying the molecular mechanisms and chemoprevention of chronic inflammation-driven carcinogenesis. The group also studies the chemopreventive effects and related molecular targets of antioxidants, N-acetylcystein, COX-2 inhibitor/s, and inositol compounds.  Future studies will develop efficient chemopreventive strategies and useful biomarker/s to prevent inflammation-induced cancer."
Locker	Gershon	MD	gylocker	"<p>Dr. Locker is a senior oncologist at Evanston Northwestern Healthcare and Professor of Medicine at the Feinberg School of Medicine. His research focuses on the genetic basis of colorectal cancer (CRC) in Ashkenazi Jews. He recently completed a study of the clinical significance of the I1307K APC mutation on the chromosome 5q, which is found in Ashkenazi Jews and is associated with an increased risk of colon cancer. In collaboration with Dr. Kaul, an assay for testing this mutation in archival material was developed and testing is ongoing on tumor blocks and slides of those who have died of colon cancer. Future studies will include an exploration of Ashkenazi families with colorectal cancer to determine whether the I1307K mutation may be associated with other malignancies as some preliminary findings suggest. Further studies of the cofactors leading to expression of this low penetrance gene are planned."
Ardehali	Hossein	"MD, PhD"	har776	"<p>The major focus of Dr. Ardehali's laboratory is to study the role of mitochondria in protection against cell death. His laboratory is currently working on three major topics: (1) Analysis of the role of the mitochondrial ATP-binding cassette protein-1 (mABC1) in cellular protection. mABC1 is a mitochondrial membrane protein, whose function is not characterized.  (2) Analysis of the role of adenine nucleotide translocator (ANT) in cell death and survival. ANT is a mitochondrial inner membrane protein. Its role in cellular protection and death is also controversial. (3) Hexokinases and mitochondrial integrity. Hexokinases bind to the mitochondrial membrane and prevent translocation of pro-apoptotic molecules (such as Bax) into the mitochondria.  The long-term goal of these studies is to better understand cellular metabolic changes that are associated with apoptotic responses.  These studies should provide unique information about cancer cells protected against apoptosis."
Folsch	Heike	PhD	hfo171	"<p>Dr. Folsch's research interests are to understand the molecular mechanisms involved in establishment and maintenance of cellular polarity as loss of polarity is a prerequisite of metastatic cancer derived from epithelial cells.  Work in the Folsch lab centers around the epithelial-specific clathrin-adaptor complex AP-1B, which plays a pivotal role in basolateral delivery of transmembrane proteins along the biosynthetic and endocytic pathways.  Currently the lab focuses on the molecular mechanisms of vesicle formation and fusion. This research encompasses the analysis of mutant forms of AP-1B and small GTPases such as Rab13 and Arf6, which regulate the AP-1B pathway.  By better understanding the process by which epithelial cells maintain polarity, the lab will shed light on how epithelial cells become depolarized in metastatic cancer."
Munshi	Hidayatullah	MD	hgm988	"<p>One of the projects in Dr Munshi's lab focuses on understanding the role of fibrosis in pancreatic cancer progression. Fibrosis, also known as desmoplastic reaction, is a very prominent feature of almost all human pancreatic tumors, and earlier reports suggested that this desmoplasia in fact contributed to pancreatic cancer progression. Dr. Munshi's group recently demonstrated that the pancreatic cancer cells adjacent to the areas of fibrosis exhibit increased expression of a key protease, membrane type 1 matrix metalloproteinase (MT1-MMP). The goal of this project is to understand how the desmoplastic reaction increases the expression of MT1-MMP in the cancer cells, thus enabling the pancreatic cancer cells to invade through a collagen-rich extracellular matrix. Since Dr. Munshi's research has shown that the desmoplastic reaction can induce TGF-_1 expression by pancreatic cells, current studies are aimed at understanding the detailed signaling pathways involved in matrix-mediated TGF-_1 expression. Additionally, the lab is also examining how TGF-_1 regulates MT1-MMP expression, in particular focusing on the role of Snail family of transcription factors. Finally, in collaboration with Dr Paul Grippo, Dr. Munshi has also begun experiments using transgenic mice to examine the contribution of MT1-MMP to tumor formation and progression in the in vivo pancreatic microenvironment."
Kamp	David	MD	hidk	"<p>Dr. Kamp is Professor Medicine in the Division of Pulmonary and Critical Care Medicine. His research focuses on mechanisms of alveolar epithelial cell apoptosis by asbestos and air-borne particulate matter (focus is on free radicals, the mitochondria, p53, and mitochondrial DNA repair). He is the PI of a VA Merit Award focusing on p53-mediated mechanisms underlying asbestos-induced alveolar epithelial cell mitochondrial dysfunction and apoptosis by examining the role of p53-dependent transcription pathways and BH3-only like proteins as well as upstream signaling modulated by mitochondrial DNA repair and ataxia telangiectasia mutated (ATM) kinase activation, and PI of a project on a program project in which he is examining the pathophysiology of alveolar epithelial lung injury."
Kiyokawa	Hiroaki	"MD, PhD"	hki884	"<p>Dr. Kiyokawa is interested in the role of cell cycle-regulatory proteins in oncogenesis.  His goal is to understand molecular interactions that coordinate proliferation and cell fates such as differentiation, senescence and transformation.  His laboratory also creates genetically engineered mouse models including models for breast cancer. They discovered that the G1-cyclin-dependent kinase CDK4 is dispensable for proliferation; however, CDK4 is essential for transformation.  CDK4-knockout mice are resistant to HER2/neu-induced mammary tumorigenesis.  The laboratory also found that cellular expression levels of CDC25A, which is a CDK activator, determine the rate of transformation.  Downregulating CDC25A upon DNA damage is critical for checkpoint.  Transgenic mice overexpressing CDC25A exhibit higher sensitivity to HER2/neu-induced tumorigenesis, while CDC25A heterozygous knockout mice display a marked delay in HER2/neu-induced tumorigenesis.  These studies provide insights into therapeutic intervention targeted on the cell cycle machinery."
Li	Honglin	PhD	hli958	
Holmgren	Robert	PhD	holmgren	"<p>The Holmgren laboratory studies pattern formation during animal development, focusing on the Hedgehog (Hh) signal transduction pathway and its role in patterning Drosophila segments and imaginal discs.  This pathway is conserved in vertebrates and used in the development of numerous tissues and organs.  Inappropriate activation of this pathway plays a central role in several important cancers.  Dr. Holmgren identified the transcription factor Cubitus interruptus (Ci) as the primary target of Hh signaling in Drosophila.  The laboratory is now trying to understand how the Hedgehog signaling pathway regulates different aspects of Ci function.  In more recent work, the Holmgren laboratory has established a collaboration with Dr. Matouschek to study the proteolytic processing of Ci by the proteasome.  Collaborative studies with Drs. Bushman and Iannaccone have been initiated on a coculture system using a human prostate tumor cell line and immortalized mouse urogenital sinus mesenchyme cells to study Hedgehog signaling in prostate cancer.  These studies address important issues in developmental biology and provide a basis for understanding the alterations in this pathway that give rise to cancer."
Nimeiri	Halla S.	MD	hsn718	
Pinkett	Heather W.	PhD	hwp673	
Schnaper	H. William	MD	hws124	"<p>Dr. Schnaper's laboratory investigates the basic signal transduction mechanisms involved in signaling by transforming growth factor (TGF)-beta. This multifunctional cytokine, which has been implicated in the regulation of cell division and differentiation, plays a key role in regulating cellular neoplastic transformation and metastatic behavior. Using as a model epithelial-to-mesenchymal transition (EMT) and type I collagen production by human kidney cells, the Schnaper lab has determined that a large number of signaling pathways interact with the classical TGF-beta target signaling molecules, known as Smads. These additional pathways include those mediated by the ERK mitogen-activated protein kinase, protein kinase C and phosphaditylinositol-3-kinase/Akt. Recently the group found that TGF-beta rapidly induces cytoskeletal rearrangement, leading to the determination that the Rho-family GTPase, RhoA, is rapidly activated by TGF-beta and mediates EMT. While most of the studies in the lab examine the role of signal transduction molecules in the cytoplasm, additional studies have examined the role of nuclear transcription factors and of events at the cell membrane involving adaptor molecules that facilitate the interaction of Smad proteins with the TGF-beta receptor. These studies suggest that cellular phenotype may be an important determinant of downstream effects of TGF-beta, and define a complex pattern of signaling interactions that regulate normal vs. abnormal cell function."
Radhakrishnan	Ishwar	PhD	ira124	"<p>Research efforts in the Radhakrishnan lab are focused on understanding the molecular mechanisms of eukaryotic transcription regulation at multiple levels including sequence-specific DNA-binding, recruitment of coregulators, and assembly of multi-component nucleoprotein and chromatin-modifying complexes.  Mis-regulated transcription characterizes the pathology of a variety of diseased states including many forms of cancer and clarifying the structural basis governing normal and aberrant macromolecular associations can lead to a better understanding of the regulatory mechanisms at a fundamental level."
Szleifer	Igal G	PhD	ise376	
Budunova	Irina V.	"MD, PhD"	ivb534	"<p>Dr. Budunovaês majors research focus is alteration of cell signaling during tumorigenesis as the basis for the development of new approaches to prevention and treatment of cancer. Her current projects are centered on the role of glucocorticoid receptor (GR) and its cross-talk with other transcription factors including the key anti-inflammatory and anti-apoptotic factor NF-kB, in skin and prostate tumor formation. She is also interested in the role of GR signaling in the maintenance of skin stem cells and in the role of stem cells in skin cancer resistance."
Kourkine	Igor	PhD	ivk770	
Cotliar	Jonathan	MD	jac614	
Kessler	John	MD	jak138	"<p>Dr. John Kessler's group studies the mechanisms underlying proliferation and differentiation of neural stem and progenitor cells. They are particularly interested in the role of the BMPs in neuronal and glial differentiation, and in defining the intracellular signaling pathways that mediate exit from cell cycle and lineage commitment by stem cells.  Dr. Kessler is a neurologist with interests in developing regenerative strategies for disease of the nervous system.  Peripheral neuropathy is the dose-limiting side effect of many chemotherapeutic agents. Dr. Kessler's group has devised animal models of such neuropathies (e.g. vincristine, cisplatin, or taxol induced neuropathies) and has developed techniques for preventing or ameliorating them using neural growth factors."
Altman	Jessica	MD	jal286	
Jameson	J. Larry	"MD, PhD"	jameson	"<p>Dr. Jameson is an internationally known endocrinologist and past president of the Endocrine Society.  The Jameson lab focuses on diseases associated with nuclear receptors. In recent years, Dr. Jameson's laboratory has focused on 3 main aspects of nuclear receptor function: 1) The role of the estrogen receptor in breast, ovarian, and uterine function under normal and pathological conditions such as cancer. In particular, his laboratory has used genetic models in mice to explore estrogen receptor signaling through nonclassical signaling pathways that do not require binding directly to estrogen response elements (EREs); 2) The role of steroidogenic factor 1(SF1) in adrenal and gonadal development. Dr. Jameson's laboratory also have identified human mutations in SF1 and have generated mouse models to examine SF1 function during development; 3) The role of the orphan nuclear receptor DAX1 in reproduction. In addition to these projects, Dr. Jameson's group is investigating gene therapy strategies and animal models useful for the treatment of pituitary tumors."
Brickner	Jason	PhD	jbl357	"<p>Dr. Brickner's research is focused on how the localization of DNA within the nucleus affects transcription.  Brickner initially established that the localization of one gene, INO1, in the baker's yeast relocalizes from a random distribution to the nuclear periphery upon activation.  This relocalization is controlled by the same factors that regulate transcription and this recruitment to the nuclear membrane appears to be important for activation.  Subsequent work has identified a large number of genes regulated in this way.  The laboratory now seeks to understand how subnuclear environment is important in regulating transcription and how DNA localization is established and controlled.  These studies will change our understanding of transcriptional regulation and may highlight the importance of chromosomal context and folding in affecting the exposure of resident genes to specialized environments.  Transcriptional regulation is fundamentally involved in differentiation and oncogenesis.  A cellular understanding of this process will likely illuminate how normal regulation is disrupted during oncogenesis and how this process is coupled to the phenomenon of genomic instability."
Schink	Julian C.	MD	jcs643	"<p>Dr. Schink is Professor of Obstetrics and Gynecology, Division Chief for Gynecologic Oncology and Associate Director of Clinical Affairs for the RHLCCC. He joined the faculty at Northwestern University in 2005, and is actively involved in research to identify cost effective strategies for preventing or detecting cervical cancer in a limited resource environment.  He is a co-investigator on Project 1 of the Center for Cancer Nanotechnology Excellence (U54) to develop an ultrasensitive bar code assay for measurement of inhibin to detect recurrent ovarian cancer earlier that conventional assays. This research has significant implications for early detection strategies for ovarian cancer as well. Dr. Schink also participates in a number of Gynecologic Oncology Group (GOG) cooperative group clinical trials studying treatment strategies for women with gynecological malignancy."
Schink	Julian C	PhD	jcs643	
Crispino	John D.	PhD	jdc246	"<p>Research in my lab is focused on investigating the regulatory mechanisms governing normal and malignant blood cell development, with an emphasis on understanding the growth of erythroid cells (red blood cells) and megakaryocytes (platelet-producing cells).  In addition, we are greatly interested in learning how changes in normal essential regulatory molecules lead to human blood diseases, including leukemias, myelodysplastic syndromes (MDS) and myeloproliferative diseases (MPD).  Finally, we aim to develop novel therapeutics for these malignancies."
Licht	Jonathan	MD	jdl533	"<p>The goal of Dr. Licht's program is to understand how mutations of transcriptional regulators may set up patterns of aberrant gene expression that lead to cancer.  Dr. Licht's aim is to identify new therapeutic targets, examining the roles of these factors in cellular functions, as well as in transcriptional control of downstream targets with critical binding partners.  The first target, the WT1 gene, is mutated in Wilms' tumor and implicated in the pathogenesis of leukemia.  Dr. Licht showed that WT1 can act as both a transcriptional repressor and an activator. Efforts are ongoing to identify Wt1 target genes relevant for tumor suppression.  The second target, Sprouty, likely represents a counter-regulatory signaling molecule that limits the effects of signaling through receptor tyrosine kinases.  Dr. Licht's research also addresses the biology of acute promyeloctyic leukemia (APL) and multiple myeloma (MM), investigating disease-associated alterations in transcriptional control by PLZF and MMSET.  Furthermore, translational research projects using patientsê specimens are ongoing to better understand the mechanism of myeloproliferative disorders (MPD)."
Patel	Jyoti D.	MD	jdp561	"Dr. Jyoti D. Patel&#8217;s primary focus has been in the treatment of thoracic 
        malignancies. She has been active in the clinical development of agents 
        targeted to the EGFR in non-small cell lung cancer. She has been involved 
        in the incorporation of these agents as part of induction therapy and 
        in a specific type of lung tumor, bronchioloalveolar carcinoma. Given 
        early reports of increased activity noted in women, she is interested 
        in finding other targets of action that are either unique to women or 
        overexpressed in women. Furthermore, because lung cancer seemingly has 
        a different biology in women, she is interested in differences in susceptibility 
        as well as survival. She is interested in advocacy for those affected 
        by lung cancer. She sees screening patients who are at high risk, educating 
        young men and women about the harmful effects of tobacco smoke to ensure 
        a population that is not addicted, and providing support for those who 
        are trying to quit smoking all functions of her role as a thoracic oncologist."
Koblinski	Jennifer	PhD	jek902	
Stoddart	James	"DSc, PhD"	jfs928	
GarcÍa-A_overos	Jaime	PhD	jga275	"<p>Dr. GarcÍa-A_overos is Assistant Professor in the Departments of Anesthesiology, Physiology and Neurology, and Fellow with the Hugh Knowles Center for Hearing Research at Northwestern University's Institute for Neuroscience. His laboratory explores the molecular mechanisms of pain sensation. He and his colleagues have identified several ion channels expressed in pain-sensing neurons that may allow them to detect painful stimuli like those produced by tissue damage, deformations, and tumors. One of these is TRPA1. They now have mice with mutations in TRPA1 and other potential pain-mediating genes. These mutant animals have reduced sensitivity to various forms of pain. One of Dr. GarcÍa-A_overosê goals is to determine what receptor channels specifically mediate several clinical relevant forms of pain, like the pain produced by bone fracture, tumors, or chemotherapy. His laboratory has and is generating mutant mice to test them with assays in collaboration with Drs. Mantyh (University of Minnesota) and Apkarian, as they have developed and are developing animal models to elicit these kinds of pain. The ultimate goal of these studies would be to identify specific molecular targets for treating different forms of pain."
