Abbreviated Journal Title;ISSN;{2008} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2008} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
CELL BIOL TOXICOL;0742-2091;897;2.155;2.152;0.338;77;7.1;0.00214;0.584;
CELL CALCIUM;0143-4160;4018;4.481;4.366;0.926;108;4.9;0.02101;1.742;
CELL CHEM TECHNOL;0576-9787;385;0.262;0.331;;;>10.0;0.00053;0.089;
CELL COMMUN ADHES;1541-9061;312;1.244;1.586;0.100;30;5.5;0.00176;0.622;
CELL CYCLE;1538-4101;6876;4.120;;0.610;518;2.6;0.06341;;
CELL DEATH DIFFER;1350-9047;10309;7.548;8.399;2.160;206;4.1;0.06288;3.501;
CELL HOST MICROBE;1931-3128;618;7.436;7.436;2.337;89;1.2;0.00486;3.984;
CELL IMMUNOL;0008-8749;3661;1.893;1.917;0.643;56;>10.0;0.00662;0.651;
CELL METAB;1550-4131;4463;16.107;17.974;3.653;98;2.5;0.04806;9.508;
CELL MICROBIOL;1462-5814;5393;5.598;5.499;1.340;209;3.2;0.03485;2.098;
CELL MOL BIOL LETT;1425-8153;734;1.454;1.538;0.269;52;4.5;0.00311;0.422;
CELL MOL BIOL;0145-5680;1793;1.333;1.374;;;8.0;0.00419;0.407;
CELL MOL LIFE SCI;1420-682X;11354;5.511;5.457;0.970;302;4.6;0.06247;2.172;
CELL MOL NEUROBIOL;0272-4340;2032;2.550;2.693;0.387;93;5.6;0.00747;0.848;
CELL MOTIL CYTOSKEL;0886-1544;2759;2.625;2.880;0.658;76;8.9;0.00946;1.317;
CELL ONCOL;1570-5870;352;3.383;3.111;0.696;23;2.6;0.00229;0.955;
CELL PHYSIOL BIOCHEM;1015-8987;1604;3.246;3.459;0.302;126;3.6;0.00679;0.896;
CELL POLYM;0262-4893;231;0.567;0.735;0.053;19;>10.0;0.00049;0.268;
CELL PRESERV TECHNOL;1538-344X;84;0.370;;0.294;17;;0.00042;;
CELL PROLIFERAT;0960-7722;1069;2.423;2.927;0.582;79;5.2;0.00455;0.995;
CELL RES;1001-0602;2218;4.535;4.087;2.235;102;3.1;0.01505;1.643;
CELL SIGNAL;0898-6568;5866;4.305;4.321;0.871;240;4.0;0.03246;1.656;
CELL STEM CELL;1934-5909;1232;16.826;16.826;4.760;96;1.2;0.01255;12.309;
CELL STRESS CHAPERON;1355-8145;1414;2.238;3.241;0.320;50;6.4;0.00460;1.063;
CELL STRUCT FUNCT;0386-7196;1094;2.152;2.684;0.667;21;7.8;0.00259;1.192;
CELL TISSUE RES;0302-766X;8730;2.740;2.938;0.685;200;9.4;0.02136;0.992;
CELL TRANSPLANT;0963-6897;2703;5.251;3.793;0.556;117;4.4;0.00812;0.841;
CELL;0092-8674;142064;31.253;30.149;6.126;348;8.8;0.67211;18.876;
CELLS TISSUES ORGANS;1422-6405;1222;2.376;2.362;0.288;66;5.0;0.00558;0.828;
CELLULOSE;0969-0239;1052;1.844;1.985;0.247;81;5.7;0.00339;0.575;
CEPHALALGIA;0333-1024;6070;3.686;4.789;0.554;177;5.6;0.01569;1.089;
CEREB CORTEX;1047-3211;13154;5.907;6.939;1.619;270;5.4;0.06798;3.128;
CEREBELLUM;1473-4222;617;3.847;3.105;0.143;70;3.2;0.00349;0.916;
CHEM ANAL-WARSAW;0009-2223;550;0.564;0.517;0.014;73;8.1;0.00105;0.115;
CHEM BIOCHEM ENG Q;0352-9568;211;0.346;0.510;0.018;57;5.1;0.00063;0.116;
CHEM BIODIVERS;1612-1872;1185;1.659;1.811;0.246;211;2.8;0.00739;0.534;
CHEM BIOL DRUG DES;1747-0277;520;2.375;2.375;0.391;115;2.1;0.00283;0.638;
CHEM BIOL;1074-5521;7423;5.603;5.743;1.272;125;5.7;0.03350;2.314;
CHEM COMMUN;1359-7345;73913;5.340;4.997;1.088;1618;6.2;0.23860;1.566;
CHEM ECOL;0275-7540;409;0.838;;0.049;61;5.0;0.00163;;
CHEM ENG COMMUN;0098-6445;1356;0.585;0.564;0.163;104;>10.0;0.00206;0.175;
CHEM ENG J;1385-8947;5417;2.813;2.773;0.461;647;4.8;0.01843;0.765;
CHEM ENG NEWS;0009-2347;1312;0.370;0.311;0.126;435;5.3;0.00557;0.111;
CHEM ENG PROCESS;0255-2701;2010;1.518;1.721;0.279;262;4.8;0.00800;0.530;
CHEM ENG PROG;0360-7275;1355;0.408;0.347;0.148;54;>10.0;0.00080;0.122;
CHEM ENG RES DES;0263-8762;2657;0.989;1.003;0.088;148;>10.0;0.00606;0.368;
CHEM ENG SCI;0009-2509;19895;1.884;2.177;0.351;507;8.8;0.04452;0.666;
CHEM ENG TECHNOL;0930-7516;1925;0.923;1.086;0.142;219;5.4;0.00744;0.351;
CHEM ENG-NEW YORK;0009-2460;185;0.088;0.101;0.015;65;>10.0;0.00025;0.032;
CHEM ERDE-GEOCHEM;0009-2819;328;1.139;2.036;0.214;28;5.5;0.00174;0.943;
CHEM GEOL;0009-2541;13887;3.531;4.227;0.840;238;8.6;0.04243;1.780;
CHEM IND-LONDON;0009-3068;1078;0.220;0.173;0.146;89;>10.0;0.00040;0.041;
CHEM J CHINESE U;0251-0790;2687;0.592;0.551;0.080;540;4.9;0.00533;0.085;
CHEM LETT;0366-7022;14523;1.478;1.630;0.272;611;7.7;0.03975;0.500;
CHEM LISTY;0009-2770;494;0.593;0.538;0.103;97;5.5;0.00081;0.077;
CHEM MATER;0897-4756;51245;5.046;5.932;0.910;1033;5.7;0.18143;1.867;
CHEM NAT COMPD+;0009-3130;1233;0.468;0.506;0.079;189;>10.0;0.00149;0.085;
CHEM PAP;0366-6352;518;0.758;0.578;0.126;95;6.4;0.00134;0.148;
CHEM PHARM BULL;0009-2363;11964;1.623;1.584;0.249;357;>10.0;0.01411;0.367;
CHEM PHYS CARBON;0069-3138;386;;3.857;0.250;4;>10.0;0.00018;1.162;
CHEM PHYS LETT;0009-2614;53154;2.169;2.341;0.428;1195;8.7;0.14074;0.832;
CHEM PHYS LIPIDS;0009-3084;3278;2.647;2.435;0.400;85;9.1;0.00732;0.789;
CHEM PHYS;0301-0104;12225;1.961;1.914;0.545;415;8.8;0.03430;0.730;
CHEM PROCESS ENG-INZ;0208-6425;153;0.199;0.139;0.000;76;5.5;0.00029;0.021;
CHEM REC;1527-8999;904;3.477;4.051;0.323;31;4.6;0.00505;1.442;
CHEM RES CHINESE U;1005-9040;399;0.408;0.357;0.041;169;3.7;0.00114;0.063;
CHEM RES TOXICOL;0893-228X;8736;3.491;3.525;0.907;248;6.7;0.02130;0.925;
CHEM REV;0009-2665;69560;23.592;28.577;3.635;159;8.3;0.20271;11.123;
CHEM SENSES;0379-864X;3277;3.041;2.436;0.737;76;6.9;0.00970;0.776;
CHEM SOC REV;0306-0012;12305;17.419;17.730;3.668;187;4.5;0.05401;6.377;
CHEM SPEC BIOAVAILAB;0954-2299;214;0.645;0.895;0.043;23;8.3;0.00045;0.233;
CHEM TECH FUELS OIL+;0009-3092;160;0.127;0.135;0.000;83;>10.0;0.00037;0.039;
CHEM UNSERER ZEIT;0009-2851;191;0.279;0.409;0.167;30;9.4;0.00029;0.081;
CHEM VAPOR DEPOS;0948-1907;939;1.483;1.688;0.091;44;5.0;0.00437;0.579;
CHEM WORLD-UK;1473-7604;246;0.355;0.515;0.101;79;3.5;0.00195;0.190;
CHEM-ASIAN J;1861-4728;1194;4.197;4.197;0.941;202;1.7;0.00766;1.452;
CHEM-BIOL INTERACT;0009-2797;4650;3.077;2.947;0.287;216;7.3;0.01055;0.740;
CHEM-EUR J;0947-6539;31230;5.454;5.335;1.066;1174;4.2;0.14511;1.722;
CHEM-ING-TECH;0009-286X;873;0.315;0.308;0.150;153;9.5;0.00189;0.085;
CHEMBIOCHEM;1439-4227;5556;3.322;3.684;0.742;376;3.6;0.03609;1.367;
CHEMMEDCHEM;1860-7179;1100;3.150;3.150;0.645;200;1.8;0.00648;0.951;
CHEMOECOLOGY;0937-7409;622;1.446;1.542;0.520;25;6.9;0.00202;0.596;
CHEMOMETR INTELL LAB;0169-7439;3625;1.940;2.232;0.471;104;8.4;0.00727;0.619;
CHEMOSENS PERCEPT;1936-5802;1;;;0.030;33;;0.00000;;
CHEMOSPHERE;0045-6535;25916;3.054;3.445;0.399;1066;5.3;0.07718;0.847;
CHEMOTHERAPY;0009-3157;1210;1.515;1.452;0.394;71;7.7;0.00218;0.302;
CHEMPHYSCHEM;1439-4235;6599;3.636;3.739;0.615;351;3.5;0.04463;1.427;
CHEST;0012-3692;41112;5.154;5.100;1.430;388;7.2;0.11173;1.516;
CHINESE J ANAL CHEM;0253-3820;1649;0.633;0.482;0.073;369;3.9;0.00293;0.058;
CHIRALITY;0899-0042;2595;2.212;2.232;0.798;124;5.9;0.00772;0.637;
CHROMATOGRAPHIA;0009-5893;3932;1.312;1.215;0.123;359;7.4;0.00915;0.313;
CHROMOSOMA;0009-5915;3383;5.111;4.202;1.300;50;>10.0;0.01128;2.138;
CIRC RES;0009-7330;39873;9.989;10.445;1.700;320;6.9;0.14810;4.230;
CIRCULATION;0009-7322;143852;14.595;13.538;2.647;607;6.7;0.48312;4.794;
CLIN ANAT;0897-3806;1129;0.778;0.963;0.241;116;5.7;0.00338;0.256;
CLIN APPL THROMB-HEM;1076-0296;673;1.421;1.525;0.210;62;4.7;0.00221;0.353;
CLIN AUTON RES;0959-9851;914;1.517;1.494;0.212;52;6.6;0.00263;0.452;
CLIN BIOCHEM;0009-9120;3635;1.926;2.357;0.288;233;5.0;0.01173;0.621;
CLIN BIOMECH;0268-0033;4063;2.000;2.416;0.270;174;7.0;0.01128;0.711;
CLIN BREAST CANCER;1526-8209;975;2.427;;0.227;75;4.1;0.00447;;
CLIN CANCER RES;1078-0432;46744;6.488;6.646;1.022;1019;4.3;0.21531;2.023;
CLIN CARDIOL;0160-9289;2056;1.211;1.139;0.204;93;8.9;0.00444;0.349;
CLIN CHEM LAB MED;1434-6621;3401;1.888;1.917;0.312;266;4.6;0.01237;0.487;
CLIN CHEM;0009-9147;23068;5.579;6.108;1.283;237;8.6;0.05355;1.816;
CLIN CHEST MED;0272-5231;1659;2.357;2.168;0.269;52;7.6;0.00479;0.772;
CLIN CHIM ACTA;0009-8981;9437;2.960;2.806;0.449;294;6.6;0.02586;0.758;
CLIN COLORECTAL CANC;1533-0028;513;2.724;;0.245;49;3.3;0.00262;;
CLIN DERMATOL;0738-081X;1668;2.377;2.299;0.191;68;6.9;0.00439;0.598;
CLIN DEV IMMUNOL;1740-2522;239;1.647;;0.261;23;3.4;0.00146;;
CLIN DRUG INVEST;1173-2563;805;1.301;0.986;0.316;76;5.5;0.00199;0.214;
CLIN DYSMORPHOL;0962-8827;496;0.521;0.611;0.243;70;8.0;0.00130;0.222;
CLIN EEG NEUROSCI;1550-0594;164;1.151;1.282;0.125;40;2.9;0.00112;0.406;
CLIN ENDOCRINOL;0300-0664;10244;3.398;3.791;0.718;273;7.3;0.02516;1.044;
CLIN EXP ALLERGY;0954-7894;9128;3.556;3.965;0.811;201;6.1;0.02779;1.150;
CLIN EXP DERMATOL;0307-6938;3376;1.779;1.730;0.232;155;7.2;0.00749;0.433;
CLIN EXP HYPERTENS;1064-1963;1054;1.079;1.149;0.197;71;9.6;0.00201;0.338;
CLIN EXP IMMUNOL;0009-9104;10655;2.853;2.855;0.668;250;7.9;0.02822;0.899;
CLIN EXP MED;1591-8890;336;1.965;1.913;0.029;34;3.9;0.00173;0.525;
CLIN EXP METASTAS;0262-0898;2273;2.905;3.222;0.773;88;6.1;0.00705;0.981;
CLIN EXP OPHTHALMOL;1442-6404;1303;1.347;1.484;0.440;109;4.2;0.00594;0.439;
CLIN EXP OPTOM;0816-4622;482;1.031;;0.431;58;4.8;0.00190;;
CLIN EXP PHARMACOL P;0305-1870;4067;2.196;1.978;0.400;235;6.4;0.01169;0.573;
CLIN EXP RHEUMATOL;0392-856X;4338;2.364;2.312;0.232;237;5.9;0.01087;0.521;
CLIN GASTROENTEROL H;1542-3565;4579;6.068;;0.958;190;2.8;0.02908;;
CLIN GENET;0009-9163;4406;3.206;3.204;0.609;128;6.9;0.01530;1.152;
CLIN GENITOURIN CANC;1558-7673;159;1.722;;0.200;25;2.3;0.00096;;
CLIN GERIATR MED;0749-0690;1044;1.098;1.332;0.444;45;7.6;0.00183;0.352;
CLIN HEMORHEOL MICRO;1386-0291;1108;1.814;1.403;0.225;111;4.5;0.00199;0.189;
CLIN IMAG;0899-7071;943;0.778;1.017;0.093;86;6.5;0.00251;0.279;
CLIN IMMUNOL;1521-6616;5630;3.606;3.492;0.882;186;6.4;0.01867;1.178;
CLIN IMPLANT DENT R;1523-0899;1003;1.782;;0.212;33;5.3;0.00507;;
CLIN INFECT DIS;1058-4838;37895;8.266;7.422;2.379;517;5.4;0.13735;2.345;
CLIN INVEST MED;0147-958X;612;0.905;0.970;0.105;38;>10.0;0.00114;0.309;
CLIN J AM SOC NEPHRO;1555-9041;1733;4.361;4.367;0.941;256;1.9;0.00952;1.259;
CLIN J PAIN;0749-8047;3384;2.889;3.626;0.477;111;6.5;0.00872;0.973;
CLIN J SPORT MED;1050-642X;1562;1.595;2.221;0.233;86;5.9;0.00514;0.666;
CLIN LAB HAEMATOL;0141-9854;861;1.304;1.238;;0;6.9;0.00196;0.310;
CLIN LAB MED;0272-2712;710;1.385;1.605;0.140;43;5.8;0.00241;0.488;
CLIN LAB;1433-6510;603;1.261;;0.049;41;4.8;0.00231;;
CLIN LUNG CANCER;1525-7304;584;2.393;;0.197;61;3.3;0.00287;;
CLIN LYMPHOMA MYELOM;1557-9190;275;1.596;1.735;0.095;63;2.3;0.00189;0.551;
CLIN LYMPHOMA;1557-9190;275;1.596;1.735;0.095;63;2.3;0.00189;0.551;
CLIN MED;1470-2118;656;1.217;1.228;0.118;85;4.5;0.00310;0.398;
CLIN MICROBIOL INFEC;1198-743X;4808;3.554;3.283;1.198;222;3.7;0.02338;0.989;
CLIN MICROBIOL REV;0893-8512;9307;16.409;17.283;1.946;37;7.5;0.02593;6.123;
CLIN NEPHROL;0301-0430;3361;1.413;1.620;0.175;154;8.6;0.00609;0.390;
CLIN NEUROL NEUROSUR;0303-8467;1770;1.323;1.523;0.172;198;6.2;0.00462;0.386;
CLIN NEUROPATHOL;0722-5091;757;1.200;1.142;0.068;44;9.4;0.00157;0.347;
CLIN NEUROPHARMACOL;0362-5664;1962;2.547;2.552;0.228;57;7.8;0.00381;0.593;
CLIN NEUROPHYSIOL;1388-2457;8590;2.972;3.411;0.619;302;5.1;0.03206;1.010;
CLIN NEUROPSYCHOL;1385-4046;1375;1.750;2.014;0.344;61;8.3;0.00266;0.558;
CLIN NEUROSCI RES;1566-2772;242;1.469;1.046;;0;5.3;0.00105;0.310;
CLIN NUCL MED;0363-9762;2421;3.181;3.150;0.391;64;6.7;0.00391;0.517;
CLIN NURSE SPEC;0887-6274;258;0.906;;0.111;27;6.8;0.00039;;
CLIN NUTR;0261-5614;2872;3.203;3.367;0.473;112;4.6;0.00917;0.741;
CLIN OBSTET GYNECOL;0009-9201;1745;2.033;1.525;0.141;71;9.6;0.00373;0.441;
CLIN ONCOL-UK;0936-6555;1585;2.184;1.998;0.484;91;5.0;0.00511;0.523;
CLIN ORAL IMPLAN RES;0905-7161;4806;2.756;3.869;0.350;163;6.7;0.01313;1.123;
CLIN ORAL INVEST;1432-6981;754;1.953;;0.115;61;5.0;0.00257;;
CLIN ORTHOP RELAT R;0009-921X;27806;1.893;2.482;0.283;385;>10.0;0.04122;0.766;
CLIN OTOLARYNGOL;1749-4478;2046;1.614;1.455;0.411;73;8.7;0.00417;0.428;
CLIN PEDIATR;0009-9228;1982;1.010;1.041;0.103;117;>10.0;0.00370;0.313;
CLIN PERINATOL;0095-5108;1297;1.730;1.473;0.438;48;8.9;0.00272;0.468;
CLIN PHARMACOKINET;0312-5963;5448;4.206;5.312;1.200;60;7.7;0.01098;1.310;
CLIN PHARMACOL THER;0009-9236;12184;7.586;7.843;2.014;213;7.4;0.02762;2.022;
CLIN PHYSIOL FUNCT I;1475-0961;1322;1.183;1.424;0.328;61;8.2;0.00250;0.388;
CLIN PLAST SURG;0094-1298;1642;0.990;1.492;0.125;48;>10.0;0.00297;0.527;
CLIN RADIOL;0009-9260;4074;1.622;1.918;0.206;175;8.2;0.00872;0.547;
CLIN REHABIL;0269-2155;2592;1.840;2.520;0.241;108;5.7;0.00776;0.644;
CLIN RES CARDIOL;1861-0684;625;2.418;2.431;0.484;91;2.1;0.00247;0.465;
CLIN RESPIR J;1752-6981;20;0.846;0.846;0.184;49;;0.00002;0.084;
CLIN REV ALLERG IMMU;1080-0549;913;3.533;2.720;0.515;68;3.8;0.00319;0.640;
CLIN RHEUMATOL;0770-3198;3005;1.559;1.649;0.384;279;4.3;0.00885;0.392;
CLIN SCI;0143-5221;7125;4.187;3.658;0.843;108;8.9;0.01577;1.122;
CLIN SPORT MED;0278-5919;1280;1.298;1.399;0.109;46;9.8;0.00245;0.446;
CLIN TECH SMALL AN P;1096-2867;278;0.690;0.960;;0;5.8;0.00086;0.256;
CLIN TER;0009-9074;185;0.350;;0.063;63;6.3;0.00043;;
CLIN THER;0149-2918;5502;3.064;3.349;0.397;204;5.1;0.01849;0.870;
CLIN TOXICOL;1556-3650;720;1.505;1.713;0.083;156;3.4;0.00241;0.427;
CLIN TRANSPLANT;0902-0063;2848;1.915;2.295;0.338;145;5.2;0.01039;0.684;
CLIN TRIALS;1740-7745;491;1.694;;0.519;54;3.3;0.00496;;
CLIN VACCINE IMMUNOL;1556-6811;1157;2.237;2.239;0.408;277;1.9;0.00664;0.644;
CNS DRUG REV;1080-563X;621;4.432;4.232;;0;4.4;0.00262;1.194;
CNS DRUGS;1172-7047;2360;3.780;4.277;0.791;67;4.6;0.00924;1.142;
CNS NEUROL DISORD-DR;1871-5273;177;14.750;14.750;0.000;45;2.0;0.00104;3.906;
COMMUN SOIL SCI PLAN;0010-3624;3075;0.357;0.582;0.061;212;>10.0;0.00401;0.179;
CRIT CARE CLIN;0749-0704;1019;1.857;1.971;0.400;45;6.3;0.00325;0.606;
CRIT CARE MED;0090-3493;27681;6.594;6.396;2.065;445;6.0;0.08298;1.852;
CRIT CARE NURSE;0279-5442;353;1.119;;0.206;34;5.7;0.00076;;
CRIT CARE;1466-609X;4522;4.553;4.700;1.096;177;3.2;0.02355;1.346;
CRIT REV ANAL CHEM;1040-8347;748;3.500;3.022;0.200;15;7.7;0.00183;0.927;
CRIT REV BIOCHEM MOL;1040-9238;2181;8.306;9.662;1.562;16;9.5;0.00919;5.385;
CRIT REV BIOTECHNOL;0738-8551;822;4.462;5.736;0.250;16;7.6;0.00190;1.621;
CRIT REV CL LAB SCI;1040-8363;892;5.154;5.729;0.500;12;6.7;0.00282;1.814;
CRIT REV ENV SCI TEC;1064-3389;1081;7.409;6.097;0.273;11;8.6;0.00257;1.871;
CRIT REV EUKAR GENE;1045-4403;627;1.947;2.276;1.056;18;7.5;0.00188;0.865;
CRIT REV FOOD SCI;1040-8398;3247;4.154;6.208;0.396;53;>10.0;0.00640;1.621;
CRIT REV IMMUNOL;1040-8401;1058;3.241;3.824;0.318;22;6.6;0.00402;1.451;
CRIT REV MICROBIOL;1040-841X;968;2.800;3.442;0.154;13;>10.0;0.00214;1.120;
CRIT REV ONCOL HEMAT;1040-8428;3237;4.589;4.215;0.864;103;4.8;0.01221;1.234;
CRIT REV PLANT SCI;0735-2689;1664;6.206;6.168;0.071;14;8.0;0.00475;2.121;
CRIT REV SOLID STATE;1040-8436;490;6.300;7.385;0.143;7;6.9;0.00174;3.011;
CRIT REV THER DRUG;0743-4863;1083;3.038;4.650;0.462;13;9.6;0.00153;1.148;
CRIT REV TOXICOL;1040-8444;2328;7.204;7.482;0.900;40;9.0;0.00502;1.986;
CURR ALLERGY ASTHM R;1529-7322;725;1.688;1.799;0.154;65;3.9;0.00396;0.568;
CURR ALZHEIMER RES;1567-2050;977;4.132;;0.721;61;2.6;0.00566;;
CURR ANAL CHEM;1573-4110;178;1.633;1.966;0.152;33;2.8;0.00115;0.588;
CURR APPL PHYS;1567-1739;1345;1.526;1.466;0.441;177;3.3;0.00743;0.462;
CURR BIOINFORM;1574-8936;64;1.255;1.277;0.250;16;;0.00040;0.380;
CURR BIOL;0960-9822;33409;10.777;11.142;2.176;352;5.2;0.25292;6.843;
CURR CANCER DRUG TAR;1568-0096;1388;4.316;;1.030;67;3.5;0.00887;;
CURR DRUG METAB;1389-2002;1735;4.350;4.886;0.528;108;3.9;0.00702;1.247;
CURR DRUG TARGETS;1389-4501;2242;4.187;4.030;0.342;111;2.9;0.01233;1.178;
CURR EYE RES;0271-3683;3096;1.519;1.617;0.161;112;>10.0;0.00602;0.489;
CURR GENE THER;1566-5232;935;3.860;;0.625;40;3.4;0.00528;;
CURR GENET;0172-8083;3038;2.323;2.268;0.350;60;>10.0;0.00775;0.882;
CURR GENOMICS;1389-2029;172;0.613;;0.052;58;4.1;0.00087;;
CURR HIV RES;1570-162X;575;2.495;2.710;0.181;72;3.1;0.00444;0.967;
CURR HYPERTENS REP;1522-6417;875;1.885;1.853;0.281;57;4.6;0.00375;0.540;
CURR ISSUES MOL BIOL;1467-3037;277;3.176;;0.667;9;4.2;0.00156;;
CURR MED CHEM;0929-8673;7839;4.823;5.291;0.547;256;4.2;0.03626;1.544;
CURR MED IMAGING REV;1573-4056;89;0.642;;0.000;33;;0.00067;;
CURR MED RES OPIN;0300-7995;4166;2.596;2.866;0.709;330;3.3;0.01745;0.676;
CURR MICROBIOL;0343-8651;3027;1.330;1.437;0.205;220;7.4;0.00780;0.429;
CURR MOL MED;1566-5240;2159;5.254;4.977;0.486;72;4.0;0.01398;1.818;
CURR NANOSCI;1573-4137;278;2.437;2.760;0.255;51;2.6;0.00179;0.841;
CURR NEUROL NEUROSCI;1528-4042;696;2.455;;0.172;58;3.7;0.00409;;
CURR NEUROPHARMACOL;1570-159X;146;1.151;1.092;0.167;18;3.6;0.00101;0.347;
CURR NEUROVASC RES;1567-2026;517;3.571;3.556;0.344;32;3.1;0.00319;1.015;
CURR OPIN ALLERGY CL;1528-4050;1555;3.497;;0.357;84;3.8;0.00890;;
CURR OPIN BIOTECH;0958-1669;6378;7.485;7.744;0.588;85;5.7;0.02603;2.712;
CURR OPIN CARDIOL;0268-4705;1514;2.915;2.593;0.405;79;4.4;0.00717;0.909;
CURR OPIN CELL BIOL;0955-0674;12753;12.543;13.551;1.989;93;5.9;0.08032;7.741;
CURR OPIN CHEM BIOL;1367-5931;6346;7.854;8.110;0.763;93;5.4;0.03035;3.083;
CURR OPIN CLIN NUTR;1363-1950;2191;3.690;3.751;0.619;97;4.2;0.00976;1.086;
CURR OPIN COLLOID IN;1359-0294;3017;5.493;6.700;0.689;45;6.0;0.01191;2.442;
CURR OPIN CRIT CARE;1070-5295;1703;2.958;;0.229;96;4.0;0.00819;;
CURR OPIN DRUG DISC;1367-6733;1593;4.205;3.391;0.941;68;3.9;0.00795;1.040;
CURR OPIN GASTROEN;0267-1379;1454;3.877;2.979;0.716;88;3.1;0.00710;0.845;
CURR OPIN GENET DEV;0959-437X;7252;9.677;8.578;0.823;79;5.7;0.04502;4.679;
CURR OPIN HEMATOL;1065-6251;2191;4.779;4.438;0.778;81;4.9;0.01090;1.781;
CURR OPIN IMMUNOL;0952-7915;7852;10.455;8.609;1.274;95;5.3;0.04297;3.908;
CURR OPIN INFECT DIS;0951-7375;1925;4.350;4.329;0.365;85;4.2;0.01018;1.400;
CURR OPIN INVEST DR;1472-4472;2194;3.324;;0.579;114;4.1;0.01063;;
CURR OPIN LIPIDOL;0957-9672;3176;6.629;5.918;1.081;62;5.3;0.01389;2.146;
CURR OPIN MICROBIOL;1369-5274;5318;7.483;7.496;0.790;81;4.8;0.03328;3.277;
CURR OPIN MOL THER;1464-8431;1158;2.913;2.147;0.532;62;4.3;0.00515;0.644;
CURR OPIN NEPHROL HY;1062-4821;2381;4.000;3.961;0.600;80;4.8;0.01066;1.325;
CURR OPIN NEUROBIOL;0959-4388;9413;8.102;9.143;0.535;71;6.3;0.05408;5.039;
CURR OPIN NEUROL;1350-7540;3666;5.550;5.572;0.541;98;4.7;0.01767;1.925;
CURR OPIN OBSTET GYN;1040-872X;1481;2.276;2.279;0.429;84;4.9;0.00518;0.609;
CURR OPIN ONCOL;1040-8746;2219;4.116;3.663;1.000;89;4.8;0.00854;1.139;
CURR OPIN OPHTHALMOL;1040-8738;1597;2.958;;0.149;74;5.2;0.00662;;
CURR OPIN ORGAN TRAN;1087-2418;204;0.435;;0.198;86;3.5;0.00107;;
CURR OPIN PEDIATR;1040-8703;1650;2.494;2.280;0.286;98;4.8;0.00699;0.749;
CURR OPIN PHARMACOL;1471-4892;3331;6.528;5.898;0.733;101;3.7;0.02052;2.012;
CURR OPIN PLANT BIOL;1369-5266;6374;8.688;9.591;0.936;94;4.6;0.03824;3.919;
CURR OPIN PSYCHIATR;0951-7367;1332;3.744;2.557;0.629;89;2.9;0.00714;0.784;
CURR OPIN PULM MED;1070-5287;1368;2.475;2.370;0.273;77;4.5;0.00607;0.744;
CURR OPIN RHEUMATOL;1040-8711;3007;4.689;4.232;0.856;97;4.7;0.01233;1.266;
CURR OPIN SOLID ST M;1359-0286;2209;2.976;4.867;;0;6.6;0.00726;1.893;
CURR OPIN STRUC BIOL;0959-440X;8844;9.060;9.804;1.054;92;5.9;0.05071;5.105;
CURR OPIN UROL;0963-0643;1050;2.619;2.256;0.516;93;4.1;0.00425;0.606;
CURR ORG CHEM;1385-2728;2497;3.184;3.672;0.488;84;4.3;0.01221;1.167;
CURR ORG SYNTH;1570-1794;283;2.610;3.256;0.150;20;3.4;0.00195;1.024;
CURR ORTHOPAED;0268-0890;131;0.288;0.319;0.040;50;4.8;0.00053;0.096;
CURR PHARM ANAL;1573-4129;110;1.033;1.294;0.000;27;2.8;0.00064;0.339;
CURR PHARM BIOTECHNO;1389-2010;812;2.649;;0.411;56;4.2;0.00418;;
CURR PHARM DESIGN;1381-6128;8018;4.399;4.159;1.883;332;3.5;0.03676;1.148;
CURR PROB CANCER;0147-0272;229;3.000;1.639;0.000;5;6.6;0.00056;0.415;
CURR PROB CARDIOLOGY;0146-2806;360;3.292;3.765;0.545;11;5.0;0.00120;1.064;
CURR PROB SURG;0011-3840;390;2.174;1.576;0.333;12;>10.0;0.00056;0.429;
CURR PROTEIN PEPT SC;1389-2037;1044;3.011;3.549;0.310;42;4.3;0.00577;1.221;
CURR SCI INDIA;0011-3891;5611;0.774;0.973;0.231;386;6.9;0.01475;0.281;
CURR SIGNAL TRANSD T;1574-3624;41;0.796;0.796;0.091;22;;0.00020;0.181;
CURR THER RES CLIN E;0011-393X;581;0.333;0.420;0.070;43;>10.0;0.00054;0.108;
CURR TOP DEV BIOL;0070-2153;1556;7.827;4.920;1.000;63;4.2;0.01077;2.280;
CURR TOP MED CHEM;1568-0266;3455;4.268;4.464;0.610;123;3.8;0.01866;1.371;
CURR TOP MEMBR;1063-5823;169;0.776;0.568;0.000;39;9.4;0.00073;0.373;
CURR TOP MICROBIOL;0070-217X;4260;5.102;4.431;0.921;127;5.9;0.01996;1.970;
CURR TOP NUTRACEUT R;1540-7535;49;0.529;;0.000;16;;0.00024;;
CURR VASC PHARMACOL;1570-1611;585;3.582;3.440;0.400;35;3.3;0.00336;0.913;
CYTOGENET GENOME RES;1424-8581;2700;1.965;2.279;0.241;137;3.7;0.02031;0.878;
CYTOKINE GROWTH F R;1359-6101;3668;7.022;10.564;0.892;37;4.9;0.02109;4.364;
CYTOKINE;1043-4666;4193;2.214;2.470;0.446;193;6.7;0.01194;0.764;
