Abbreviated Journal Title;ISSN;{2010} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2010} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
CAN WATER RESOUR J;0701-1784;209;0.744;;1.600;30;4.8;0.00053;;
CANCER BIOL THER;1538-4047;4637;2.907;3.002;0.640;253;4.0;0.02232;0.988;
CANCER BIOMARK;1574-0153;327;2.418;;0.432;44;3.1;0.00170;;
CANCER BIOTHER RADIO;1084-9785;1186;1.873;1.563;0.261;88;5.5;0.00318;0.410;
CANCER CAUSE CONTROL;0957-5243;5950;2.789;3.311;0.538;195;7.0;0.01677;1.176;
CANCER CELL;1535-6108;17941;26.925;28.438;5.774;93;4.7;0.10954;14.060;
CANCER CHEMOTH PHARM;0344-5704;6410;2.759;2.627;0.760;250;6.0;0.01639;0.729;
CANCER CYTOPATHOL;1934-662X;1429;2.773;2.826;0.619;42;5.8;0.00388;0.788;
CANCER DETECT PREV;0361-090X;1543;1.918;2.500;;;6.8;0.00375;0.741;
CANCER EPIDEM BIOMAR;1055-9965;18052;4.190;4.877;0.644;337;5.4;0.06682;1.652;
CANCER EPIDEMIOL;1877-7821;122;1.182;1.221;0.202;114;1.4;0.00062;0.412;
CANCER GENE THER;0929-1903;3028;3.744;3.422;0.736;91;5.2;0.00862;0.903;
CANCER GENET CYTOGEN;0165-4608;4022;1.551;1.531;0.242;211;7.8;0.00792;0.422;
CANCER IMAGING;1470-7330;375;1.857;;0.148;27;4.1;0.00202;;
CANCER IMMUNOL IMMUN;0340-7004;4796;4.293;3.661;0.776;170;4.3;0.01678;1.062;
CANCER INVEST;0735-7907;2461;2.390;2.220;0.304;135;5.7;0.00704;0.638;
CANCER J;1528-9117;1770;2.880;2.687;0.512;82;6.1;0.00513;0.850;
CANCER LETT;0304-3835;16985;4.864;4.105;0.788;368;5.3;0.05208;1.201;
CANCER METAST REV;0167-7659;3770;7.140;8.912;0.414;58;5.3;0.01370;3.086;
CANCER NURS;0162-220X;2026;2.065;2.526;0.260;73;7.9;0.00360;0.632;
CANCER PREV RES;1940-6207;1078;4.978;5.006;1.146;151;1.7;0.00569;1.623;
CANCER RADIOTHER;1278-3218;610;1.306;;0.108;102;3.8;0.00073;;
CANCER RES;0008-5472;139396;8.234;8.438;1.312;1052;7.1;0.40204;3.040;
CANCER SCI;1347-9032;6547;3.846;4.023;0.578;372;3.3;0.03284;1.312;
CANCER TREAT REV;0305-7372;3091;6.811;5.515;1.041;97;4.0;0.01112;1.699;
CANCER-AM CANCER SOC;0008-543X;60958;5.131;5.458;0.913;632;>10.0;0.12088;1.913;
CANDOLLEA;0373-2967;238;0.172;0.269;0.000;29;>10.0;0.00023;0.090;
CARBOHYD POLYM;0144-8617;11770;3.463;3.659;0.562;641;5.4;0.02471;0.763;
CARBOHYD RES;0008-6215;13215;1.898;2.072;0.391;371;>10.0;0.01695;0.506;
CARBON;0008-6223;23839;4.893;5.724;1.023;559;6.3;0.05867;1.602;
CARCINOGENESIS;0143-3334;20004;5.402;5.319;1.293;273;7.7;0.04707;1.653;
CARDIOL CLIN;0733-8651;823;1.162;1.188;0.244;45;8.1;0.00178;0.382;
CARDIOL REV;1061-5377;753;2.862;;0.513;39;4.3;0.00314;;
CARDIOL YOUNG;1047-9511;1066;0.858;1.004;0.081;135;5.5;0.00346;0.311;
CARDIOLOGY;0008-6312;2008;1.982;1.797;0.713;101;6.3;0.00549;0.560;
CARDIOVASC DIABETOL;1475-2840;751;2.720;;0.769;91;3.2;0.00301;;
CARDIOVASC DRUG THER;0920-3206;1358;3.098;2.737;0.234;47;5.9;0.00408;0.849;
CARDIOVASC ENG;1567-8822;138;1.395;;0.040;25;3.4;0.00062;;
CARDIOVASC INTER RAD;0174-1551;2986;2.003;1.792;0.364;195;4.7;0.00882;0.471;
CARDIOVASC J AFR;1995-1892;105;0.708;;0.085;47;2.6;0.00053;;
CARDIOVASC PATHOL;1054-8807;1142;1.881;2.036;0.538;52;5.9;0.00318;0.597;
CARDIOVASC RES;0008-6363;18421;6.051;6.183;1.684;275;6.3;0.05453;2.071;
CARDIOVASC THER PREV;1728-8800;2;0.000;;0.000;132;;0.00001;;
CARDIOVASC THER;1755-5914;163;2.183;2.200;0.481;52;2.0;0.00082;0.705;
CARDIOVASC TOXICOL;1530-7905;490;1.809;2.358;0.382;34;4.8;0.00176;0.676;
CARDIOVASC ULTRASOUN;1476-7120;447;1.561;;0.074;54;3.3;0.00236;;
CARIBB J SCI;0008-6452;511;0.361;0.580;;;9.4;0.00096;0.202;
CARIES RES;0008-6568;3329;2.926;2.746;0.304;69;9.5;0.00433;0.643;
CARPATH J EARTH ENV;1842-4090;96;1.579;1.197;0.425;40;;0.00006;0.048;
CARPATHIAN J MATH;1584-2851;118;0.900;;0.074;27;2.6;0.00047;;
CARYOLOGIA;0008-7114;592;0.398;0.445;0.056;36;>10.0;0.00050;0.098;
CASTANEA;0008-7475;335;0.250;0.449;0.054;37;>10.0;0.00046;0.187;
CATAL COMMUN;1566-7367;6369;2.827;2.906;0.367;267;3.1;0.02554;0.724;
CATAL LETT;1011-372X;8221;1.907;1.974;0.306;252;7.4;0.01919;0.588;
CATAL REV;0161-4940;2582;7.000;9.256;0.889;9;>10.0;0.00246;3.237;
CATAL SURV ASIA;1571-1013;424;2.432;2.505;0.632;19;5.1;0.00146;0.771;
CATAL TODAY;0920-5861;20104;2.993;3.476;0.328;488;6.8;0.04820;0.974;
CATENA;0341-8162;3552;1.893;2.398;0.212;85;7.7;0.00867;0.795;
CATHETER CARDIO INTE;1522-1946;6304;2.398;2.451;0.648;321;5.2;0.01564;0.591;
CATTLE PRACT;0969-1251;129;0.329;0.269;0.000;34;6.7;0.00032;0.075;
CBE-LIFE SCI EDUC;1931-7913;209;1.182;;0.328;58;2.9;0.00089;;
CELEST MECH DYN ASTR;0923-2958;1542;1.698;1.515;0.274;73;>10.0;0.00253;0.440;
CELL BIOCHEM BIOPHYS;1085-9195;1346;4.312;2.885;0.359;39;4.7;0.00578;1.064;
CELL BIOCHEM FUNCT;0263-6484;1227;1.651;1.481;0.245;94;5.1;0.00342;0.389;
CELL BIOL INT;1065-6995;2973;1.747;1.807;0.261;153;5.4;0.00803;0.469;
CELL BIOL TOXICOL;0742-2091;1152;2.056;2.382;0.370;46;6.3;0.00272;0.613;
CELL CALCIUM;0143-4160;4534;3.553;4.165;0.745;98;5.9;0.01567;1.476;
CELL CHEM TECHNOL;0576-9787;361;0.292;0.385;0.069;58;>10.0;0.00056;0.092;
CELL COMMUN ADHES;1541-9061;398;2.150;1.760;0.000;9;7.0;0.00138;0.710;
CELL CYCLE;1538-4101;12395;4.999;4.499;0.981;524;3.2;0.08216;1.828;
CELL DEATH DIFFER;1350-9047;12873;9.050;8.674;2.115;174;4.6;0.06138;3.436;
CELL DEATH DIS;2041-4889;45;;;0.424;99;;0.00000;;
CELL DIV;1747-1028;368;4.091;3.890;0.500;28;3.3;0.00350;1.977;
CELL HOST MICROBE;1931-3128;3478;13.728;13.623;2.438;89;2.2;0.03169;6.807;
CELL IMMUNOL;0008-8749;3566;2.575;2.333;0.365;156;>10.0;0.00697;0.804;
CELL METAB;1550-4131;8682;18.207;20.130;2.755;106;3.4;0.07601;9.380;
CELL MICROBIOL;1462-5814;6935;5.625;5.428;1.365;137;4.0;0.03762;2.115;
CELL MOL BIOENG;1865-5025;149;1.568;1.568;0.205;39;1.9;0.00120;0.698;
CELL MOL BIOL LETT;1425-8153;870;1.455;1.677;0.341;44;6.0;0.00218;0.445;
CELL MOL BIOL;0145-5680;1897;0.833;1.188;9.280;25;8.6;0.00181;0.329;
CELL MOL IMMUNOL;1672-7681;1051;2.026;;0.712;66;4.1;0.00533;;
CELL MOL LIFE SCI;1420-682X;15469;7.047;6.609;1.163;301;4.9;0.06889;2.554;
CELL MOL NEUROBIOL;0272-4340;2547;2.423;2.603;0.333;159;5.8;0.00684;0.725;
CELL MOTIL CYTOSKEL;0886-1544;3031;3.071;2.882;;0;8.9;0.00953;1.348;
CELL ONCOL;2211-3428;502;3.175;3.243;0.696;23;3.4;0.00286;1.049;
CELL PHYSIOL BIOCHEM;1015-8987;2167;3.585;3.276;0.263;190;3.4;0.00864;0.913;
CELL POLYM;0262-4893;146;0.314;0.675;0.067;15;9.0;0.00025;0.157;
CELL PRESERV TECHNOL;1538-344X;115;1.412;1.111;;0;5.3;0.00039;0.316;
CELL PROLIFERAT;0960-7722;1408;2.742;2.841;0.234;64;4.3;0.00514;0.891;
CELL REPROGRAM;2152-4971;28;;;0.371;70;;0.00000;;
CELL RES;1001-0602;4243;9.417;6.992;1.604;96;3.0;0.02704;2.738;
CELL SIGNAL;0898-6568;7069;4.243;4.114;0.985;201;4.3;0.03294;1.557;
CELL STEM CELL;1934-5909;6982;25.943;26.967;4.740;104;2.2;0.06684;14.298;
CELL STRESS CHAPERON;1355-8145;2029;3.162;3.540;0.574;94;6.9;0.00419;0.951;
CELL STRUCT FUNCT;0386-7196;1146;3.265;2.464;0.455;11;9.4;0.00201;1.227;
CELL TISSUE BANK;1389-9333;424;1.157;;0.351;37;4.8;0.00139;;
CELL TISSUE RES;0302-766X;9386;2.804;2.794;0.877;187;9.9;0.01808;0.911;
CELL TRANSPLANT;0963-6897;3711;6.204;4.508;0.679;140;3.5;0.00834;0.818;
CELL;0092-8674;167587;32.401;34.929;6.661;319;8.5;0.70472;20.639;
CELLS TISSUES ORGANS;1422-6405;1687;2.302;2.779;0.536;84;5.2;0.00560;0.848;
CELLULOSE;0969-0239;2043;2.817;2.826;0.581;105;5.4;0.00467;0.641;
CEM WAPNO BETON;1425-8129;35;0.143;;0.152;33;;0.00002;;
CEMENT CONCRETE COMP;0958-9465;2305;1.527;2.088;0.309;97;6.3;0.00863;0.888;
CEMENT CONCRETE RES;0008-8846;9293;2.187;2.553;0.351;191;8.9;0.01907;0.974;
CENT EUR J BIOL;1895-104X;171;0.685;0.779;0.120;100;2.7;0.00074;0.185;
CENT EUR J CHEM;1895-1066;484;0.991;0.952;0.135;163;3.1;0.00178;0.218;
CENT EUR J IMMUNOL;1426-3912;99;0.451;;0.039;51;;0.00014;;
CENT EUR J MATH;1895-1074;161;0.581;;0.096;94;3.1;0.00154;;
CENT EUR J MED;1895-1058;65;0.244;;0.023;129;;0.00023;;
CENT EUR J OPER RES;1435-246X;128;0.429;;0.382;34;5.1;0.00060;;
CENT EUR J PHYS;1895-1082;312;0.691;0.618;0.298;121;2.5;0.00154;0.211;
CENT EUR NEUROSURG;0044-4251;24;0.472;0.472;0.159;44;;0.00005;0.071;
CEPHALALGIA;0333-1024;7292;4.265;4.244;0.574;155;6.4;0.01567;1.086;
CERAM INT;0272-8842;4710;1.471;1.682;0.228;351;5.3;0.01436;0.495;
CERAM-SILIKATY;0862-5468;160;0.297;0.413;0.000;59;5.7;0.00050;0.122;
CEREAL CHEM;0009-0352;5991;1.422;1.568;0.284;88;>10.0;0.00442;0.398;
CEREAL FOOD WORLD;0146-6283;783;1.068;0.902;0.065;31;>10.0;0.00050;0.195;
CEREB CORTEX;1047-3211;17284;6.844;7.200;1.428;264;5.5;0.07363;3.020;
CEREBELLUM;1473-4222;1025;3.288;3.483;0.589;56;3.3;0.00500;1.097;
CEREBROVASC DIS;1015-9770;4121;2.987;3.016;0.470;168;4.8;0.01588;0.997;
CESK SLOV NEUROL N;1210-7859;129;0.393;0.249;0.033;91;2.9;0.00007;0.008;
CFI-CERAM FORUM INT;0173-9913;102;0.070;0.124;0.020;49;6.8;0.00030;0.044;
CHANNELS;1933-6950;321;2.103;2.373;0.309;68;2.6;0.00260;1.059;
CHAOS SOLITON FRACT;0960-0779;9411;1.267;1.729;0.083;12;4.6;0.03963;0.539;
CHAOS;1054-1500;3773;2.081;2.133;0.576;198;5.8;0.01845;1.085;
CHELONIAN CONSERV BI;1071-8443;467;0.808;0.892;0.075;40;9.2;0.00109;0.287;
CHEM ANAL-WARSAW;0009-2223;454;0.428;0.432;;;7.6;0.00073;0.089;
CHEM BIOCHEM ENG Q;0352-9568;304;0.483;0.583;0.018;56;5.6;0.00074;0.137;
CHEM BIODIVERS;1612-1872;1893;1.586;1.743;0.286;220;3.5;0.00786;0.455;
CHEM BIOL DRUG DES;1747-0277;1255;2.527;2.596;0.504;123;2.7;0.00660;0.740;
CHEM BIOL;1074-5521;8578;5.838;5.976;1.114;123;6.5;0.02892;2.406;
CHEM CENT J;1752-153X;147;1.119;1.554;0.235;17;3.0;0.00082;0.458;
CHEM COMMUN;1359-7345;88498;5.787;5.581;1.096;2416;5.9;0.23675;1.588;
CHEM ECOL;0275-7540;479;0.776;0.895;0.087;80;6.1;0.00119;0.239;
CHEM EDUC RES PRACT;1109-4028;214;0.662;;0.242;33;4.8;0.00075;;
CHEM ENG COMMUN;0098-6445;1475;0.913;0.801;0.158;120;>10.0;0.00226;0.214;
CHEM ENG J;1385-8947;9962;3.074;3.171;0.374;805;3.7;0.03087;0.778;
CHEM ENG NEWS;0009-2347;1211;0.254;0.215;0.105;446;7.0;0.00302;0.071;
CHEM ENG PROCESS;0255-2701;3042;1.729;1.957;0.121;157;5.2;0.00935;0.552;
CHEM ENG PROG;0360-7275;1493;0.732;0.690;0.175;57;>10.0;0.00138;0.259;
CHEM ENG RES DES;0263-8762;3525;1.519;1.625;0.209;182;9.1;0.00703;0.482;
CHEM ENG SCI;0009-2509;23004;2.379;2.533;0.444;638;9.1;0.04258;0.720;
CHEM ENG TECHNOL;0930-7516;2644;1.394;1.405;0.223;233;5.4;0.00844;0.418;
CHEM ENG-NEW YORK;0009-2460;193;0.167;0.109;0.054;56;>10.0;0.00019;0.031;
CHEM ERDE-GEOCHEM;0009-2819;415;1.525;1.797;0.163;43;5.8;0.00192;0.837;
CHEM GEOL;0009-2541;16449;3.722;3.985;0.542;236;9.1;0.03633;1.519;
CHEM HETEROCYCL COM+;0009-3122;2050;0.512;;0.218;110;>10.0;0.00182;;
CHEM IND CHEM ENG Q;1451-9372;61;0.580;;0.059;34;;0.00021;;
CHEM IND-LONDON;0009-3068;1121;0.144;0.170;0.024;84;>10.0;0.00039;0.045;
CHEM J CHINESE U;0251-0790;2636;0.656;0.548;0.103;468;4.9;0.00366;0.069;
CHEM LETT;0366-7022;14343;1.400;1.386;0.304;536;8.4;0.02599;0.395;
CHEM LISTY;0009-2770;507;0.620;0.542;0.154;136;4.8;0.00084;0.082;
CHEM MATER;0897-4756;62879;6.397;6.365;1.212;833;6.1;0.17071;1.885;
CHEM NAT COMPD+;0009-3130;1702;0.693;0.739;0.134;127;8.8;0.00233;0.143;
CHEM PAP;0366-6352;650;0.754;0.762;0.207;111;5.0;0.00144;0.163;
CHEM PHARM BULL;0009-2363;12855;1.507;1.621;0.222;329;>10.0;0.01237;0.370;
CHEM PHYS CARBON;0069-3138;334;4.750;5.250;;;>10.0;0.00011;1.400;
CHEM PHYS LETT;0009-2614;54122;2.280;2.229;0.418;1012;9.8;0.09658;0.763;
CHEM PHYS LIPIDS;0009-3084;3621;2.861;2.560;0.467;90;>10.0;0.00585;0.768;
CHEM PHYS;0301-0104;12770;2.017;1.982;0.401;314;9.9;0.02849;0.703;
CHEM PROCESS ENG-INZ;0208-6425;146;0.252;0.191;0.047;64;5.6;0.00026;0.035;
CHEM REC;1527-8999;1111;4.604;4.053;0.258;31;5.4;0.00394;1.339;
CHEM RES CHINESE U;1005-9040;524;0.460;0.427;0.087;208;3.8;0.00124;0.071;
CHEM RES TOXICOL;0893-228X;9258;4.148;3.666;0.803;208;6.6;0.02101;0.966;
CHEM REV;0009-2665;88380;33.033;36.433;8.362;188;8.2;0.19985;12.482;
CHEM SCI;2041-6520;102;;;0.889;99;0.6;0.00002;;
CHEM SENSES;0379-864X;3194;2.327;2.252;0.813;75;7.5;0.00800;0.740;
CHEM SOC REV;0306-0012;24948;26.583;24.641;4.128;297;3.1;0.10845;7.988;
CHEM SPEC BIOAVAILAB;0954-2299;166;0.471;0.510;0.000;30;9.2;0.00017;0.089;
CHEM TECH FUELS OIL+;0009-3092;174;0.053;0.100;0.016;62;>10.0;0.00028;0.032;
CHEM UNSERER ZEIT;0009-2851;227;0.609;0.542;0.308;26;7.7;0.00040;0.125;
CHEM VAPOR DEPOS;0948-1907;1246;1.804;2.024;0.244;45;5.5;0.00428;0.658;
CHEM-ASIAN J;1861-4728;3000;4.188;4.287;0.945;275;2.6;0.01631;1.315;
CHEM-BIOL INTERACT;0009-2797;6260;2.832;3.310;0.582;349;5.7;0.01400;0.772;
CHEM-EUR J;0947-6539;43742;5.476;5.477;1.181;1611;4.1;0.15992;1.605;
CHEM-ING-TECH;0009-286X;961;0.347;0.358;0.080;188;>10.0;0.00165;0.099;
CHEMBIOCHEM;1439-4227;8163;3.945;3.751;0.723;289;3.9;0.03791;1.266;
CHEMCATCHEM;1867-3880;383;3.345;3.345;1.000;184;1.0;0.00128;1.132;
CHEMIJA;0235-7216;130;0.677;;0.045;22;4.0;0.00040;;
CHEMMEDCHEM;1860-7179;2621;3.306;3.469;0.595;205;2.8;0.01296;0.926;
CHEMOECOLOGY;0937-7409;751;1.608;1.871;0.286;28;7.6;0.00168;0.588;
CHEMOMETR INTELL LAB;0169-7439;3971;2.222;2.415;0.260;100;9.1;0.00720;0.645;
CHEMOSENS PERCEPT;1936-5802;67;1.091;1.091;0.300;20;;0.00031;0.289;
CHEMOSPHERE;0045-6535;32165;3.155;3.559;0.383;768;5.6;0.08271;0.886;
CHEMOTHERAPY;0009-3157;1344;2.108;1.656;0.178;73;7.4;0.00235;0.340;
CHEMPHYSCHEM;1439-4235;9163;3.339;3.636;0.707;484;4.3;0.04479;1.320;
CHEMSUSCHEM;1864-5631;1630;6.325;6.325;0.936;157;2.0;0.00884;1.939;
CHEST;0012-3692;42763;6.519;5.627;1.346;384;7.8;0.09457;1.752;
CHIANG MAI J SCI;0125-2526;59;0.340;;0.019;54;;0.00025;;
CHILD ADOL MENT H-UK;1475-357X;243;1.143;;0.156;32;4.9;0.00097;;
CHILD CARE HLTH DEV;0305-1862;1502;1.308;1.732;0.300;100;5.6;0.00436;0.509;
CHILD NERV SYST;0256-7040;3641;1.314;1.645;0.288;222;6.3;0.00843;0.419;
CHILD NEUROPSYCHOL;0929-7049;959;1.727;2.410;0.077;39;6.8;0.00259;0.768;
CHIM OGGI;0392-839X;369;0.405;0.435;0.080;88;3.9;0.00137;0.113;
CHIMIA;0009-4293;1340;1.146;1.177;0.151;93;7.0;0.00348;0.355;
CHIN J INTEGR MED;1672-0415;182;0.578;;0.183;82;2.9;0.00057;;
CHIN J MECH ENG-EN;1000-9345;147;0.194;;0.037;109;4.2;0.00053;;
CHIN J OCEANOL LIMN;0254-4059;331;0.325;;0.040;174;8.4;0.00057;;
CHIN OPT LETT;1671-7694;841;0.692;;0.143;322;2.8;0.00218;;
CHINA COMMUN;1673-5447;15;0.058;;0.007;135;;0.00017;;
CHINA FOUNDRY;1672-6421;44;0.204;;0.062;65;;0.00011;;
CHINA OCEAN ENG;0890-5487;242;0.302;0.383;0.066;61;6.0;0.00040;0.066;
CHINA PET PROCESS PE;1008-6234;19;0.088;;0.000;47;;0.00002;;
CHINESE ANN MATH B;0252-9599;394;0.452;0.513;0.048;63;8.2;0.00236;0.464;
CHINESE CHEM LETT;1001-8417;2063;0.775;0.599;0.138;385;4.0;0.00544;0.130;
CHINESE GEOGR SCI;1002-0063;163;0.656;0.460;0.014;69;3.9;0.00056;0.110;
CHINESE J ANAL CHEM;0253-3820;1876;0.798;0.566;0.078;357;4.3;0.00318;0.076;
CHINESE J ASTRON AST;1009-9271;499;0.849;0.619;;0;4.4;0.00250;0.232;
CHINESE J CANCER RES;1000-9604;64;0.252;;0.000;49;;0.00016;;
CHINESE J CATAL;0253-9837;1184;0.752;0.732;0.052;231;4.3;0.00277;0.128;
CHINESE J CHEM ENG;1004-9541;873;0.901;0.908;0.041;146;3.8;0.00293;0.203;
CHINESE J CHEM PHYS;1674-0068;382;0.642;0.406;0.070;129;3.8;0.00140;0.110;
CHINESE J CHEM;1001-604X;1666;0.773;0.700;0.104;393;3.7;0.00505;0.145;
CHINESE J GEOPHYS-CH;0001-5733;1438;0.832;0.754;0.195;323;4.2;0.00336;0.140;
CHINESE J INORG CHEM;1001-4861;1546;0.670;0.544;0.080;401;3.9;0.00257;0.065;
CHINESE J ORG CHEM;0253-2786;1241;0.555;0.516;0.086;291;4.8;0.00219;0.075;
CHINESE J PHYS;0577-9073;361;0.444;0.388;0.053;75;7.0;0.00144;0.196;
CHINESE J PHYSIOL;0304-4920;336;0.683;0.697;0.075;53;6.7;0.00066;0.155;
CHINESE J POLYM SCI;0256-7679;419;0.478;0.507;0.123;106;5.3;0.00086;0.098;
CHINESE J STRUC CHEM;0254-5861;1042;0.624;0.529;0.043;303;4.4;0.00168;0.065;
CHINESE MED J-PEKING;0366-6999;3900;0.983;0.951;0.100;689;4.9;0.00956;0.214;
CHINESE PHYS B;1674-1056;2973;1.630;1.638;0.238;1163;1.9;0.00614;0.192;
CHINESE PHYS C;1674-1137;226;0.266;0.271;0.079;368;1.9;0.00123;0.088;
CHINESE PHYS LETT;0256-307X;5298;1.077;0.790;0.215;883;3.1;0.01821;0.186;
CHINESE SCI BULL;1001-6538;6148;1.087;1.037;0.228;604;6.1;0.01356;0.250;
CHIR GASTROENTEROL;0177-9990;58;0.048;0.126;;0;;0.00011;0.028;
CHIR MAIN;1297-3203;267;0.365;;0.011;88;6.8;0.00054;;
CHIRALITY;0899-0042;2933;2.892;2.528;0.450;169;5.9;0.00704;0.639;
CHIRURG;0009-4722;1435;0.657;0.586;0.112;134;8.9;0.00158;0.115;
CHIRURGIA-BUCHAREST;1221-9118;429;0.560;;0.027;113;5.4;0.00022;;
CHROMATOGRAPHIA;0009-5893;4814;1.075;1.216;0.135;355;7.2;0.00905;0.289;
CHROMOSOMA;0009-5915;3769;4.196;4.137;0.704;54;>10.0;0.01177;2.436;
CHROMOSOME RES;0967-3849;2483;3.130;3.220;0.582;67;5.7;0.01156;1.518;
CHRONIC DIS CAN;0228-8699;231;1.094;;0.222;18;8.1;0.00054;;
CHRONOBIOL INT;0742-0528;3009;5.576;3.937;0.276;116;4.8;0.00567;0.658;
CIENC MAR;0185-3880;505;0.618;0.761;0.097;31;7.6;0.00105;0.221;
CIENC RURAL;0103-8478;1578;0.343;;0.085;422;5.5;0.00388;;
CIENC TEC ALIMENTAR;1135-8122;41;0.900;0.359;;0;;0.00012;0.077;
CIENC TEC VITIVINIC;0254-0223;48;0.636;;0.111;9;;0.00009;;
CIENCIA TECNOL ALIME;0101-2061;914;0.266;;0.015;200;6.1;0.00143;;
CIN-COMPUT INFORM NU;1538-2931;274;0.957;1.018;0.139;36;5.3;0.00092;0.280;
CIR CIR;0009-7411;101;0.133;;0.023;86;5.3;0.00017;;
CIRC J;1346-9843;5421;3.225;2.588;0.858;337;3.1;0.01758;0.554;
CIRC RES;0009-7330;42343;9.504;10.190;1.783;322;7.5;0.11102;3.767;
CIRC-ARRHYTHMIA ELEC;1941-3149;673;4.780;4.780;1.013;79;1.8;0.00468;1.952;
CIRC-CARDIOVASC GENE;1942-325X;446;4.043;4.043;0.985;66;1.5;0.00349;1.906;
CIRC-CARDIOVASC IMAG;1941-9651;428;4.757;4.757;0.881;84;1.6;0.00279;1.933;
CIRC-CARDIOVASC INTE;1941-7640;482;4.364;4.375;1.347;72;1.5;0.00300;1.750;
CIRC-CARDIOVASC QUAL;1941-7713;574;4.840;4.851;1.407;81;1.5;0.00420;2.292;
CIRC-HEART FAIL;1941-3289;602;4.315;4.324;1.602;83;1.7;0.00376;1.787;
CIRCUIT WORLD;0305-6120;115;0.404;0.407;0.227;22;6.2;0.00025;0.105;
CIRCULATION;0009-7322;151020;14.429;14.930;2.812;549;7.7;0.36538;5.317;
CL LYMPH MYELOM LEUK;2152-2650;603;1.988;1.752;0.432;88;2.5;0.00362;0.577;
CLADISTICS;0748-3007;3379;6.740;5.808;1.294;34;>10.0;0.00700;2.030;
CLASSICAL QUANT GRAV;0264-9381;12698;3.098;2.547;1.378;502;5.5;0.04458;0.952;
CLAY CLAY MINER;0009-8604;3715;1.631;1.752;0.265;34;>10.0;0.00370;0.605;
CLAY MINER;0009-8558;1861;1.341;1.396;0.079;38;>10.0;0.00210;0.548;
CLEAN TECHNOL ENVIR;1618-954X;289;1.120;;0.298;57;4.3;0.00093;;
CLEAN-SOIL AIR WATER;1863-0650;505;1.502;1.638;0.181;138;2.4;0.00203;0.356;
CLEFT PALATE-CRAN J;1055-6656;2548;0.770;1.259;0.096;94;>10.0;0.00352;0.362;
CLEV CLIN J MED;0891-1150;1397;3.495;2.447;0.744;43;5.0;0.00401;0.677;
CLIM PAST;1814-9324;706;2.821;4.239;0.542;59;3.2;0.00553;1.785;
CLIM RES;0936-577X;2245;2.110;2.628;1.279;104;8.1;0.00554;1.039;
CLIMACTERIC;1369-7137;1099;1.938;2.292;0.403;62;4.1;0.00293;0.477;
CLIMATIC CHANGE;0165-0009;7121;3.016;4.433;0.990;201;6.6;0.02416;1.816;
CLIN ANAT;0897-3806;1819;1.348;1.310;0.314;118;6.3;0.00379;0.305;
CLIN APPL THROMB-HEM;1076-0296;783;1.476;1.345;0.330;106;4.6;0.00210;0.315;
CLIN AUTON RES;0959-9851;965;1.333;1.553;0.217;46;7.6;0.00216;0.491;
CLIN BIOCHEM;0009-9120;4897;2.043;2.238;0.418;261;5.6;0.01277;0.581;
CLIN BIOMECH;0268-0033;4851;2.036;2.519;0.206;165;7.4;0.01223;0.850;
CLIN BREAST CANCER;1526-8209;1126;2.790;;0.382;68;4.7;0.00412;;
CLIN CANCER RES;1078-0432;58094;7.338;7.166;1.545;629;5.0;0.22555;2.374;
CLIN CARDIOL;0160-9289;2084;1.807;1.526;0.284;116;8.0;0.00452;0.475;
CLIN CHEM LAB MED;1434-6621;4340;2.069;2.057;0.436;266;4.9;0.01206;0.517;
CLIN CHEM;0009-9147;25205;6.886;5.831;1.769;186;9.0;0.04712;1.747;
CLIN CHEST MED;0272-5231;1812;3.110;2.665;0.119;59;7.6;0.00503;0.940;
CLIN CHIM ACTA;0009-8981;10587;2.388;2.643;0.491;338;7.1;0.02252;0.711;
CLIN COLORECTAL CANC;1533-0028;610;2.632;;0.182;44;4.2;0.00262;;
CLIN DERMATOL;0738-081X;2221;2.424;3.112;0.318;88;6.2;0.00528;0.803;
CLIN DEV IMMUNOL;1740-2522;379;2.263;;0.106;47;4.5;0.00166;;
CLIN DRUG INVEST;1173-2563;951;1.622;1.341;0.267;86;4.6;0.00255;0.315;
CLIN DYSMORPHOL;0962-8827;530;0.580;0.619;0.127;55;8.2;0.00122;0.214;
CLIN EEG NEUROSCI;1550-0594;274;1.325;1.441;0.250;32;3.7;0.00146;0.441;
CLIN ENDOCRINOL;0300-0664;10509;3.323;3.607;0.724;228;7.0;0.02578;1.072;
CLIN EXP ALLERGY;0954-7894;9527;4.195;4.017;0.914;175;6.7;0.02138;1.092;
CLIN EXP DERMATOL;0307-6938;3771;1.267;1.548;0.191;235;7.4;0.00733;0.382;
CLIN EXP HYPERTENS;1064-1963;1133;1.142;1.127;0.163;86;>10.0;0.00162;0.278;
CLIN EXP IMMUNOL;0009-9104;11672;3.134;3.103;0.782;225;8.4;0.02718;1.059;
CLIN EXP MED;1591-8890;427;1.600;1.674;0.250;40;4.4;0.00137;0.409;
CLIN EXP METASTAS;0262-0898;2906;4.113;3.845;0.293;58;6.6;0.00849;1.274;
CLIN EXP NEPHROL;1342-1751;716;1.460;;0.154;104;3.6;0.00270;;
CLIN EXP OBSTET GYN;0390-6663;519;0.433;;0.034;87;6.7;0.00111;;
