Abbreviated Journal Title;ISSN;{2011} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2011} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
CHEMOMETR INTELL LAB;0169-7439;4494;1.920;2.295;0.350;137;9.9;0.00630;0.593;
CHEMOSENS PERCEPT;1936-5802;125;1.643;1.640;0.048;21;2.8;0.00076;0.552;
CHEMOSPHERE;0045-6535;35587;3.206;3.613;0.419;918;6.0;0.07951;0.900;
CHEMOTHERAPY;0009-3157;1423;1.816;1.786;0.254;63;6.8;0.00217;0.343;
CHEMPHYSCHEM;1439-4235;10354;3.412;3.553;0.710;410;4.5;0.04140;1.189;
CHEMSUSCHEM;1864-5631;3040;6.827;7.171;1.114;201;2.4;0.01339;1.867;
CHEST;0012-3692;41594;5.250;6.224;1.332;365;8.1;0.08864;2.158;
CHIANG MAI J SCI;0125-2526;116;0.473;;0.054;74;3.4;0.00033;;
CHILD ADOL MENT H-UK;1475-357X;287;0.883;;0.032;31;5.7;0.00108;;
CHILD CARE HLTH DEV;0305-1862;1834;1.201;1.922;0.410;100;5.9;0.00487;0.574;
CHILD NERV SYST;0256-7040;4090;1.542;1.592;0.351;268;6.7;0.00827;0.411;
CHILD NEUROPSYCHOL;0929-7049;1033;1.797;2.354;0.229;35;6.9;0.00244;0.748;
CHIM OGGI;0392-839X;378;0.593;0.443;0.095;105;4.0;0.00137;0.117;
CHIMIA;0009-4293;1439;1.212;1.342;0.260;127;6.7;0.00356;0.402;
CHIN J INTEGR MED;1672-0415;318;0.799;;0.326;138;2.8;0.00068;;
CHIN J MECH ENG-EN;1000-9345;184;0.208;;0.013;150;4.4;0.00051;;
CHIN J OCEANOL LIMN;0254-4059;447;0.498;;0.191;152;4.2;0.00126;;
CHIN OPT LETT;1671-7694;1115;0.967;;0.121;297;2.6;0.00259;;
CHINA COMMUN;1673-5447;67;0.146;;0.115;156;;0.00006;;
CHINA FOUNDRY;1672-6421;72;0.278;;0.042;71;;0.00016;;
CHINA OCEAN ENG;0890-5487;231;0.468;0.403;0.051;59;5.6;0.00058;0.102;
CHINA PET PROCESS PE;1008-6234;25;0.120;;0.028;36;;0.00006;;
CHINESE ANN MATH B;0252-9599;391;0.521;0.615;0.015;66;7.3;0.00282;0.562;
CHINESE CHEM LETT;1001-8417;2566;0.978;0.805;0.156;385;4.2;0.00592;0.156;
CHINESE GEOGR SCI;1002-0063;207;0.500;0.489;0.041;73;4.6;0.00050;0.100;
CHINESE J AERONAUT;1000-9361;213;0.406;;0.013;80;3.5;0.00086;;
CHINESE J ANAL CHEM;0253-3820;1960;0.941;0.648;0.138;363;4.1;0.00314;0.084;
CHINESE J CANCER RES;1000-9604;65;0.182;;0.089;56;;0.00013;;
CHINESE J CATAL;0253-9837;1529;1.171;0.945;0.183;273;3.8;0.00293;0.140;
CHINESE J CHEM ENG;1004-9541;1008;0.826;1.093;0.039;153;4.2;0.00347;0.255;
CHINESE J CHEM PHYS;1674-0068;477;0.692;0.585;0.042;118;4.1;0.00150;0.140;
CHINESE J CHEM;1001-604X;1873;0.755;0.722;0.092;435;3.9;0.00470;0.137;
CHINESE J ELECTRON;1022-4653;148;0.147;0.112;0.071;154;3.8;0.00031;0.021;
CHINESE J GEOPHYS-CH;0001-5733;1718;0.720;0.749;0.153;352;4.8;0.00236;0.094;
CHINESE J INORG CHEM;1001-4861;1700;0.628;0.561;0.076;419;4.3;0.00213;0.057;
CHINESE J ORG CHEM;0253-2786;1462;0.608;0.592;0.066;316;5.0;0.00182;0.066;
CHINESE J PHYS;0577-9073;400;0.448;0.402;0.065;124;8.0;0.00095;0.152;
CHINESE J PHYSIOL;0304-4920;345;0.558;0.743;0.080;50;5.7;0.00069;0.157;
CHINESE J POLYM SCI;0256-7679;469;0.919;0.623;0.133;90;3.5;0.00092;0.107;
CHINESE J STRUC CHEM;0254-5861;941;0.440;0.442;0.074;284;4.6;0.00142;0.057;
CHINESE MED J-PEKING;0366-6999;4447;0.864;0.991;0.083;779;4.9;0.01096;0.230;
CHINESE PHYS B;1674-1056;4033;1.376;1.353;0.216;1034;2.2;0.00983;0.191;
CHINESE PHYS C;1674-1137;291;0.272;0.240;0.086;221;2.2;0.00171;0.082;
CHINESE PHYS LETT;0256-307X;4932;0.731;0.656;0.258;946;3.8;0.01666;0.181;
CHINESE SCI BULL;1001-6538;7080;1.321;1.243;0.292;569;5.7;0.01617;0.309;
CHIR MAIN;1297-3203;403;0.529;;0.046;108;6.6;0.00060;;
CHIRALITY;0899-0042;2809;2.350;2.232;0.405;126;5.8;0.00690;0.605;
CHIRURG;0009-4722;1453;0.703;0.653;0.188;133;9.1;0.00181;0.145;
CHIRURGIA-BUCHAREST;1221-9118;307;0.375;;0.135;111;4.5;0.00037;;
CHROMATOGRAPHIA;0009-5893;5186;1.195;1.275;0.249;277;7.2;0.00969;0.299;
CHROMOSOMA;0009-5915;3358;3.847;3.685;0.694;49;>10.0;0.00930;2.021;
CHROMOSOME RES;0967-3849;2498;3.087;3.083;0.686;70;6.1;0.00981;1.382;
CHRON DIS INJ CAN;1925-6523;4;;;0.211;19;;0.00000;;
CHRONIC DIS CAN;0228-8699;275;0.979;;0.400;5;8.1;0.00064;;
CHRONOBIOL INT;0742-0528;2740;4.028;3.233;0.500;104;5.1;0.00616;0.700;
CIENC FLOREST;0103-9954;283;0.240;;0.013;80;6.6;0.00055;;
CIENC MAR;0185-3880;432;0.452;0.642;0.184;38;8.6;0.00074;0.191;
CIENC TEC VITIVINIC;0254-0223;36;0.263;;0.000;9;;0.00009;;
CIENCIA TECNOL ALIME;0101-2061;934;0.221;;0.020;147;6.5;0.00157;;
CIN-COMPUT INFORM NU;1538-2931;357;0.831;1.120;0.100;100;5.6;0.00094;0.307;
CIR CIR;0009-7411;95;0.138;;0.012;85;;0.00018;;
CIR ESPAN;0009-739X;459;0.874;;0.139;72;4.1;0.00095;;
CIRC J;1346-9843;6063;3.766;2.755;0.731;338;3.2;0.02116;0.684;
CIRC RES;0009-7330;43101;9.489;10.037;1.992;262;7.9;0.10884;3.889;
CIRC SYST SIGNAL PR;0278-081X;473;0.817;0.905;0.033;91;5.4;0.00182;0.352;
CIRC-ARRHYTHMIA ELEC;1941-3149;1416;6.462;6.525;0.862;109;2.3;0.00943;2.545;
CIRC-CARDIOVASC GENE;1942-325X;1080;6.105;6.137;1.136;81;2.1;0.00842;2.870;
CIRC-CARDIOVASC IMAG;1941-9651;1053;5.941;6.032;1.221;77;2.1;0.00757;2.611;
CIRC-CARDIOVASC INTE;1941-7640;1091;6.058;6.250;1.333;66;2.1;0.00840;2.862;
CIRC-CARDIOVASC QUAL;1941-7705;1006;4.906;5.097;1.459;74;2.0;0.00898;2.799;
CIRC-HEART FAIL;1941-3289;1395;6.286;6.639;1.261;88;2.1;0.01136;3.242;
CIRCUIT WORLD;0305-6120;133;0.444;0.416;0.105;19;8.0;0.00032;0.141;
CIRCULATION;0009-7322;148286;14.739;15.304;3.041;582;8.1;0.33928;5.973;
CIRP ANN-MANUF TECHN;0007-8506;4675;1.708;2.078;0.138;160;9.2;0.00841;0.619;
CIV ENG ENVIRON SYST;1028-6608;164;0.562;0.720;0.053;19;6.3;0.00037;0.188;
CIVIL ENG;0885-7024;226;0.176;0.164;0.080;50;>10.0;0.00022;0.047;
CL LYMPH MYELOM LEUK;2152-2650;676;1.880;1.601;0.122;98;2.9;0.00390;0.531;
CLADISTICS;0748-3007;3229;5.250;5.684;0.972;36;>10.0;0.00621;1.914;
CLASSICAL QUANT GRAV;0264-9381;13742;3.320;2.706;1.261;456;5.7;0.04893;1.092;
CLAY CLAY MINER;0009-8604;3898;1.162;1.558;0.479;48;>10.0;0.00317;0.542;
CLAY MINER;0009-8558;1701;1.053;1.052;0.122;49;>10.0;0.00124;0.351;
CLEAN TECHNOL ENVIR;1618-954X;438;1.753;;0.314;70;3.5;0.00110;;
CLEAN-SOIL AIR WATER;1863-0650;946;2.177;2.118;0.221;145;2.7;0.00325;0.411;
CLEFT PALATE-CRAN J;1545-1569;2810;0.822;1.211;0.162;99;>10.0;0.00322;0.358;
CLEV CLIN J MED;0891-1150;1513;3.773;2.982;0.660;47;5.3;0.00477;0.946;
CLIM DYNAM;0930-7575;7147;4.602;5.114;0.660;291;6.4;0.02838;2.492;
CLIM PAST;1814-9324;879;3.509;3.884;0.413;92;3.1;0.00755;1.915;
CLIM RES;0936-577X;2690;1.994;2.841;0.657;102;8.5;0.00626;1.026;
CLIMACTERIC;1369-7137;1105;1.986;1.952;0.462;91;4.7;0.00263;0.432;
CLIMATIC CHANGE;0165-0009;8798;3.385;4.906;0.745;239;6.7;0.02635;1.845;
CLIN ANAT;0897-3806;1795;1.289;1.277;0.306;134;6.2;0.00399;0.333;
CLIN APPL THROMB-HEM;1076-0296;810;1.332;1.268;0.146;144;4.5;0.00220;0.312;
CLIN AUTON RES;0959-9851;1010;1.299;1.395;0.295;44;8.2;0.00198;0.474;
CLIN BIOCHEM;0009-9120;5455;2.076;2.079;0.494;257;6.2;0.01256;0.569;
CLIN BIOMECH;0268-0033;5009;2.071;2.468;0.244;156;7.6;0.01099;0.792;
CLIN BREAST CANCER;1526-8209;1199;2.375;2.273;0.233;60;4.9;0.00417;0.748;
CLIN CANCER RES;1078-0432;60853;7.742;7.508;1.486;767;5.4;0.20597;2.538;
CLIN CARDIOL;0160-9289;2175;2.151;1.698;0.278;115;7.9;0.00550;0.596;
CLIN CHEM LAB MED;1434-6621;4483;2.150;1.982;0.605;266;4.9;0.01166;0.507;
CLIN CHEM;0009-9147;25542;7.905;6.725;1.804;163;9.3;0.04652;2.149;
CLIN CHEST MED;0272-5231;1880;3.284;2.900;0.210;62;7.2;0.00505;0.983;
CLIN CHIM ACTA;0009-8981;11065;2.535;2.661;0.539;388;7.3;0.02220;0.719;
CLIN COLORECTAL CANC;1533-0028;520;1.676;1.735;0.065;46;4.9;0.00207;0.575;
CLIN DERMATOL;0738-081X;2277;2.333;2.933;0.237;76;6.7;0.00541;0.826;
CLIN DEV IMMUNOL;1740-2522;513;1.838;2.306;0.538;117;4.1;0.00167;0.632;
CLIN DRUG INVEST;1173-2563;1055;1.822;1.443;0.278;79;4.9;0.00271;0.358;
CLIN DYSMORPHOL;0962-8827;505;0.543;0.508;0.054;56;8.8;0.00119;0.213;
CLIN EEG NEUROSCI;1550-0594;353;1.725;1.352;0.618;34;4.1;0.00133;0.399;
CLIN ENDOCRINOL;0300-0664;10349;3.168;3.249;0.573;232;7.4;0.02330;1.009;
CLIN EXP ALLERGY;0954-7894;10236;5.032;4.342;0.914;175;6.9;0.02220;1.254;
CLIN EXP DERMATOL;0307-6938;3704;1.198;1.499;0.219;160;7.2;0.00865;0.448;
CLIN EXP HYPERTENS;1064-1963;1100;1.074;1.066;0.156;77;9.9;0.00186;0.304;
CLIN EXP IMMUNOL;0009-9104;11582;3.360;3.071;0.686;191;8.7;0.02309;0.997;
CLIN EXP MED;1591-8890;504;2.000;1.847;0.303;33;4.4;0.00157;0.484;
CLIN EXP METASTAS;0262-0898;3014;3.524;3.991;0.765;68;6.7;0.00808;1.336;
CLIN EXP NEPHROL;1342-1751;797;1.374;;0.101;148;4.1;0.00298;;
CLIN EXP OBSTET GYN;0390-6663;515;0.429;;0.126;111;7.4;0.00079;;
CLIN EXP OPHTHALMOL;1442-6404;1865;1.977;1.846;0.429;105;4.8;0.00758;0.662;
CLIN EXP OPTOM;0816-4622;683;1.047;1.206;0.338;74;5.5;0.00180;0.348;
CLIN EXP OTORHINOLAR;1976-8710;115;0.915;0.934;0.025;40;2.7;0.00073;0.328;
CLIN EXP PHARMACOL P;0305-1870;4716;1.851;2.001;0.608;120;6.5;0.01125;0.573;
CLIN EXP RHEUMATOL;0392-856X;5042;2.148;2.151;0.301;226;6.2;0.01114;0.548;
CLIN GASTROENTEROL H;1542-3565;7164;5.627;5.973;1.765;132;4.3;0.03453;2.090;
CLIN GENET;0009-9163;5150;3.128;3.115;0.844;122;7.1;0.01430;1.180;
CLIN GENITOURIN CANC;1558-7673;290;2.605;1.979;0.000;23;4.1;0.00154;0.593;
CLIN GERIATR MED;0749-0690;1149;2.484;1.752;0.614;44;8.4;0.00255;0.574;
CLIN GERONTOLOGIST;0731-7115;412;0.727;;0.069;29;>10.0;0.00044;;
CLIN HEMORHEOL MICRO;1386-0291;1756;3.398;2.066;0.593;108;3.9;0.00236;0.252;
CLIN IMAG;0899-7071;887;0.746;0.782;0.036;83;7.6;0.00198;0.259;
CLIN IMMUNOL;1521-6616;6967;4.046;3.893;0.957;141;6.1;0.02049;1.316;
CLIN IMPLANT DENT R;1523-0899;1282;3.532;3.200;0.333;39;6.5;0.00315;1.041;
CLIN INFECT DIS;1058-4838;43819;9.154;8.667;2.312;397;6.2;0.13396;3.121;
CLIN INTERV AGING;1176-9092;588;2.083;2.017;0.297;37;3.5;0.00268;0.512;
CLIN INVEST MED;0147-958X;778;1.167;1.504;0.088;57;7.5;0.00187;0.452;
CLIN J AM SOC NEPHRO;1555-9041;6561;5.227;5.310;0.899;347;3.0;0.03728;1.737;
CLIN J ONCOL NURS;1092-1095;549;0.729;;0.187;75;4.2;0.00183;;
CLIN J PAIN;0749-8047;4279;2.813;3.352;0.382;110;6.6;0.01054;1.016;
CLIN J SPORT MED;1050-642X;2320;2.119;2.356;0.405;84;6.6;0.00543;0.689;
CLIN LAB MED;0272-2712;911;1.971;1.815;0.170;47;6.1;0.00257;0.576;
CLIN LAB;1433-6510;563;0.904;1.066;0.081;123;6.0;0.00126;0.269;
CLIN LINGUIST PHONET;0269-9206;698;0.636;0.820;0.091;77;7.6;0.00135;0.228;
CLIN LIPIDOL;1758-4299;108;0.754;0.762;0.240;50;2.0;0.00051;0.219;
CLIN LIVER DIS;1089-3261;1470;3.180;;0.077;52;5.1;0.00469;;
CLIN LUNG CANCER;1525-7304;870;2.944;2.287;0.241;54;3.9;0.00379;0.751;
CLIN MED;1470-2118;804;1.153;1.172;0.362;69;5.4;0.00256;0.374;
CLIN MICROBIOL INFEC;1198-743X;7630;4.540;4.162;1.047;339;3.9;0.03098;1.386;
CLIN MICROBIOL REV;0893-8512;11551;16.129;19.832;1.875;32;9.1;0.02169;6.837;
CLIN NEPHROL;0301-0430;3248;1.171;1.266;0.199;166;9.3;0.00477;0.331;
CLIN NEUROL NEUROSUR;0303-8467;2564;1.581;1.581;0.118;211;5.4;0.00734;0.455;
CLIN NEUROPATHOL;0722-5091;908;1.043;1.089;1.314;35;>10.0;0.00135;0.312;
CLIN NEUROPHARMACOL;0362-5664;1911;2.166;2.245;0.351;57;8.0;0.00331;0.575;
CLIN NEUROPHYSIOL;1388-2457;11496;3.406;3.760;0.772;303;6.4;0.02908;1.161;
CLIN NEUROPSYCHOL;1385-4046;1816;2.115;2.173;0.230;74;8.7;0.00332;0.578;
CLIN NEURORADIOL;1869-1439;79;1.091;;0.214;14;;0.00042;;
CLIN NUCL MED;0363-9762;2570;3.674;3.375;0.402;112;6.6;0.00370;0.609;
CLIN NURS RES;1054-7738;428;0.881;;0.074;27;8.8;0.00060;;
CLIN NURSE SPEC;0887-6274;303;0.810;0.958;0.125;24;6.5;0.00058;0.221;
CLIN NUTR;0261-5614;4417;3.731;4.093;0.664;125;5.8;0.01104;1.092;
CLIN OBSTET GYNECOL;0009-9201;2004;1.935;2.281;0.132;76;8.5;0.00565;0.856;
CLIN ONCOL-UK;0936-6555;1897;2.072;2.190;0.914;81;5.0;0.00604;0.713;
CLIN ORAL IMPLAN RES;0905-7161;6306;2.514;3.435;0.354;175;7.2;0.01214;0.884;
CLIN ORAL INVEST;1432-6981;1294;2.364;2.386;0.291;117;4.8;0.00427;0.749;
CLIN ORTHOP RELAT R;0009-921X;28888;2.533;2.617;0.379;420;>10.0;0.03555;0.901;
CLIN OTOLARYNGOL;1749-4478;2187;2.393;2.007;0.289;45;>10.0;0.00329;0.610;
CLIN PEDIATR;0009-9228;2235;1.151;1.170;0.196;138;9.8;0.00419;0.388;
CLIN PERINATOL;0095-5108;1459;2.457;2.593;0.167;48;6.9;0.00403;0.869;
CLIN PHARMACOKINET;0312-5963;5928;5.398;4.984;1.036;55;9.2;0.00809;1.428;
CLIN PHARMACOL THER;0009-9236;12986;6.043;6.231;2.389;203;6.9;0.03082;1.943;
CLIN PHYSIOL FUNCT I;1475-0961;1418;1.213;1.270;0.276;76;9.6;0.00226;0.382;
CLIN PLAST SURG;0094-1298;1842;1.422;1.473;0.153;59;>10.0;0.00235;0.494;
CLIN PSYCHOL-UK;1328-4207;77;0.517;;0.067;15;;0.00037;;
CLIN RADIOL;0009-9260;4138;1.952;1.829;0.305;154;8.4;0.00850;0.596;
CLIN REHABIL;0269-2155;3370;2.123;2.530;0.303;99;7.0;0.00724;0.724;
CLIN RES CARDIOL;1861-0684;1212;2.961;2.222;0.705;105;3.0;0.00493;0.528;
CLIN RES HEPATOL GAS;2210-7401;30;;;0.252;115;;0.00001;;
CLIN RESPIR J;1752-6981;148;1.056;0.918;0.649;37;2.2;0.00087;0.352;
CLIN REV ALLERG IMMU;1080-0549;1249;3.677;2.896;0.750;52;4.4;0.00403;0.876;
CLIN RHEUMATOL;0770-3198;4068;1.996;1.722;0.433;231;4.7;0.01271;0.486;
CLIN SCI;0143-5221;7375;4.317;4.181;1.217;92;9.2;0.01368;1.352;
CLIN SPORT MED;0278-5919;1529;1.554;1.973;0.860;57;9.7;0.00235;0.575;
CLIN TER;0009-9074;216;0.266;;0.011;89;5.9;0.00044;;
CLIN THER;0149-2918;6205;2.321;2.969;0.231;169;5.8;0.01768;0.894;
CLIN TOXICOL;1556-3650;1435;2.221;1.819;0.301;103;3.6;0.00508;0.473;
CLIN TRANSL ONCOL;1699-048X;841;1.327;;0.260;127;3.5;0.00395;;
CLIN TRANSPLANT;0902-0063;3392;1.667;1.943;0.341;220;6.4;0.00901;0.636;
CLIN TRIALS;1740-7745;935;2.362;2.418;0.373;59;4.2;0.00662;1.347;
CLIN VACCINE IMMUNOL;1556-6811;3478;2.546;2.546;0.502;315;3.2;0.01754;0.736;
CLIN VET PEQUENOS AN;1130-7064;3;0.000;;0.059;17;;0.00001;;
CLINICS;1807-5932;1263;2.058;;0.123;367;2.7;0.00391;;
CLONING STEM CELLS;1536-2302;953;2.660;3.042;;0;4.8;0.00303;0.862;
CLUSTER COMPUT;1386-7857;233;0.519;0.634;0.031;32;7.9;0.00080;0.302;
CMC-COMPUT MATER CON;1546-2218;259;0.972;0.939;0.123;73;2.7;0.00118;0.278;
CMES-COMP MODEL ENG;1526-1492;1473;1.123;1.318;0.205;156;3.9;0.00613;0.440;
CNS DRUGS;1172-7047;2853;4.795;4.334;0.915;71;5.1;0.00764;1.161;
CNS NEUROL DISORD-DR;1871-5273;1077;3.810;4.120;0.479;71;3.4;0.00508;1.107;
CNS NEUROSCI THER;1755-5930;540;4.443;4.528;0.562;73;2.0;0.00241;1.219;
CNS SPECTRUMS;1092-8529;1883;2.186;2.219;;;4.9;0.00610;0.633;
COAST ENG J;0578-5634;151;0.452;0.629;0.000;11;8.2;0.00045;0.278;
COAST ENG;0378-3839;2876;1.757;2.508;0.576;92;7.7;0.00776;1.001;
COAST MANAGE;0892-0753;558;1.194;1.411;0.029;34;7.5;0.00120;0.415;
COCHRANE DB SYST REV;1469-493X;29593;5.912;6.309;0.905;620;4.7;0.12170;2.180;
COGN AFFECT BEHAV NE;1530-7026;2071;3.565;4.857;0.353;51;6.3;0.00698;1.941;
COGN BEHAV NEUROL;1543-3633;546;1.342;1.625;0.103;29;5.3;0.00185;0.526;
COGN COMPUT;1866-9956;77;1.000;1.016;0.100;40;;0.00032;0.279;
COGN NEURODYNAMICS;1871-4080;185;0.985;1.439;0.235;34;3.3;0.00098;0.436;
COGN NEUROPSYCHOL;0264-3294;2442;2.134;3.136;1.188;16;8.8;0.00330;0.845;
COGN NEUROSCI-UK;1758-8928;45;1.379;1.379;0.102;49;;0.00028;0.531;
COGN SYST RES;1389-0417;228;1.173;1.128;0.129;31;5.4;0.00103;0.481;
COGNITIVE PSYCHOL;0010-0285;5360;4.273;5.061;0.235;17;>10.0;0.00601;2.850;
COLD REG SCI TECHNOL;0165-232X;1559;1.429;1.565;0.517;118;6.2;0.00313;0.381;
COLEOPTS BULL;0010-065X;577;0.404;0.513;0.125;40;>10.0;0.00060;0.142;
COLLECT CZECH CHEM C;0010-0765;2449;1.283;0.996;0.160;131;>10.0;0.00222;0.223;
COLLECT MATH;0010-0757;234;0.628;0.561;0.000;20;>10.0;0.00138;0.704;
COLLEGIAN;1322-7696;184;0.898;;0.174;23;5.4;0.00043;;
COLLOID J+;1061-933X;1239;0.707;0.724;0.148;108;8.7;0.00183;0.179;
COLLOID POLYM SCI;0303-402X;5510;2.331;2.077;0.513;195;9.0;0.00773;0.465;
COLLOID SURFACE A;0927-7757;17780;2.236;2.359;0.336;660;6.6;0.03627;0.588;
COLLOID SURFACE B;0927-7765;8715;3.456;3.354;0.716;524;4.2;0.02119;0.740;
COLLOQ MATH-WARSAW;0010-1354;691;0.357;;0.056;89;>10.0;0.00299;;
COLOMB MEDICA;1657-9534;82;0.074;;0.000;61;;0.00011;;
COLOR RES APPL;0361-2317;1071;0.943;1.170;0.302;43;>10.0;0.00179;0.406;
COLOR TECHNOL;1472-3581;567;0.959;1.048;0.153;59;6.3;0.00113;0.245;
COLORECTAL DIS;1462-8910;3197;2.580;2.699;0.408;316;4.0;0.01157;0.764;
COMB CHEM HIGH T SCR;1386-2073;1333;1.785;1.903;0.154;78;4.9;0.00351;0.465;
COMB PROBAB COMPUT;0963-5483;562;0.778;0.816;0.123;57;7.6;0.00542;1.155;
COMBINATORICA;0209-9683;1269;0.671;0.964;0.000;37;>10.0;0.00528;1.462;
COMBUST EXPLO SHOCK+;0010-5082;976;0.539;0.544;0.056;90;>10.0;0.00143;0.163;
COMBUST FLAME;0010-2180;10269;3.585;3.541;0.679;221;8.9;0.02045;1.170;
COMBUST SCI TECHNOL;0010-2202;2938;0.857;1.351;0.200;80;>10.0;0.00512;0.561;
COMBUST THEOR MODEL;1364-7830;675;1.095;1.236;0.190;42;6.8;0.00229;0.535;
COMM APP MATH COM SC;1559-3940;47;1.562;;0.500;4;;0.00051;;
COMMENT INORG CHEM;0260-3594;447;1.917;2.370;0.000;6;>10.0;0.00056;0.660;
COMMENT MATH HELV;0010-2571;1390;0.862;1.123;0.516;31;>10.0;0.00499;1.591;
COMMUN ACM;0001-0782;9070;1.919;2.113;0.450;120;>10.0;0.01531;1.062;
COMMUN ALGEBRA;0092-7872;2465;0.347;0.413;0.074;325;>10.0;0.01116;0.393;
COMMUN ANAL GEOM;1019-8385;485;0.687;0.836;0.032;31;8.9;0.00361;1.152;
COMMUN COMPUT PHYS;1815-2406;823;1.397;1.704;0.477;128;3.2;0.00742;0.936;
COMMUN CONTEMP MATH;0219-1997;361;0.574;0.831;0.068;44;6.9;0.00355;0.992;
COMMUN MATH PHYS;0010-3616;12829;1.941;1.998;0.551;214;>10.0;0.04209;1.845;
COMMUN MATH SCI;1539-6746;565;1.412;1.386;0.281;57;4.6;0.00539;1.171;
COMMUN NONLINEAR SCI;1007-5704;3521;2.806;;0.647;459;2.4;0.01691;;
COMMUN NUMBER THEORY;1931-4523;105;1.412;1.563;0.385;13;3.0;0.00183;1.563;
COMMUN NUMER METH EN;1069-8299;900;1.754;1.068;;0;7.3;0.00360;0.530;
COMMUN PART DIFF EQ;0360-5302;2161;0.894;1.304;0.237;80;>10.0;0.01043;1.466;
COMMUN PUR APPL ANAL;1534-0392;455;0.692;0.739;0.200;105;4.1;0.00470;0.608;
COMMUN PUR APPL MATH;0010-3640;5979;2.575;3.940;0.955;44;>10.0;0.01768;4.137;
COMMUN SOIL SCI PLAN;0010-3624;3466;0.506;0.642;0.063;223;>10.0;0.00336;0.174;
COMMUN STAT-SIMUL C;0361-0918;721;0.387;0.482;0.010;104;>10.0;0.00350;0.327;
COMMUN STAT-THEOR M;0361-0926;1757;0.274;0.386;0.077;285;>10.0;0.00599;0.284;
COMMUN THEOR PHYS;0253-6102;1814;0.747;0.516;0.246;390;3.6;0.00532;0.120;
COMMUNITY DENT HLTH;0265-539X;856;0.753;0.936;0.086;58;>10.0;0.00106;0.284;
COMMUNITY DENT ORAL;0301-5661;3187;1.894;2.831;0.194;62;>10.0;0.00443;0.820;
COMMUNITY ECOL;1585-8553;468;1.679;1.745;0.033;30;5.0;0.00169;0.618;
COMP BIOCHEM PHYS A;1095-6433;8122;2.235;2.257;0.590;188;9.7;0.01391;0.675;
COMP BIOCHEM PHYS B;1096-4959;6533;1.923;1.984;0.389;95;>10.0;0.00843;0.529;
COMP BIOCHEM PHYS C;1532-0456;5429;2.616;2.897;0.778;99;8.5;0.00893;0.723;
COMP BIOCHEM PHYS D;1744-117X;407;1.718;2.011;0.884;43;3.6;0.00186;0.555;
COMP CYTOGENET;1993-0771;60;0.595;0.757;0.125;32;;0.00018;0.133;
COMP FUNCT GENOM;1531-6912;406;1.282;1.145;0.077;13;7.8;0.00041;0.360;
COMP GEOM-THEOR APPL;0925-7721;678;0.725;0.852;0.136;44;8.9;0.00327;0.660;
COMP IMMUNOL MICROB;0147-9571;1063;2.337;2.398;0.450;60;7.2;0.00212;0.638;
COMP MATER SCI;0927-0256;6635;1.574;1.755;0.467;345;5.7;0.02251;0.648;
COMP MATH MATH PHYS+;0965-5425;1202;0.301;;0.138;167;>10.0;0.00308;;
COMP PARASITOL;1525-2647;331;0.757;0.796;0.264;53;5.6;0.00076;0.202;
COMPARATIVE MED;1532-0820;751;1.052;1.145;0.190;21;6.7;0.00189;0.356;
COMPEL;0332-1649;367;0.301;0.311;0.140;136;4.9;0.00114;0.109;
COMPLEMENT THER MED;0965-2299;957;1.872;2.279;0.200;50;6.6;0.00161;0.462;
COMPLEX ANAL OPER TH;1661-8254;98;0.600;0.659;0.089;56;;0.00156;0.659;
COMPLEX VAR ELLIPTIC;1747-6933;225;0.532;;0.122;74;3.4;0.00352;;
COMPLEXITY;1076-2787;442;1.020;1.051;0.172;29;8.3;0.00102;0.407;
COMPOS INTERFACE;0927-6440;448;0.438;0.581;;;6.7;0.00098;0.178;
COMPOS MATH;0010-437X;1837;1.187;1.420;0.225;71;>10.0;0.01347;2.339;
COMPOS PART A-APPL S;1359-835X;6952;2.695;3.160;0.273;238;5.7;0.01886;0.901;
COMPOS PART B-ENG;1359-8368;2365;1.731;2.301;0.286;248;6.5;0.00676;0.828;
COMPOS SCI TECHNOL;0266-3538;14310;3.144;3.818;0.464;267;6.1;0.03772;1.139;
COMPOS STRUCT;0263-8223;6586;2.240;2.281;0.369;328;5.9;0.01825;0.699;
COMPOST SCI UTIL;1065-657X;524;0.639;0.834;0.000;32;8.5;0.00053;0.177;
COMPR PSYCHIAT;0010-440X;3492;2.257;2.665;0.408;103;9.5;0.00623;0.795;
COMPR REV FOOD SCI F;1541-4337;804;3.724;4.297;0.450;20;5.3;0.00243;1.192;
COMPUT AIDED DESIGN;0010-4485;2848;1.234;1.810;0.189;164;8.0;0.00541;0.603;
COMPUT AIDED GEOM D;0167-8396;1240;1.054;1.178;0.116;43;>10.0;0.00339;0.669;
COMPUT AIDED SURG;1092-9088;572;0.296;;0.156;32;8.4;0.00103;;
COMPUT ANIMAT VIRT W;1546-4261;206;0.394;0.530;0.020;51;4.9;0.00107;0.236;
COMPUT APPL ENG EDUC;1061-3773;288;0.333;0.625;0.045;89;6.0;0.00039;0.095;
COMPUT APPL MATH;0101-8205;126;0.413;0.480;0.059;34;8.2;0.00055;0.298;
COMPUT BIOL CHEM;1476-9271;669;1.551;1.525;0.065;46;4.9;0.00234;0.456;
