Abbreviated Journal Title;ISSN;{2009} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2009} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
BIOL CHEM;1431-6730;5509;2.732;2.918;0.799;139;6.8;0.01824;1.104;
BIOL CONSERV;0006-3207;13288;3.167;3.907;0.602;329;6.1;0.04224;1.253;
BIOL CONTROL;1049-9644;3258;1.612;1.810;0.632;185;5.5;0.00924;0.480;
BIOL CYBERN;0340-1200;4624;1.697;2.098;0.373;67;>10.0;0.00621;0.771;
BIOL DIRECT;1745-6150;523;3.322;3.773;0.851;47;2.5;0.00457;1.716;
BIOL ENVIRON;0791-7945;33;0.000;0.121;0.000;26;;0.00004;0.019;
BIOL INVASIONS;1387-3547;2636;3.074;3.565;0.631;198;3.9;0.01176;1.165;
BIOL J LINN SOC;0024-4066;6285;2.040;2.705;0.395;228;8.3;0.01652;0.996;
BIOL LETTERS;1744-9561;2620;3.521;3.626;0.820;183;2.8;0.02286;1.613;
BIOL MEMBRANY;0233-4755;143;0.175;0.210;0.040;50;8.3;0.00017;0.030;
BIOL PHARM BULL;0918-6158;8021;1.810;1.931;0.278;381;5.3;0.02289;0.476;
BIOL PHILOS;0169-3867;572;1.211;1.445;0.350;40;6.7;0.00171;0.501;
BIOL PLANTARUM;0006-3134;2163;1.656;1.609;0.233;133;6.0;0.00339;0.249;
BIOL PROCED ONLINE;1480-9222;164;0.750;;0.000;20;4.3;0.00077;;
BIOL PSYCHIAT;0006-3223;31909;8.926;9.489;1.592;304;6.0;0.10849;3.222;
BIOL PSYCHOL;0301-0511;3983;4.363;4.337;0.787;108;6.1;0.01328;1.464;
BIOL REPROD;0006-3363;21101;3.300;3.613;0.900;281;8.8;0.03396;1.040;
BIOL RES NURS;1099-8004;310;0.930;;0.308;39;5.4;0.00102;;
BIOL RES;0716-9760;666;0.849;1.346;0.077;52;5.6;0.00205;0.363;
BIOL REV;1464-7931;4449;6.625;9.208;1.000;32;>10.0;0.01171;3.907;
BIOL RHYTHM RES;0929-1016;278;0.731;0.639;0.130;46;6.4;0.00067;0.165;
BIOL TRACE ELEM RES;0163-4984;2466;1.127;1.144;0.204;181;7.9;0.00392;0.242;
BIOLOGIA;0006-3088;769;0.617;0.470;0.106;226;5.5;0.00193;0.111;
BIOLOGICALS;1045-1056;722;1.381;1.411;0.406;64;6.5;0.00171;0.398;
BIOMACROMOLECULES;1525-7797;15346;4.502;5.054;0.742;422;4.1;0.06581;1.410;
BIOMARK MED;1752-0363;90;0.861;0.861;0.478;46;;0.00038;0.230;
BIOMARKERS;1354-750X;938;1.608;2.217;0.189;95;5.7;0.00279;0.607;
BIOMASS BIOENERG;0961-9534;5262;3.326;4.098;0.419;203;6.4;0.01206;1.017;
BIOMATERIALS;0142-9612;46835;7.365;8.153;1.117;760;5.3;0.12969;1.961;
BIOMECH MODEL MECHAN;1617-7959;644;3.169;3.667;0.700;40;3.5;0.00341;1.162;
BIOMED CHROMATOGR;0269-3879;2122;1.639;1.679;0.254;169;4.7;0.00652;0.409;
BIOMED ENG ONLINE;1475-925X;474;1.639;;0.050;40;4.2;0.00239;;
BIOMED ENVIRON SCI;0895-3988;739;0.669;0.859;0.141;78;6.9;0.00141;0.184;
BIOMED MATER;1748-6041;492;1.963;2.186;0.206;107;2.4;0.00236;0.539;
BIOMED MICRODEVICES;1387-2176;1582;3.323;3.514;0.529;138;3.4;0.00608;0.922;
BIOMED PHARMACOTHER;0753-3322;2647;2.238;2.514;0.291;110;5.5;0.00780;0.639;
BIOMED RES-TOKYO;0388-6107;386;1.146;1.156;0.075;53;4.4;0.00135;0.316;
BIOMED SIGNAL PROCES;1746-8094;66;0.620;0.624;0.071;42;;0.00038;0.181;
BIOMED TECH;0013-5585;441;0.525;0.739;0.075;40;6.3;0.00108;0.184;
BIOMEDICA;0120-4157;305;0.573;;0.000;61;4.2;0.00089;;
BIOMETALS;0966-0844;2265;3.172;3.136;0.771;105;5.6;0.00770;0.969;
BIOMETRICAL J;0323-3847;937;1.208;1.135;0.300;70;6.7;0.00509;0.703;
BIOMETRICS;0006-341X;13768;1.867;2.401;0.289;135;>10.0;0.02161;1.632;
BIOMETRIKA;0006-3444;13205;1.933;2.309;0.272;81;>10.0;0.01772;2.271;
BIOMICROFLUIDICS;1932-1058;164;2.895;2.895;1.059;51;1.7;0.00048;0.612;
BIOMOL ENG;1389-0344;1046;3.172;3.588;;0;4.5;0.00359;1.045;
BIOMOL NMR ASSIGN;1874-2718;109;0.750;0.750;0.242;66;2.1;0.00094;0.365;
BIOMOL THER;1976-9148;30;0.292;0.323;0.131;61;;0.00005;0.036;
BIOORG CHEM;0045-2068;968;1.588;1.944;0.400;15;7.7;0.00259;0.638;
BIOORG MED CHEM LETT;0960-894X;25857;2.650;2.592;0.602;1509;4.5;0.07435;0.580;
BIOORGAN MED CHEM;0968-0896;17468;2.822;3.046;0.554;890;4.2;0.05619;0.702;
BIOPHARM DRUG DISPOS;0142-2782;981;1.246;1.209;0.231;52;8.8;0.00159;0.290;
BIOPHARM INT;1542-166X;218;0.522;0.436;0.182;77;3.1;0.00107;0.128;
BIOPHYS CHEM;0301-4622;4664;2.276;2.073;0.588;131;7.4;0.01218;0.689;
BIOPHYS J;0006-3495;49705;4.390;4.764;0.831;832;7.0;0.17408;1.919;
BIOPOLYMERS;0006-3525;10475;2.605;2.474;0.471;155;>10.0;0.01782;0.875;
BIOPROC BIOSYST ENG;1615-7591;693;1.823;1.779;0.284;95;3.9;0.00227;0.383;
BIORESOURCE TECHNOL;0960-8524;20537;4.253;4.742;0.783;1024;4.1;0.04841;0.908;
BIORHEOLOGY;0006-355X;1842;1.279;2.531;0.281;32;9.2;0.00285;0.642;
BIOSCI BIOTECH BIOCH;0916-8451;8889;1.326;1.472;0.201;527;7.6;0.01891;0.402;
BIOSCIENCE REP;0144-8463;1213;3.061;2.689;0.692;39;8.5;0.00259;0.840;
BIOSCIENCE;0006-3568;8783;4.064;6.150;0.576;66;9.0;0.02109;2.660;
BIOSENS BIOELECTRON;0956-5663;14196;5.429;5.480;0.967;599;4.3;0.04369;1.237;
BIOSTATISTICS;1465-4644;1972;3.246;3.809;0.443;61;6.1;0.01209;2.409;
BIOSYSTEMS;0303-2647;2200;1.267;1.653;0.457;105;6.5;0.00571;0.463;
BIOTECH HISTOCHEM;1052-0295;396;0.667;0.983;0.079;38;9.6;0.00076;0.303;
BIOTECHNIQUES;0736-6205;7944;2.548;2.652;0.508;63;8.3;0.01811;1.040;
BIOTECHNOL ADV;0734-9750;2788;8.250;8.644;0.951;102;4.5;0.00838;2.315;
BIOTECHNOL APPL BIOC;0885-4513;1561;1.239;1.529;0.466;88;7.8;0.00285;0.393;
BIOTECHNOL BIOENG;0006-3592;19204;3.377;3.627;0.731;390;8.2;0.03937;0.995;
BIOTECHNOL BIOFUELS;1754-6834;83;4.118;4.118;0.419;31;;0.00038;1.082;
BIOTECHNOL BIOPROC E;1226-8372;665;1.412;1.024;0.073;123;3.3;0.00189;0.184;
BIOTECHNOL BIOTEC EQ;1310-2818;129;0.291;;0.082;98;3.5;0.00036;;
BIOTECHNOL LAW REP;0730-031X;13;0.389;0.145;0.000;8;;0.00005;0.044;
BIOTECHNOL LETT;0141-5492;6621;1.636;1.676;0.244;275;7.2;0.01374;0.425;
BIOTECHNOL PROGR;8756-7938;6607;2.398;2.580;0.216;208;6.6;0.01622;0.702;
BIOTROPICA;0006-3606;4196;2.270;2.400;0.800;100;>10.0;0.00861;0.906;
BIPOLAR DISORD;1398-5647;3717;5.502;5.886;0.887;97;4.1;0.01602;1.718;
BIRTH DEFECTS RES A;1542-0752;1265;2.266;2.369;0.424;92;4.0;0.00711;0.804;
BIRTH DEFECTS RES B;1542-9733;458;2.279;2.099;0.794;34;3.6;0.00205;0.608;
BIRTH-ISS PERINAT C;0730-7659;1177;1.919;2.602;0.364;44;7.0;0.00304;0.831;
BIT;0006-3835;1335;0.648;1.121;0.250;36;>10.0;0.00341;0.707;
BJOG-INT J OBSTET GY;1470-0328;11368;3.437;3.106;0.944;233;8.8;0.02647;1.010;
BJU INT;1464-4096;14121;2.865;2.764;0.632;500;5.9;0.03949;0.765;
BLOOD CELL MOL DIS;1079-9796;2626;2.901;2.595;0.611;90;5.9;0.00930;0.896;
BLOOD COAGUL FIBRIN;0957-5235;2159;1.246;1.397;0.130;123;7.2;0.00500;0.411;
BLOOD PRESS MONIT;1359-5237;1043;1.163;1.618;0.319;47;6.9;0.00208;0.367;
BLOOD PRESSURE;0803-7051;916;1.773;1.476;0.200;45;6.7;0.00202;0.382;
BLOOD PURIFICAT;0253-5068;1104;1.893;1.751;0.400;95;5.1;0.00275;0.374;
BLOOD REV;0268-960X;1423;7.185;6.468;0.697;33;4.9;0.00533;2.067;
BLOOD;0006-4971;126597;10.555;9.900;2.209;1364;6.0;0.44554;3.503;
BLUMEA;0006-5196;267;0.243;0.287;0.042;48;>10.0;0.00027;0.077;
BMB REP;1976-6696;339;2.276;2.284;0.235;136;1.5;0.00183;0.656;
BMC BIOINFORMATICS;1471-2105;10850;3.428;4.108;0.581;651;3.4;0.07313;1.515;
BMC BIOL;1741-7007;1152;5.636;;0.702;84;2.7;0.01001;;
BMC BIOTECHNOL;1472-6750;1117;2.723;2.941;0.337;101;3.1;0.00588;0.930;
BMC CANCER;1471-2407;4017;2.736;3.014;0.300;460;3.1;0.02231;0.908;
BMC CELL BIOL;1471-2121;996;2.654;2.981;0.312;96;3.6;0.00669;1.195;
BMC DEV BIOL;1471-213X;1468;3.290;;0.203;74;2.8;0.01204;;
BMC EVOL BIOL;1471-2148;4236;4.294;4.562;0.519;293;2.6;0.03403;1.945;
BMC FAM PRACT;1471-2296;616;1.709;;0.175;80;3.5;0.00365;;
BMC GASTROENTEROL;1471-230X;645;1.886;2.211;0.374;99;3.6;0.00273;0.602;
BMC GENET;1471-2156;1376;2.230;2.164;0.261;88;4.3;0.00819;0.808;
BMC GENOMICS;1471-2164;7974;3.759;4.179;0.595;682;2.6;0.05433;1.490;
BMC HEALTH SERV RES;1472-6963;1823;1.660;2.041;0.195;241;3.1;0.01155;0.728;
BMC IMMUNOL;1471-2172;590;2.724;2.767;0.281;64;2.9;0.00339;0.904;
BMC INFECT DIS;1471-2334;2074;2.550;2.715;0.292;216;3.3;0.01220;0.875;
BMC MED GENET;1471-2350;1155;2.840;;0.322;149;2.8;0.00740;;
BMC MED GENOMICS;1755-8794;192;2.661;2.661;0.360;75;1.4;0.00151;1.167;
BMC MED INFORM DECIS;1472-6947;604;1.895;;0.333;48;3.7;0.00357;;
BMC MED RES METHODOL;1471-2288;1225;2.303;;0.220;82;4.0;0.00710;;
BMC MED;1741-7015;864;3.985;;1.076;66;3.4;0.00560;;
BMC MICROBIOL;1471-2180;2270;2.890;3.329;0.428;278;3.0;0.01339;1.125;
BMC MOL BIOL;1471-2199;1186;2.848;3.251;0.327;113;2.7;0.00772;1.149;
BMC MUSCULOSKEL DIS;1471-2474;1354;1.880;2.248;0.066;167;3.3;0.00867;0.812;
BMC NEUROL;1471-2377;566;2.109;;0.242;66;3.5;0.00326;;
BMC NEUROSCI;1471-2202;1861;2.744;3.095;0.246;171;3.6;0.01112;1.124;
BMC PLANT BIOL;1471-2229;1264;3.774;;0.342;152;2.4;0.00761;;
BMC PSYCHIATRY;1471-244X;870;1.832;;0.205;83;3.6;0.00494;;
BMC PUBLIC HEALTH;1471-2458;3643;2.223;2.553;0.202;489;3.0;0.02182;0.808;
BMC STRUCT BIOL;1471-2237;644;2.790;2.624;0.400;75;2.6;0.00533;1.248;
BONE MARROW TRANSPL;0268-3369;9153;2.998;2.746;0.785;195;7.0;0.02319;0.802;
BONE;8756-3282;13402;4.089;4.311;0.599;307;6.6;0.04079;1.411;
BOREAL ENVIRON RES;1239-6095;730;1.467;1.951;0.477;88;4.7;0.00266;0.566;
BOSNIAN J BASIC MED;1512-8601;66;0.250;;0.018;55;;0.00019;;
BOT HELV;0253-1453;149;0.900;0.615;0.059;17;>10.0;0.00031;0.194;
BOT J LINN SOC;0024-4074;2733;0.984;1.226;0.361;97;7.8;0.00510;0.381;
BOT MAR;0006-8055;1666;1.090;1.206;1.518;56;>10.0;0.00170;0.329;
BOT REV;0006-8101;1686;2.462;2.761;0.350;20;>10.0;0.00161;1.157;
BOT STUD;1817-406X;149;0.781;0.854;0.145;55;2.8;0.00047;0.157;
BOTANY;1916-2790;187;0.904;0.926;0.183;120;1.6;0.00093;0.327;
BOTHALIA;0006-8241;219;0.242;0.276;0.000;9;>10.0;0.00015;0.092;
BOUND VALUE PROBL;1687-2762;470;1.068;;0.296;71;>10.0;0.00123;;
BRACHYTHERAPY;1538-4721;401;1.857;2.804;0.239;46;3.8;0.00163;0.730;
BRAIN BEHAV EVOLUT;0006-8977;1881;2.733;2.408;0.674;46;9.9;0.00378;0.904;
BRAIN BEHAV IMMUN;0889-1591;3403;5.061;4.691;1.037;136;4.1;0.01266;1.424;
BRAIN CELL BIOL;1559-7105;109;3.250;3.114;;0;3.0;0.00154;2.121;
BRAIN COGNITION;0278-2626;4491;2.547;3.413;0.487;158;7.1;0.01242;1.152;
BRAIN DEV-JPN;0387-7604;2539;1.743;1.657;0.583;127;7.5;0.00549;0.461;
BRAIN IMAGING BEHAV;1931-7557;50;1.044;1.044;0.086;35;;0.00039;0.416;
BRAIN INJURY;0269-9052;3004;1.533;1.925;0.264;125;7.5;0.00608;0.456;
BRAIN LANG;0093-934X;4721;2.973;3.105;0.750;64;8.8;0.01009;0.996;
BRAIN PATHOL;1015-6305;3260;5.903;5.225;0.963;82;6.7;0.00936;1.684;
BRAIN RES BULL;0361-9230;7838;2.184;2.193;0.398;181;8.9;0.01474;0.689;
BRAIN RES REV;0165-0173;7805;7.390;7.330;1.188;69;7.4;0.02451;2.695;
BRAIN RES;0006-8993;56822;2.463;2.551;0.403;1051;>10.0;0.09506;0.792;
BRAIN STIMUL;1935-861X;94;3.000;3.000;0.370;27;;0.00059;1.008;
BRAIN STRUCT FUNCT;1863-2653;238;4.415;4.415;0.143;28;1.9;0.00190;1.724;
BRAIN TOPOGR;0896-0267;880;2.080;1.927;0.514;35;8.9;0.00165;0.645;
BRAIN TUMOR PATHOL;1433-7398;230;1.100;;0.062;16;6.5;0.00055;;
BRAIN;0006-8950;34282;9.490;9.978;1.430;286;7.7;0.10027;3.678;
BRATISL MED J;0006-9248;328;0.317;;0.065;170;4.9;0.00069;;
BRAZ ARCH BIOL TECHN;1516-8913;968;0.447;0.817;0.057;210;4.9;0.00227;0.142;
BRAZ J CHEM ENG;0104-6632;506;0.571;0.842;0.041;73;5.7;0.00172;0.256;
BRAZ J INFECT DIS;1413-8670;627;0.550;;0.000;34;5.0;0.00198;;
BRAZ J MED BIOL RES;0100-879X;3680;1.075;1.418;0.193;181;7.3;0.00777;0.367;
BRAZ J MICROBIOL;1517-8382;811;0.622;0.846;0.021;144;5.5;0.00185;0.167;
BREAST CANCER RES TR;0167-6806;9695;4.696;4.536;1.122;394;4.6;0.03724;1.481;
BREAST CANCER RES;1465-5411;4644;5.326;5.411;0.736;110;4.2;0.02444;1.788;
BREAST CARE;1661-3791;81;0.500;0.437;0.373;51;;0.00028;0.095;
BREAST J;1075-122X;1491;1.610;;0.212;113;4.6;0.00581;;
BREAST;0960-9776;1595;2.087;1.957;0.630;73;4.3;0.00668;0.581;
BREEDING SCI;1344-7610;731;1.382;1.492;0.260;73;5.6;0.00267;0.509;
BRIEF BIOINFORM;1467-5463;2898;7.329;16.146;1.109;55;5.3;0.01926;5.893;
BRIT DENT J;0007-0610;2950;1.089;1.149;0.522;136;>10.0;0.00444;0.294;
BRIT FOOD J;0007-070X;791;0.752;;0.282;78;7.1;0.00149;;
BRIT J BIOMED SCI;0967-4845;393;0.986;0.755;0.200;35;7.1;0.00081;0.195;
BRIT J CANCER;0007-0920;31646;4.346;4.515;0.825;571;6.8;0.08999;1.471;
BRIT J CLIN PHARMACO;0306-5251;8235;3.246;3.257;0.808;172;8.0;0.01703;0.900;
BRIT J DERMATOL;0007-0963;17207;4.260;3.955;0.727;373;7.4;0.03732;1.044;
BRIT J GEN PRACT;0960-1643;3390;2.442;2.384;1.979;96;7.1;0.00873;0.797;
BRIT J HAEMATOL;0007-1048;20427;4.597;4.438;1.006;318;7.3;0.05522;1.495;
BRIT J HOSP MED;1750-8460;378;0.165;0.137;0.071;198;>10.0;0.00042;0.029;
BRIT J MATH STAT PSY;0007-1102;802;0.830;1.145;0.333;36;>10.0;0.00166;0.726;
BRIT J NEUROSURG;0268-8697;1793;1.013;1.010;0.067;90;9.0;0.00331;0.307;
BRIT J NUTR;0007-1145;12904;3.446;3.569;0.530;481;7.0;0.03075;0.965;
BRIT J ORAL MAX SURG;0266-4356;2475;1.327;1.311;0.210;162;8.7;0.00415;0.294;
BRIT J PHARMACOL;0007-1188;24221;5.204;4.600;0.824;449;7.6;0.05620;1.317;
BRIT J PHILOS SCI;0007-0882;1068;1.109;1.446;0.355;31;>10.0;0.00155;0.449;
BRIT J PSYCHIAT;0007-1250;19155;5.777;6.364;1.394;155;>10.0;0.03700;2.122;
BRIT J RADIOL;0007-1285;6062;2.105;1.971;0.328;134;9.7;0.01187;0.630;
BRIT MED BULL;0007-1420;2685;2.900;3.345;0.514;37;9.3;0.00341;1.130;
BRIT MED J;0959-535X;71175;13.660;11.284;5.116;345;9.4;0.14995;4.223;
BRITTONIA;0007-196X;554;0.384;0.419;0.079;38;>10.0;0.00086;0.192;
BRYOLOGIST;0007-2745;1166;0.842;0.859;0.190;79;>10.0;0.00142;0.260;
BT TECHNOL J;1358-3948;347;0.411;0.655;;0;5.7;0.00158;0.240;
BULG CHEM COMMUN;0324-1130;92;0.156;;0.047;43;;0.00018;;
BUNDESGESUNDHEITSBLA;1436-9990;914;1.248;;0.211;152;3.8;0.00225;;
BUNSEKI KAGAKU;0525-1931;594;0.436;0.310;0.054;92;6.8;0.00131;0.080;
BURNS;0305-4179;4075;1.950;1.964;0.464;166;7.0;0.00819;0.447;
BUS INFORM SYST ENG+;1867-0202;272;;;0.146;41;5.9;0.00029;;
CA-CANCER J CLIN;0007-9235;8528;87.925;60.000;8.304;23;3.7;0.04224;20.925;
CAD SAUDE PUBLICA;0102-311X;3071;0.829;;0.142;274;5.8;0.00495;;
CALC VAR PARTIAL DIF;0944-2669;1006;0.931;1.313;0.288;73;6.5;0.00881;1.287;
CALCIFIED TISSUE INT;0171-967X;6313;2.322;2.721;0.259;112;>10.0;0.01063;0.937;
CALIF FISH GAME;0008-1078;342;0.129;0.377;0.000;7;>10.0;0.00021;0.130;
CALPHAD;0364-5916;1747;1.904;1.993;0.227;97;8.5;0.00362;0.647;
CAMB Q HEALTHC ETHIC;0963-1801;378;0.738;0.863;0.237;38;7.8;0.00084;0.240;
CAN ASSOC RADIOL J;0846-5371;389;0.925;0.959;0.022;45;7.3;0.00112;0.314;
CAN ENTOMOL;0008-347X;2477;0.992;0.981;0.178;45;>10.0;0.00188;0.289;
CAN FAM PHYSICIAN;0008-350X;1239;1.185;1.398;1.096;115;4.9;0.00315;0.364;
CAN FIELD NAT;0008-3550;786;0.156;0.209;;;>10.0;0.00053;0.068;
CAN J BOT;0008-4026;7351;1.397;1.733;;0;>10.0;0.00770;0.586;
CAN J CARDIOL;0828-282X;1784;1.323;1.240;0.552;58;6.3;0.00572;0.419;
CAN J CHEM ENG;0008-4034;2694;0.630;0.716;0.170;112;>10.0;0.00279;0.240;
CAN J CHEM;0008-4042;8844;1.423;1.403;0.377;204;>10.0;0.00741;0.378;
CAN J DIET PRACT RES;1486-3847;152;0.278;0.508;0.000;27;5.1;0.00041;0.109;
CAN J GASTROENTEROL;0835-7900;1225;1.376;1.738;0.278;79;5.3;0.00392;0.485;
CAN J INFECT DIS MED;1712-9532;289;0.755;;0.571;14;6.1;0.00095;;
CAN J MICROBIOL;0008-4166;5346;1.262;1.502;0.184;163;>10.0;0.00610;0.419;
CAN J NEUROL SCI;0317-1671;2022;1.041;1.221;0.216;148;>10.0;0.00319;0.375;
CAN J PHYSIOL PHARM;0008-4212;3688;1.341;1.596;0.223;121;>10.0;0.00655;0.491;
CAN J PLANT PATHOL;0706-0661;1191;0.632;1.054;0.154;13;9.7;0.00226;0.344;
CAN J PLANT SCI;0008-4220;2450;0.609;0.758;0.155;103;>10.0;0.00295;0.223;
CAN J PSYCHIAT;0706-7437;3641;2.293;2.971;0.722;90;7.1;0.00951;0.932;
CAN J REMOTE SENS;1712-7971;941;0.724;1.010;0.097;31;6.7;0.00239;0.390;
CAN J STAT;0319-5724;748;0.905;1.028;0.083;36;>10.0;0.00352;0.939;
CAN J VET RES;0830-9000;1415;1.312;1.475;0.106;47;>10.0;0.00219;0.406;
CAN J ZOOL;0008-4301;9875;1.254;1.744;0.159;132;>10.0;0.01160;0.643;
CAN MED ASSOC J;0820-3946;10024;7.271;7.665;4.367;98;6.9;0.02928;2.695;
CAN RESPIR J;1198-2241;534;1.000;;0.316;19;5.4;0.00212;;
CAN VET J;0008-5286;2000;0.882;0.987;0.094;96;>10.0;0.00277;0.256;
CANCER BIOL THER;1538-4047;4012;2.711;3.049;0.675;246;3.6;0.02080;0.938;
CANCER BIOTHER RADIO;1084-9785;996;1.443;1.411;0.140;86;5.5;0.00311;0.382;
CANCER CAUSE CONTROL;0957-5243;5853;3.199;3.746;0.366;205;7.0;0.01676;1.262;
CANCER CELL;1535-6108;15367;25.288;26.636;7.317;82;4.4;0.10953;12.682;
CANCER CHEMOTH PHARM;0344-5704;5720;2.654;2.542;0.708;284;6.1;0.01443;0.670;
CANCER CYTOPATHOL;1934-662X;1287;2.768;2.447;0.167;48;6.2;0.05451;10.271;
CANCER DETECT PREV;0361-090X;1477;2.056;2.371;0.261;23;6.0;0.00430;0.673;
CANCER EPIDEM BIOMAR;1055-9965;16984;4.310;4.896;0.809;429;5.0;0.06428;1.586;
CANCER EPIDEMIOL;1877-7821;8;;;0.013;77;;0.00001;;
CANCER GENE THER;0929-1903;2652;3.126;3.002;1.110;91;4.9;0.00828;0.817;
CANCER GENET CYTOGEN;0165-4608;4070;1.537;1.531;0.257;144;7.8;0.00887;0.420;
CANCER IMMUNOL IMMUN;0340-7004;4218;3.791;3.525;1.005;184;4.2;0.01468;0.940;
CANCER INVEST;0735-7907;2195;2.105;2.106;0.386;140;5.7;0.00654;0.596;
CANCER J;1528-9117;1700;3.471;2.730;0.282;78;6.4;0.00525;0.908;
CANCER LETT;0304-3835;14712;3.741;3.543;0.890;436;5.4;0.04519;1.007;
CANCER METAST REV;0167-7659;3537;9.345;8.978;0.032;31;4.8;0.01505;3.242;
CANCER NURS;0162-220X;1875;1.878;2.097;0.231;52;7.9;0.00322;0.520;
CANCER PREV RES;1940-6207;549;6.000;6.153;1.479;121;1.3;0.00263;2.145;
CANCER RADIOTHER;1278-3218;583;1.438;;0.215;107;3.6;0.00087;;
CANCER RES;0008-5472;131662;7.543;8.194;1.517;1166;6.9;0.41837;2.924;
CANCER SCI;1347-9032;5001;3.771;3.862;0.469;339;3.0;0.02802;1.220;
CANCER TREAT REV;0305-7372;2546;5.295;4.980;0.955;88;4.6;0.00984;1.556;
CANCER-AM CANCER SOC;0008-543X;60723;5.418;5.551;0.945;580;9.7;0.07221;1.054;
CANDOLLEA;0373-2967;202;0.189;0.250;0.030;33;>10.0;0.00014;0.056;
CARBOHYD POLYM;0144-8617;9730;3.167;3.469;0.587;465;5.7;0.02153;0.739;
CARBOHYD RES;0008-6215;13024;2.025;2.166;0.448;368;>10.0;0.01856;0.526;
CARBON;0008-6223;19880;4.504;5.098;0.876;453;6.2;0.05423;1.439;
CARCINOGENESIS;0143-3334;19181;4.795;5.119;0.763;270;7.6;0.04752;1.543;
CARDIOL CLIN;0733-8651;820;1.247;1.275;0.113;53;7.8;0.00196;0.411;
CARDIOL YOUNG;1047-9511;1066;1.183;1.138;0.263;95;4.6;0.00403;0.342;
CARDIOLOGY;0008-6312;1838;1.637;1.664;0.861;108;6.8;0.00491;0.524;
CARDIOVASC DIABETOL;1475-2840;504;2.770;;0.215;65;3.3;0.00261;;
CARDIOVASC DRUG REV;0897-5957;520;5.208;3.793;;0;5.1;0.00214;1.183;
CARDIOVASC DRUG THER;0920-3206;1339;2.515;2.300;1.415;53;6.2;0.00363;0.697;
CARDIOVASC INTER RAD;0174-1551;2747;1.949;1.756;0.182;192;4.7;0.00828;0.446;
CARDIOVASC PATHOL;1054-8807;1036;1.626;1.823;0.556;54;5.9;0.00350;0.607;
CARDIOVASC RES;0008-6363;17024;5.801;6.011;1.413;276;6.0;0.05737;2.049;
CARDIOVASC THER;1755-5914;85;2.741;2.815;0.273;33;;0.00052;0.929;
CARDIOVASC TOXICOL;1530-7905;460;2.561;;0.115;26;4.6;0.00180;;
CARIBB J SCI;0008-6452;457;0.309;0.538;;;9.2;0.00094;0.178;
CARIES RES;0008-6568;2904;2.462;2.787;0.581;62;8.9;0.00513;0.690;
CARPATH J EARTH ENV;1842-4090;31;0.606;0.565;0.250;20;;0.00003;0.031;
CARYOLOGIA;0008-7114;496;0.450;0.440;0.000;30;>10.0;0.00068;0.114;
CASTANEA;0008-7475;306;0.395;0.455;0.000;31;>10.0;0.00047;0.156;
CATAL COMMUN;1566-7367;5414;3.000;2.978;0.436;433;2.6;0.02314;0.731;
CATAL LETT;1011-372X;8132;2.021;2.187;0.349;524;7.5;0.01692;0.582;
CATAL REV;0161-4940;2694;7.765;10.442;0.750;4;>10.0;0.00306;3.416;
CATAL SURV ASIA;1571-1013;326;1.842;2.274;0.050;20;4.9;0.00138;0.627;
CATAL TODAY;0920-5861;20194;3.526;3.659;0.462;504;6.5;0.05005;0.968;
CATHETER CARDIO INTE;1522-1946;4982;2.363;2.061;0.418;285;5.1;0.01584;0.576;
CATTLE PRACT;0969-1251;103;0.194;0.204;0.048;21;6.3;0.00027;0.056;
CELEST MECH DYN ASTR;0923-2958;1542;1.811;1.395;0.164;67;>10.0;0.00261;0.430;
CELL BIOCHEM BIOPHYS;1085-9195;1204;3.337;2.392;0.806;31;4.2;0.00584;0.894;
CELL BIOCHEM FUNCT;0263-6484;1101;1.515;1.507;0.200;85;4.9;0.00315;0.358;
CELL BIOL INT;1065-6995;2758;1.800;1.778;0.302;169;5.3;0.00893;0.520;
CELL BIOL TOXICOL;0742-2091;986;1.746;1.839;0.938;48;6.8;0.00203;0.461;
CELL CALCIUM;0143-4160;4288;4.288;4.267;0.860;107;5.3;0.01880;1.639;
CELL COMMUN ADHES;1541-9061;470;1.722;2.165;0.250;4;6.1;0.00178;0.829;
CELL CYCLE;1538-4101;8938;4.087;3.693;0.960;503;3.0;0.07221;1.618;
CELL DEATH DIFFER;1350-9047;11655;8.240;8.387;2.701;157;4.1;0.06533;3.519;
CELL HOST MICROBE;1931-3128;2135;13.021;13.021;2.726;95;1.7;0.02077;6.932;
CELL IMMUNOL;0008-8749;3623;2.698;2.314;0.414;111;>10.0;0.00716;0.805;
CELL METAB;1550-4131;6462;17.350;19.021;2.844;90;2.9;0.06218;9.165;
CELL MICROBIOL;1462-5814;6620;5.725;5.779;1.297;138;3.5;0.04047;2.225;
CELL MOL BIOENG;1865-5025;34;0.727;0.727;0.182;55;;0.00012;0.176;
CELL MOL BIOL LETT;1425-8153;792;1.127;1.640;0.319;47;5.3;0.00263;0.459;
CELL MOL BIOL;0145-5680;1650;1.176;;1.542;24;8.7;0.00248;;
CELL MOL IMMUNOL;1672-7681;949;2.765;;0.316;57;3.6;0.00534;;
CELL MOL LIFE SCI;1420-682X;13428;6.090;5.928;0.951;288;4.8;0.06648;2.340;
CELL MOL NEUROBIOL;0272-4340;2247;2.107;2.706;0.326;129;5.6;0.00725;0.832;
