last_name	first_name	search	department	Secondary_Institution_Name	AwardYear	Title	Sponsor_First	Sponsor_Last
Merghoub	Taha		Memorial Sloan-Kettering Cancer Center		2000	POK and POK-fusion proteins in lymphomagenesis and leukemogenasis	Pier Paolo	Pandolfi
Nautiyal	Shivani		"The Regents of the University of California, San Francisco"		2000	Telomere maintenance in S cerevisiae	Elizabeth	Blackburn
Nevo-Caspi	Yael		Tel Aviv University		2000	A DROSOPHILA LIM-PROTEIN COMPLEX AS A MODEL FOR LEUKEMOGENESIS	Daniel	Segal
O'Shea	Clodagh		"The Regents of the University of California, San Francisco"	Comprehensive Cancer Center	2000	The role of PML in the cell cycle and viral replication	Frank	McCormick
Oliver	Paula		National Jewish Medical and Research Center		2000	Regulation of B-cell receptor signaling by ITAM tyrosine phosphorylation	John	Cambier
Opperman	Kay		Salk Institute for Biological Studies		2000	Role of mTR in telomerase regulation	Carol	Greider
Passner	Jonathan		Mount Sinai School of Medicine		2000	Biophysical studies of extradenticle/homeotic protein heterodimer complexes	Aneel	Aggarwal
Portis	Toni		Northwestern University		2000	Molecular Mechanisms Of Htlv-1tax Induced Tumorigenesis	Richard	Longnecker
Postigo	Antonio		Washington University in St. Louis	School of Medicine	2000	Role of the transcriptional repressor ZEB in the regulation of lymphoid function and normal and oncogenic differentiation	Douglas	Dean
Purton	Louise		Peter MacCallum Cancer Institute	Stem Cell Laboratory	2000	All-trans retinoic acid-induced enhancement of primitive hematopoietic precursors	Paul	Simmons
Rawlings	David		University of Washington	School of Medicine	2000	In vitro modeling of normal and leukemic human B lymphopoiesis	Craig	Rubens
Ray	Alo		Cleveland Clinic Foundation		2000	Regulation of telomere length	Kurt	Runge
Rhind	Nicholas		University of Massachusetts Medical School		2000	G1 cell-cycle checkpoints in S.pombe	Robert	Matthews
Richardson	Christine		Columbia University	Institute For Cancer Genetics	2000	The effect of genetic mutations on chromosomal translocations	Maria	Jasin
Rieder	Stephanie		Scripps Research Institute		2000	Antigen recognition by epithelial yo T cell	Wendy	Havran
Robertson	Erle		University of Pennsylvania	School of Medicine	2000	Cellular Pathways And Ebv Induced B Cell Immortalization	Robert	Doms
Sachdev	Shrikesh		Ludwig-Maximilians University	University of Munich	2000	Regulation of the nuclear cytoplasmic distribution of LKF1	Rudolf	Grosschedl
Sadofsky	Moshe		Albert Einstein College of Medicine		2000	Protein And Dna Complex Formation Involving The Rag Proteins	Michael	Prystowsky
Sidorova	Julia		Fred Hutchinson Cancer Research Center		2000	Analysis of the Rad53-dependent checkpint in G1 and S phases of the saccharomyces cerevisiae cell cycle	Linda	Breeden
Sinclair	David		Harvard Medical School		2000	Check points and telomeric proteins involved in DNA break repair	Peter	Howley
Soiffer	Robert		Dana Farber Cancer Institute	Disease Center For Hematology	2000	Induction of anti-leukemic immunity after hematopoietic stem cell transplantation	Jerome	Ritz
Spruck	Charles		Scripps Research Institute		2000	The role of CKS proteins in cell cycle control and tumorigenesis	Steven I	Reed
Srinivasan	Supriya		"The Regents of the University of California, San Francisco"		2000	Role of G protein and G protein coupled receptors in   chemotaxis of leukemia cell lines	Henry	Bourne
Stanford	William		Mount Sinai School of Medicine	Samuel Lunenfeld Research Institute	2000	Analysis of novel hematopoietic gene trap clones	Alan	Bernstein
Sugita	Masahiko		Brigham & Women's Hospital		2000	A new pathway for CD1 antigen presentation	Michael B	Brenner
Surh	Charles		Scripps Research Institute		2000	Regulation of T cell homeostasis and survival	Jonathan	Sprent
Thomas	Sheila		Beth Israel Deaconess Medical Center		2000	The role of the cytoskeletal proteins paxillin and cortactin in growth and differentiation	Benjamin	Neel
Villalba	Martin		La Jolla Institute for Allergy and Immunology		2000	Regulation Of T Cell Growth And Apoptosis Signaling Pathways By Pkc0	Amnon	Altman
Williams	John		Columbia University		2000	Structural studies of protein interactions at the cytosolic side of the T cell receptor	Wayne	Hendrickson
Wilson-Annan	Julie		Walter & Eliza Hall Institute of Medical Research		2000	Isolation of a haemopoietic linage commitment gene which predisposes to leukemia	Jerry	Adams
Wolfe	Scot		University of Massachusetts Medical School	Program in Gene Function and Expression	2000	Disabling cancer cells at the level of transcription: zinc factor designed for specific repression of oncogenes containing a point muta	Michael	Green
Zhu	Liang		Albert Einstein College of Medicine		2000	Linearity and Divergence of the p161NK4a-Cyclin D1-pRB-E2F Growth Control Axis	E. Richard	Stanley
Ayad	Nagi		Harvard Medical School		2001	Identification of G1-substrates of the anaphase promoting complex	Marc	Kirschner
Boddy	Michael		The Scripps Research Institute		2001	Analysis of a novel repair endonuclease acting in the replication checkpoint	Paul	Russell
Borden	Katherine		Universite de Montreal	Institute for Research in Immunology and Cancer (IRIC)	2001	"The promyelocytic leukemia protein's role in RNA transport, translation and myeloid development: A RING  links these together"	Pierre	Chartrand
Brodsky	Robert		Johns Hopkins University		2001	Effect Of High Dose Cyclophosphamide On Clonality In Aplastic Anemia	Richard	Jones
Brown	Christine		City of Hope National Medical Center		2001	Characterization of the ATM related cofactor TRA1 in activator-targeted acetylationa nd transcriptional regulation	Michael	Jensen
Burton	Elizabeth		Duke University Medical Center		2001	Characterization of P230 Ber-Abl	Ann Marie	Pendergast
Cao	Xiaochun		Max-Planck	Institute of Cellular Biochemistry	2001	A novel pathway for antigen presentation by CD1c	F. Ulrich	Hartl
Casares	Fernando		Universidade do Porto	Instituto de Biologia Molecular e Celular	2001	"The Control Of Organ Growth And Identity By Homothorax, A Potential Leukemia Gene"	Claudio	Sunkel
Celli	Giulia		Rockefeller University		2001	Telomere Dysfunction In Tumorgenesis	Titia	deLange
Chen	J. Don		University of Medicine and Dentistry of New Jersey	Robert Wood Johnson Medical School	2001	Molecular Basis of Acute Promyelocytic Leukemia	Leroy	Liu
Chen	Po		University of Texas	Southwestern Medical Center at Dallas	2001	Molecular genetics of apopototic activiation of caspases	John	Abrams
Chen	Jiunn-Liang		Johns Hopkins University School of Medicine		2001	Rna Protein Interactions Of Human Telomerase Complex	Carol	Greider
Cheng	Genhong		University of California at Los Angeles		2001	A systematic program for dissecting CD40 signal transduction pathways	Jeffery	Miller
Cheng	Aiyang		Yale University	School of Medicine	2001	Identification and regulation of Cdk phosphatase in human cells	Mark	Solomon
Chung	Chang		Vanderbilt University	Medical Center	2001	Dissection of signaling pathways regulating WASP function	Heidi	Hamm
Cortes	Jorge		University of Texas	MD Anderson Cancer Center	2001	Gene directed therapy for acute myeloid leukemia	Elihu H	Estey
DeGregori	James		"Regents of the University of Colorado, University of Colorado at Denver and Health Sciences Center (UCDHSC) - Fitzsimons Campus"	Medicine	2001	The role of the E2F1-ARF-p53 tumor suppressor pathway in T cell apoptosis	Thomas	Blumenthal
Dempsey	Paul		University of California at Los Angeles		2001	Defining the roles of CD40 signal tranduction pathways in immune responses	Genhong	Cheng
Dlakic	Mensur		University of Michigan		2001	Elucidating DNA binding specificity of c-Maf	Tom	Kerppola
Dranoff	Glenn		Dana Farber Cancer Institute	Disease Center For Hematology	2001	GM-CSF based leukemia vaccines	James	Griffin
Duelli	Dominik		Cold Spring Harbor Laboratory		2001	Characterization of a dominant inhibitor of oncogene-dependent apoptosis	Yuri	Lazebnik
Ferrando	Adolfo		Dana Farber Cancer Institute		2001	Oncogenic Transcription Factors In T Cell All	Thomas	Look
Floer	Monique		Memorial Sloan-Kettering Cancer Center		2001	The function of the transcriptional regulator galli in gene expression	Mark	Ptashne
Flores	Elsa		University of Texas M.D. Anderson Cancer Center	Basic Science	2001	"Investigating the role of p53 and its family members  p63 and p73, in a li-fraumeni syndrome mouse model"	Tyler E	Jacks
Francastel	Claire		INSERM		2001	Maintenance of gene expression of subnuclear localization	Paul-Henri	Romeo
Fry	Christopher		University of Massachusetts Medical School		2001	"Cooperative targeting, chromatin modification and transcriptional activiation by SWI/SNF and SAGA"	Craig L.	Peterson
Garcia-Higuera	Irene		Centro de Investigacion del Cancer		2001	"Molecular Basis Of Fanconi Anemia, A Leukemia Susceptibility Disorder"	Sergio	Moreno
Goh	Keow Lin		Massachusetts Institute of Technology	Center for Cancer Research	2001	Role Of Ena/vasp Family In Tumorgenesis And Development	Frank	Gertler
Jackson	Kathyjo		Baylor College of Medicine	Center for Cell and Gene Therapy	2001	Muscle-derived cells can function as hematopoietic stem cells	Margaret	Goodell
Jung	Jae		New England Regional Primate Research Center	Harvard Medical School	2001	Molecular Basis Of Transformation Of Kaposi's Sarcoma-associated Herpesvirus K1 Gene	Ronald	Desrosiers
Killeen	Nigel		"The Regents of the University of California, San Francisco"		2001	Regulation of lymphocyte development and differentiation	Anthony	DeFranco
Kovall	Rhett		Columbia University		2001	Crystallographic and biochemical analysis of notch a conserved protein involved in metazoan development	Wayne	Hendrickson
Lee	Sang Eun		University of Texas	Health Science Center at San Antonio	2001	Non homologous repair of DNA damage	Wen-Hwa	Lee
Lew	Daniel		Duke University Medical Center		2001	Checkpoint Control of Swelp Degradation	Anthony	Means
Li	Qintang		Salk Institute for Biological Studies		2001	In Vivo Functional Study Of Ikb Kinases Ikk1 And Ikk2	Inder	Verma
Lin	Meei-Yun		University of California at San Diego	Cancer Center	2001	The Role Of Mmgl And Its Synergy With Fas And Tnfr11 On Apoptosis Of The Cd8 T Cells	Stephen	Hedrick
Liou	Hsiou-Chi		Joan & Sanford I. Weill Medical College of Cornell University	Immunology	2001	C-re! Target Genes And B Cell Tumorigenesis	Kendall	Smith
Loeb	David		Johns Hopkins University School of Medicine		2001	The role of WT1 in hematopoiesis and leukemogenesis	Curt	Civin
Lopez-Rodriguez	Cristina		Fundacio Centre de Regulacio Genomica	Cell Differentiation and Cancer Programme	2001	"Role Of Nfat5, A New Stress Regulated Transcription Factor, Ion Inflammatory Responses"	Thomas	Graf
Luo	Xu		University of Nebraska Medical Center	Eppley Institute for Cancer Research	2001	Mechanistic study of cytochrome C release during DNA damage induced apoptosis in HL-60 cells	Kenneth	Cowan
Marshall	Wallace		"University of California, San Francisco"		2001	Genetic Analysis Of Centriole Duplicaiton	Joel	Rosenbaum
Nelson	Erik		Dana Farber Cancer Institute		2001	Myeloid Transcription Factors And Leukemia	David	Frank
Nishijima	Ichiko		Baylor College of Medicine		2001	The isolation of tumor suppressor gene(s) related to the blast crisis of CML	Allan	Bradley
O'Connell	Matthew		Mount Sinai School of Medicine	Derald H. Ruttenberg Cancer Center	2001	The G2 DNA damage checkpoint	Stuart	Aaronson
Pekarsky	Yuri		Thomas Jefferson University		2001	A study of the role of TCL1 and TCL1B genes in T cell malignancies	Carlo	Croce
Pellman	David		Dana Farber Cancer Institute	Harvard Medical School	2001	A cell cycle check point controling the timing of cytokinesis	Stuart H	Orkin
Perez-Alvarado	Gabriela		Scripps Research Institute		2001	Solution studies of the transactivation domain of AML-1 bound to the coactivator ALY	Peter	Wright
Pomerantz	Joel		California Institute of Technology		2001	Regulation Of Nf-kb By The Tbk1 Kinase:mechanism & Physiological Role In Lymphoid Development	David	Baltimore
Preker	Pascal		"The Regents of the University of California, San Francisco"		2001	Yeast S. Cerevisiae As A Model System For Nuclear Export Of Retroviral Rnas	Christine	Guthrie
Prilliman	Kiley		La Jolla Institute for Allergy and Immunology		2001	Examining Mechanisms Of T Cell Help For Ctl	Stephen	Schoenberger
Schmitt	Clemens		Max-Delbruck-Center for Molecular Medicine	Charite/Humboldt-University	2001	Impact od apoptosis controlling genes & related mutants on lymphomagenesis and chemoresistance in the preclinical eu-myc mouse lymphoma	Bernd	Dorken
Schulman	Brenda		St. Jude Children's Research Hospital		2001	Structural And Mechanistic Studies Of The Scf Ubiquitin Protein Ligase	Charles	Sherr
Seldin	David		Boston Medical Center	Department of Medicine	2001	Protein Kinase Cd2 Dysregulation And Lymphocyte Transformation	Daniel	Wright
Serano	Julia		University of California at Berkeley		2001	A genetic screen for genes involved in Rho GTPase signaling	Gerald M	Rubin
Shibahara	Keiichi		Japan Science and Technology Corporation		2001	A mechanism for epigenetic inheritance during DNA replication	Katsutaka	Nagai
Shivdasani	Ramesh		Dana Farber Cancer Institute		2001	Molecular Regulation Of Platelet Development	James	Griffin
Shrikant	Protul		Roswell Park Cancer Institute		2001	In vivo visualization of CD4 + T cell responses towards a syngeic thymona	Soldano	Ferrone
Skorski	Tomasz		Temple University of the Commonwealth System of Higher Education	School of Medicine	2001	Role of DNA repair/recombination in drug resistance of leukemia cells	Chris	Platsoucas
Sokolic	Robert		Memorial Sloan-Kettering Cancer Center		2001	Salicylates In The Differentiation And Apoptosis Of Hematoplietic Cells	Stephen	Nimer
Srinivasula	Srinivasa		Thomas Jefferson University	Kimmel Cancer Center	2001	Mechanisms Of Signal Tranduction By Clap/bcl10	Emad	Alnemri
Steger	David		"The Regents of the University of California, San Francisco"		2001	Biochemical and genetic analysis of chromatin remodeling & transcription in yeast	Erin	O'Shea
Szabo	Susanne		Harvard School of Public Health		2001	Transcriptional Regulation Of Th1 Type Cytokines	Laurie	Glimcher
Tam	Wayne		Weill Medical College of Cornell University		2001	Role of bcl-6 and germinal center in lymphomagenesis	Ethel	Cesarman
Tanaka	Takashi		Harvard School of Public Health		2001	Analysis Of Stat4- Mediated Th1 Differentiation Pathway	Michael	Grusby
Thanos	Dimitris		"Biomedical Sciences Research Center ""Al. Fleming"""		2001	Mechanisms Controlling Activation Of NF-KappaB	George	Kollias
Tibbetts	Scott		Louisana State University	Health Sciences Center	2001	Mechanisms Of Immune Control Of alpha-herpesvirus Latency	Herbert	"Virgin, IV"
Tridandapani	Susheela		Ohio State University		2001	Regulatory role of the inositol phosphatase SHIP on Fe gamma receptor-mediated biologic responses in myeloid cells	Clark	Anderson
Van Santen	Hisse Martien		Joslin Diabetes Center		2001	Specificity And Avidity Of Tcr-mhc/peptide Interactions During T-cell Differentiation	Diane	Mathis
Van Vactor	David		Harvard Medical School		2001	Analysis of novel gene in the Ab1 kinase signaling pathway	Marc	Kirschner
Villadangos	Jose		The Walter & Eliza Hall Institute of Medical Research		2001	Protease Invovled In Antigen Presentation By Dendritic Cells: From Identification To Manipulation	Kenneth	Shortman
Walsh	Christopher		Mount Sinai School of Medicine	Department of Medicine	2001	Treatment of hematopoietic stem cells in preleukemic Fanconi anemia patients	George	Atweh
Welch	Ann		American Red Cross	Jerome Holland Laboratory	2001	The Role Of Irs3 In Murine Lymphocyte Development	Achsah	Keegan
Yokomori	Kyoko		University of California at Irvine		2001	The Role Of Human Smc Family Proteins In Chromosome Dynamics	Suzanne	Sandmeyer
Yu	Dong		Princeton University		2001	"Functions of virion-assoicated transcripts TRL/IRL 4,7 and 13 in human cytomegalovirus infection"	Thomas	Shenk
Zhang	Jinsong		University of Cincinnati		2001	Molecular mechanism of AML-ETO action in leukemogenesis	Robert G	Roeder
Abrieu	Ariane		Centre de Recherche en Biochimie Macromoleculire		2002	Dissecting the Signalling Cascade in the Vertebrate Mitotic Checkpoint	Marcel	Doree
Allen	Robert		Emory University		2002	Characterization of HV68 Latent Transcription Programs	Samuel	Speck
Andreassen	Paul		Dana Farber Cancer Institute		2002	The Relationship of Checkpoint and Telomere Function to Chromosome Instability in Fanconi Anemia	Alan	D'Andrea
Asturias	Francisco		Scripps Research Institute		2002	Structural Studies of Eukaryotic DNA Transcription Regulation	Sandra	Schmid
Baber-Furnari	Beth		Salk Institute for Biological Studies		2002	Detection of Abnormal DNA Structures by the Checkpoint Machinery	Tony	Hunter
Badovinac	Vladimir		University of Iowa		2002	Regulation of AG-Specific T Cell Homeostasis by Ifngamma	John	Harty
Bear	James		University of North Carolina	School of Medicine	2002	The Role Ena/vasp Proteins In Cell Motility And Metastasis	Keith	Burridge
Bellizzi	John		Harvard Medical School	Howard Hughes Medical Institute	2002	Structural Analysis of the Yeast Kinetochore	Stephen	Harrison
Bendandi	Maurizio		Clinica Universitaria	University of Navarra	2002	Phase-II Clinical Trial on Soluble Protein Idiotype Vaccination for Follicular Lymphoma Patients in First Relapse	Salvador Martin	Algarra
Bhatia	Smita		Beckman Research Institute of the City of Hope	Outcomes Research	2002	Health-Related Outcomes of Blood and Marrow Transplantation for Hematological Malignancies	Stephen	Forman
Blalock	William		University of Florida	Shands Cancer Center	2002	The Role of the Cellular PKR Activator RAX as a Novel Tumor Suppressor and Chemoresistance Gene	W. Stratford	May
Bowie	James		University of California at Los Angeles		2002	"SAM Domains in Leukemia, Lymphoma and Myeloma"	David	Eisenberg
Briggs	Scott		Purdue University		2002	The Role of MOZ-TIF2 Histone Acetyltransferase Activty in Leukemia	James	Forney
Brightbill	Hans		University of California at Berkeley	Division of Immunology	2002	Opening the Door to the V(D)J Recombinase: the Role for E2A and EBF in Chromatin Accessibility	Mark	Schlissel
Byrd	John		Ohio State University		2002	Pre-Clinical and Clinical Studies of H1D10 in Chronic Lymphocytic Leukemia	Michael	Caligiuri
Cahir McFarland	Ellen		Brigham & Women's Hospital		2002	The Role Of Nf-kb In Epstein Barr Virus-mediated Lymphocyte Transformation	Elliott	Kieff
Cannon	Kurt		Harvard Medical School		2002	Identification of Tetraspanin Ligands	Tom	Rapoport
Capobianco	Anthony		Wistar Institute		2002	Molecular Mechanisms of Notch Signaling in Neoplasia	Russel	Kaufman
Cortes	Patricia		Mount Sinai School of Medicine		2002	Mechanism and Regulation of V(D)J Recombination	Lloyd	Mayer
Coscoy	Laurent		University of California at Berkeley		2002	Immune Evasion by Kaposi	David	Raulet
Cowley	Dale		University of North Carolina at Chapel Hill	Lineberger Comprehensive Cancer Center	2002	Role Of The Spindle Checkpoint In Tumor Suppression And Therapy	Terry	Van Dyke
del Pozo	Miguel		Scripps Research Institute		2002	RAC Signaling Regulation by Integrins and Lipid Rafts	Martin	Schwartz
Ding	Jixiang		University of Louisville		2002	Role of P38A Mitogen-Activated Protein Kinase in Hematopoiesis and Angiogenesis	Robert	Greene
Ernst	Patricia		Dana Farber Cancer Institute		2002	Role of M11 in Hematopoieis and Lymphopoiesis	Stanley	Korsmeyer
Farrar	John		University of Texas	Southwestern Medical Center at Dallas	2002	Modeling IFN-Alpha/Beta-Dependent TH1 Development in a Murine/Human STAT2 Chimeric Knock-in Mouse	Edward	Wakeland
Gomez del Arco	Pablo		Massachusetts General Hospital	Cutaneous Biology Research Center	2002	An Investigation in Signal Transduction Pathways in Control of the Activity of Ikaros in T Cell Activation	Katia	Georgopoulos
Goodell	Margaret		Baylor College of Medicine	Center for Cell and Gene Therapy	2002	Hematopoietic Stem Cells From Adult Skeletal Muscle	David	Poplack
Gottlieb	Eyal		Cancer Research UK	Beatson Institute for Cancer Research	2002	Changes in Mitochondrial Physiology in Myeloid and Lymphoid Cells During Apoptosis and Transformation	Karen	Vousden
Graff	Jonathan		University of Texas	Southwestern Medical Center at Dallas	2002	Identification and Characterization of Genes That Regulate Cellular Proliferation and Blood Formation.	Luis	Parada
Grassi	Fabio		Institute for Research in Biomedicine		2002	Molecular Analysis of Pre-TCR Function	Antonio	Lanzavecchia
Gu	Wei		Columbia University	College of Physicians & Surgeons	2002	PID-Mediated Deacetylation of P53 Modulates Its Effect on Cell Growth and Apoptosis	Riccardo	Dalla-Favera
Hernandez-Hoyos	Gabriela		California Institute of Technology		2002	Study Of The Role Of Notch Signaling In E-protein Activity During Positive Selection	Jose	Alberola-Ila
Humbert	Patrick		Peter MacCallum Cancer Institute		2002	The Role of the PRB/E2F Pathway in Erythropoiesis and Cell Cycle Control	Joe	Sambrook
Ikeda	Masato		Northwestern University		2002	Regulation of EBV Latency By Ubiquitin-Proteasome System	Richard	Longnecker
Imai	Shin-ichiro		Washington University in St. Louis	School of Medicine	2002	The Function Of Mammalian Sir2 Proteins In Leukemogenesis And Lymphomagenesis	Jeffrey	Gordon
Ingham	Robert		Mount Sinai School of Medicine	Samuel Lunenfield Research Institute	2002	The Use of Mass Spectrometry To Dissect Signaling Complexes in Immune Cells	Tony	Pawson
Ivessa	Andreas		Princeton University		2002	Regulation of Replication Fork Progression in Eukaryotic Cells	Virginia	Zakian
Jardetzky	Theodore		Northwestern University		2002	STRUCTURAL STUDIES OF ANTIBODY-FC RECEPTOR INTERACTIONS	Jon	Widom
Jin	Dong-Yan		University of Hong Kong	Institute of Molecular Biology	2002	CELLULAR TARGETS OF HTLV-1 ONCOPROTEIN TAX FOR CELL CYCLE DESREGULATION AND TRANSFORMATION	Kathryn S.E	Cheag=h
Joyce	Johanna		Memorial Sloan-Kettering Cancer Center		2002	INVESTIGATING THE FUNCTION OF HEPARANASE IN MULTISTAGE TUMORIGENESIS USING A TRANSGENIC MOUSE MODEL	Douglas	Hanahan
Kao	Shyan-Yuan		Children's Hospital of Boston		2002	Role Of Presenilin In Regulation Of Cell Proliferation	Bruce	Yanker
Kisselev	Alexei		Dartmouth Medical School		2002	NOVEL INHIBITORS OF THE 26S PROTEASOME	Ethan	Dmitrovsky
Kornfeld	Kerry		Washington University in St. Louis	School of Medicine	2002	NOVEL REGULATORS OF RAS-MEDIATED SIGNAL TRANSDUCTION	Jeffrey	Gordon
Lam	Y. Amy		Weill Medical College of Cornell University		2002	Function And Specificity Of The 26s Proteasomes	Frederick	Maxfield
Lee	Ethan		Vanderbilt University	School of Medicine	2002	BIOCHEMICAL CHARACTERIZATION OF THE NFK-B PATHWAY	Susan	Wente
Letai	Anthony		Dana-Farber Cancer Institute	Hematologic Neoplasia	2002	Apoptotic Dyregulation In Lymphopoietic Malignancy	Stanley	Korsmeyer
Liu	Fenyong		University of California at Berkeley		2002	NOVEL RIBOZYMES FOR STUDIES AND TREATMENT OF LEUKEMIA AND LYMPHOMA	Edward	Penhoet
Lo	Wansheng		University of California at San Diego		2002	CORE HISTONE MODIFICATIONS AND GENE REGULATION	Lorraine	Pillus
Losada	Ana		Cold Spring Harbor Laboratory		2002	THE MECHANISM OF SISTER CHROMATID COHESION IN VERTEBRATE CELLS	Tatsuya	Hirano
Lowell	Clifford		"The Regents of the University of California, San Francisco"		2002	THE ROLES OF CYTOPLASMIC TYROSINE KINASES IN MYELOID LEUKEMIA	Valerie	Ng
Mao	Jian-Hua		"The Regents of the University of California, San Francisco"	Cancer Epidemiology	2002	IDENTIFICATION OF P53 PATHWAY MODIFER GENES IN MOUSE THYMIC LYMPHOMAS	Allan	Balmain
Matsui	William		Johns Hopkins University	School of Medicine	2002	Differentiation Therapy In Multiple Myeloma	Richard	Jones
McCartney	Brooke		Carnegie Mellon University		2002	THE ROLES OF APC PROTEINS AS EFFECTORS OF WG/WNT SIGNAL TRANSDUCTION IN DEVELOPMENT AND CANCER	Elizabeth	Jones
Mohi	Golam		Beth Israel Deaconess Medical Center 		2002	Role Of Gab2 And Shp-2 In Bcr/.abl Transformation	Benjamin	Neel
Munz	Christian		Rockefeller University		2002	"MOLECULAR COMPARISON OF THE NATURALLY PROCESSED EBNA1 DERIVED CD4+ T CELL EPITOPES ON B-LYMPHOCYTIC, BURKITT'S LYMPHOMA AND DENDRITIC CELLS"	Ralph	Steinman
Narlikar	Geeta		"The Regents of the University of California, San Francisco"		2002	MECHANISTIC INVESTIGATIONS INTO THE CHROMATIN REMODELING ACTIVITY OF THE HUMAN SWI/SNF COMPLEX	Peter	Walter
Notenboom	Valerie		Netherlands Cancer Institute	Antoni van Leeuwenhoek Hospital	2002	STRUCTURAL STUDIES ON THE UBIQUITIN LIGASE SCF[CDC4]	Titia	Sixma
Pardoux	Cecile		"The Regents of the University of California, San Francisco"		2002	TGF-B SIGNALING THROUGH PHOSPHATASES	Rik	Derynck
Rapoport	Aaron		University of Maryland	Greenbaum Cancer Center	2002	Autotransplantation Followed By Immunotherapy With Ex-Vivo Costimulated Autologous T-Cells: Using Chronic Myelogenous Leukemia (CML) As a Foundation for Developmental Studies In Multiple Myeloma (MM)	Judith	Karp
Rebel	Vivienne		Dana Farber Cancer Institute		2002	The Role Of Creb-binding Protein (cbp) In Normal And Leukemic Stem Cells	David	Livingston
Rollins	Robert		Columbia University	College of Physicians & Surgeons	2002	The Development of a Novel Method for Extracting Differentially Methylated Sequences From the Human Genome	Timothy	Bestor
Ross	Karen		National Institutes of Health	NIDDK	2002	CHARACTERIZATION OF TWO ANAPHASE REGULATORS FROM YEAST	Orna	Cohen-Fix
Ryoo	Hyung		New York University		2002	REGULATION OF APOPTOSIS IN DROSOPHILA BY THE PEANUT GENE	Hermann	Stellar
Schwacha	Anthony		University of Pittsburgh		2002	FUNCTIONAL RECONSTITUTION OF YEAST DNA REPLICATION FACTORS	Graham	Hatfull
Sekiguchi	JoAnn		University of Michigan	Department of Internal Medicine	2002	ROLES OF THE NON-HOMOLOGOUS END-JOINING PATHWAY AND CELL CYCLE CHECKPOINTS IN TUMORIGENESIS	Stephen	Weiss
Sesaki	Hiromi		Johns Hopkins University School of Medicine		2002	"Controlling Mitochondrial Shape, Number And Distribution"	Robert	Jensen
Shah	Neil		University of California at Los Angeles		2002	"MOLECULAR ASSESSMENT OF RESISTANCE MECHANISMS TO STI 571, A NOVEL BCR-ABL-SPECIFIC TYROSINE KINASE INHIBITOR."	Charles	Sawyers
Shilatifard	Ali		Stowers Institute for Medical Research		2002	THE ROLE OF TRANSCRIPTION FACTORS MLL AND ELL IN THE DEVELOPMENT OF HUMAN LEUKEMIA	William	Sly
Singer	Jeffrey		Brown University		2002	REGULATION OF THE G1/S TRANSITION IN MAMMALIAN CELLS BY TARGETED PROTEOLYSIS	Susan	Gerbi
Speck	Christian		Cold Spring Harbor Laboratory		2002	BIOCHEMICAL STUDIES ON THE INITIATION OF DNA REPLICATION IN EUKARYOTES	Bruce	Stillman
Sprague	Elizabeth		California Institute of Technology		2002	STRUCTURAL STUDIES OF THE HERPES SIMPLEX VIRUS IMMUNOGLOBULIN G RECEPTOR	Pamela	Bjorkman
Tansey	William		Cold Spring Harbor Laboratory		2002	UNDERSTANDING PROTEOLYSIS OF THE ONCOPROTEIN TRANSCRIPTION FACTOR MYC AND HOW THIS IS PERTURBED IN LYMPHOMA	Bruce	Stillman
Tergaonkar	Vinay		Salk Institute for Biological Studies		2002	ROLE OF I KAPPA B KINASE-2 (IKK2) IN LYMPHOCYTE DEVELOPMENT	Inder	Verma
Toutchkine	Alexei		Scripps Research Institute		2002	SPATIAL AND TEMPORAL CONTROL OF MAP KINASE PHOSPHORYLATION IN TRANSFORMATION AND METASTASIS	Klaus	Hahn
Walczak	Claire		Indiana University Medical Center		2002	MOLECULAR ANALYSIS OF KINETOCHORE-MICROTUBULE INTERACTIONS IN CELLS	Talmage	Bosin
Wang	Yanchang		Florida State University	College of Medicine	2002	FUNCTIONAL ANALYSIS OF HUMAN CMK1 IN DNA DAMAGE RESPONSE	David	Balkwill
Weiss	Eric		Northwestern University		2002	CORTICAL REGULATION OF CELL MORPHOGENESIS	Jonathan	Widom
Welcker	Markus		Fred Hutchinson Cancer Research Center		2002	IDENTIFICATION OF NOVEL CDK SUBSTRATES IN NORMAL AND MALIGNANT CELLS	Bruce	Clurman
Wu	Ting-Ting		University of California at Los Angeles	School of Medicine	2002	IDENTIFICATION AND FUNCTIONAL ANALYSES OF LATENT GENES OF MURINE GAMMAHERPESVIRUS-68	Ren	Sun
Zhang	Chengcheng		Whitehead Institute for Biomedical Research		2002	STUDIES OF THE SELF RENEWAL OF HEMATOPOIETIC STEM CELLS	Harvey	Lodish
Zorn	Emmanuel		Dana Farber Cancer Institute		2002	IDENTIFICATION OF GRAFT-VS-LEUKEMIA TARGET ANTIGENS	Jerome	Ritz
