APPT_ENTITY_ABBR	APPT_ENTITY_CHAIR_FACULTY_ID	APPT_ENTITY_ID	APPT_ENTITY_NAME	APPT_ENTITY_SCHOOL	FP_DEPT_CHAIR_DISPLAY_FLAG	FP_DEPT_CHAIR_DISPLAY_NAME
Medical Social Sciences	600776	323000	Medical Social Sciences	FSM	Y	Medical Social Sciences
IPR		612000	Institute for Policy Research	IPR		
Asher Center	608025	411000	Asher Center for the Study and Treatment of Depressive Orders	FSM		Asher Center for the Study and Treatment of Depressive Orders
Inst. Women's Health Rsch	605984	421000	Institute for Women's Health Research	FSM		
NUCATS	602019	420000	Northwestern University Clinical and Translational Sciences Institute (NUCATS)	FSM		Northwestern University Clinical and Translational Sciences Institute (NUCATS)
Radiation Oncology	603765	319500	Radiation Oncology	FSM	Y	Radiation Oncology
OME & Faculty Dev.	601079	502000	Medical Education and Faculty Development	FSM		Medical Education and Faculty Development
Med Humanities Bioethics	600786	503000	Medical Humanities and Bioethics	FSM		Medical Humanities and Bioethics
Dental School		601000	Dental School	Dental		
Kellogg		602000	Kellogg School of Management	Kellogg		
Law School		603000	School of Law	Law		
Medill		604000	Medill School of Journalism	Medill		
MEAS		605000	McCormick School of Engineering	MEAS		
SESP		606000	School of Education and Social Policy	SESP		
Communication		607000	School of Communication	Communication		
WCAS		608000	Weinberg College of Arts and Sciences	WCAS		
SCS		609000	School of Continuing Studies	SCS		
Provost's Office		610000	Provost's Office	Provost's Office		
Anesthesiology	605314	301000	Anesthesiology	FSM	Y	Anesthesiology
Buehler COA	601424	406000	Buehler Center on Aging	FSM		Buehler Center on Aging
CM Biology	601894	101000	Cell and Molecular Biology	FSM	Y	Cell and Molecular Biology
Ctr for Genetic Medicine	602909	402000	Center for Genetic Medicine	FSM		Center for Genetic Medicine
Dermatology	604139	302000	Dermatology	FSM	Y	Dermatology
Family Medicine		304000	Family and Community Medicine	FSM	Y	Family and Community Medicine
Feinberg Cardio Rsch	607417	305000	Feinberg Cardiovascular Research Institute	FSM		Feinberg Cardiovascular Research Institute
CHS-IPHAM		404000	Center for Healthcare Studies - Institute for Public Health and Medicine	FSM		Center for Healthcare Studies - Institute for Public Health and Medicine
Medicine	608119	307000	Medicine	FSM	Y	Medicine
Micro-Immunology	603022	102000	Microbiology-Immunology	FSM	Y	Microbiology-Immunology
Ob/Gyn	606312	310000	Obstetrics and Gynecology	FSM	Y	Obstetrics and Gynecology
NUIN	603849	409000	Northwestern University Institute of Neuroscience (NUIN)	FSM		
IBNAM	605354	410000	Institute for Bioengineering and Nanoscience in Advanced Medicine (IBNAM)	FSM		
MPBC	605063	103000	Molecular Pharmacology and Biological Chemistry	FSM	Y	Molecular Pharmacology and Biological Chemistry
CNADC	603665	403000	Cognitive Neurology and Alzheimer's Disease Center	FSM		Cognitive Neurology and Alzheimer's Disease Center
Orthopaedic Surgery	604831	313000	Orthopaedic Surgery	FSM	Y	Orthopaedic Surgery
Neurology	602761	308000	Ken and Ruth Davee Department of Neurology	FSM	Y	Neurology
Physical Therapy	601227	317000	Physical Therapy and Human Movement Sciences	FSM	Y	Physical Therapy and Human Movement Sciences
Psychiatry	608025	318000	Psychiatry and Behavioral Sciences	FSM	Y	Psychiatry and Behavioral Sciences
Lurie Cancer Center	604638	401000	Robert H. Lurie Comprehensive Cancer Center	FSM		Robert H. Lurie Comprehensive Cancer Center
Neurological Surgery	604092	309000	Neurological Surgery	FSM	Y	Neurological Surgery
Ophthalmology	609032	312000	Ophthalmology	FSM	Y	Ophthalmology
Otolaryngology	602752	314000	Otolaryngology - Head and Neck Surgery	FSM	Y	Otolaryngology - Head and Neck Surgery
Pathology	607695	201000	Pathology	FSM	Y	Pathology
Pediatrics	602011	316000	Pediatrics	FSM	Y	Pediatrics
P M & R	604676	315000	Physical Medicine and Rehabilitation	FSM	Y	Physical Medicine and Rehabilitation
Physiology	605395	104000	Physiology	FSM	Y	Physiology
Preventive Medicine	606511	202000	Preventive Medicine	FSM	Y	Preventive Medicine
Radiology	604722	319000	Radiology	FSM	Y	Radiology
Surgery	606501	320000	Surgery	FSM	Y	Surgery
Urology	604830	321000	Urology	FSM	Y	Urology
Administration	601079	504000	Administration	FSM		Administration
Emergency Medicine	600016	303000	Emergency Medicine	FSM	Y	Emergency Medicine
Center for Bioethics	606128	419000	Center for Bioethics, Science and Society	FSM		Center for Bioethics, Science and Society
NCCO	603037	422000	Northwestern University Comprehensive Center on Obesity	FSM		Northwestern University Comprehensive Center on Obesity
Comprehensive Transplant	600001	423000	Comprehensive Transplant Center	FSM		Comprehensive Transplant Center
Center for Global Health	603878	424000	Center for Global Health	FSM		Center for Global Health
Center for AIDS Research	605968	412000	Center for AIDS Research	FSM		Center for AIDS Research
Immunobiology Center	603739	408000	Interdepartmental Immunobiology Center	FMS		
CMRC	606523	413000	Children's Memorial Research Center (CMRC)	FSM		
ADMIN_FLAG	APPOINT_FLAG	CENTER_FLAG	DEPT_ID	DEPT_SEARCH_NAME	DEPT_WEB_ID	DIVISION_ID	DV_ABBR	DV_CAMPUS_ID	DV_LOCATION_ID	DV_NAME	DV_PHONE	DV_ROOM_NUMBER	DV_TYPE	DV_URL	LABEL_NAME	PICTURE_DIR	SAU_ID	SEARCH_NAME	WEB_ID
0	0	1	408000			408010	Immunobiology Center	1	113	Interdepartmental Immunobiology Center	312/503-7674	6-713		http://www.feinberg.northwestern.edu/depts/ibc/	Immunobiology Center			Immunobiology center	62701
0	1	1	404000		10230	404010	CHS-IPHAM	1	101	Center for Healthcare Studies - Institute for Public Health and Medicine	312-503-5500	10th Floor	Clinical	http://www.northwestern.edu/ihs/	CHS	ihs		Center for Healthcare Studies-IPHAM	62702
0	0	0	405000			405010	DGP	1	116	Driskill Graduate Program	312/503-1889	12-361		http://www.biology.northwestern.edu/igp	DGP			Driskill Graduate Program	62703
1	1	0	307000	Medicine	10150	307010	Medicine	1	129	Medicine	312/926-2118	3-150	Clinical	http://www.medicine.northwestern.edu/	Medicine	med-DOM	406600	Medicine	62704
0	0	0	307000		10150	307060	Med-Health Care Studies	1	129	Medicine-Center for Health Care Studies	312/695-5100	200	Clinical		Medicine:Health Care Studies			Health care studies center	62705
0	1	0	307000	Gastroenterology & Hepatology	10150	307090	Med-Gastro / Hepatology	1	129	Medicine-Gastroenterology and Hepatology	312/695-4065	1400	Clinical	http://www.medicine.northwestern.edu/divisions/gastroenterology/	Medicine:Gastroenterology & Hepatology	med-gastro	408200	Gastroenterology & Hepatology	62706
0	0	0	307000		10150	307100	Med-Gen. Clin. Rsch. Ctr.	1	102	Medicine-General Clinical Research Center	312/926-3192	10-760	Clinical	http://www.nucats.northwestern.edu/centers/ccr/resources/index.html	Clinical Research Center			General Clinical Research Center	62707
0	0	0	307000	Geriatrics	10150	307120	Med-Geriatrics	1	128	Medicine-Geriatrics	312/695-5287	630	Clinical	http://www.medicine.northwestern.edu/divisions/geriatric-medicine	Medicine:Geriatrics	med-geriatric	407600	Geriatrics	62708
0	0	0	307000	Hepatology	10150	307190	Med-Hepatology	1	129	Medicine-Hepatology	312/503-4667	1400	Clinical	http://www.medicine.northwestern.edu/divisions/hepatology/	Medicine:Hepatology	med-hepatology		Hepatology	62709
0	1	0	307000	Nephrology	10150	307160	Med-Nephrology	1	113	Medicine-Nephrology	312/908-8342	4-713	Clinical	http://www.medicine.northwestern.edu/divisions/nephrology-hypertension	Medicine:Nephrology	med-neph	409200	Nephrology	62710
0	1	0	307000	Rheumatology	10150	307030	Med-Rheumatology	1	137	Medicine-Rheumatology	312/503-8003	M-300	Clinical	http://www.medicine.northwestern.edu/divisions/rheumatology/	Medicine:Rheumatology	med-rheum	407000	Rheumatology	62711
0	0	0	307000		10150	307180	Med-VA Medicine	1		Medicine-VA Medicine					Med-VA Medicine			Medicine-VA Medicine	62712
0	1	0	102000		10300	102010	Micro-Immunology	1	114	Microbiology-Immunology	312/503-8230	6-447	Basic	http://bugs.mimnet.northwestern.edu/labs/	Micro-Immunology	micro	391900	Microbiology-immunology	62713
0	0	0	407000			407010	NCCR	1	130	Northwestern Center for Clinical Research	312/503-2300	1220			NCCR		447800	Northwestern Center for Clinical Research	62714
1	1	0	310000	Obstetrics and gynecology	10110	310010	Ob/Gyn	1	110	Obstetrics and Gynecology	312/472-3970	03-2304	Clinical	http://www.feinberg.northwestern.edu/obgyn/index.html	OB/GYN	obgyn-dept	422600	Obstetrics and gynecology	62715
0	1	1	409000			409010	NUIN	1	114	Northwestern University Institute of Neuroscience (NUIN)	312/503-4333	5-474	Basic	http://www.northwestern.edu/nuin/	NUIN			Neuroscience institute (NUIN)	62716
0	1	1	410000			410010	IBNAM	1	128	Institute for BioNanotechnology in Medicine (IBNAM)	312/503-0807	1058B	Basic	http://www.ibnam.northwestern.edu/	IBNAM			Bioengineering and nanoscience institute	62717
0	0	1	411000			411010	Asher Center	1	116	Asher Center for the Study and Treatment of Depressive Orders	312/503-9380	9-176			Asher Center			Depressive disorders center	62718
0	0	1	412000			412010	Center for AIDS Research	1	129	Center for AIDS Research	312/695-5085	200		http://aids.northwestern.edu/	Center for AIDS Research			AIDS Program	62719
0	0	1	413000			413010	CHCRC	3	300	Childrens Hospital of Chicago Research Center	773/868-8066	205		http://www.chicagochildrensresearch.org	CMRC			Childrens Hospital of Chicago Research Center (CHCRC)	62720
0	0	0	414000			414010	Medical Biomechanics	1	111	Medical Biomechanics	312/238-3919	1406			Medical Biomechanics			Medical biomechanics	62721
0	0	0	501000			501230	FSM-P&PR	1	100	FSM-Publications and Public Relations	312/503-8618	1312			FSM-P&PR			FSM-Publications and Public Relations	62722
0	1	0	314000	Dental Surgery	10310	314020	Otolaryn-Dental Surg	1	129	Otolaryngology-Dental Surgery	312/926-3264	1325	Clinical	http://www.oto-hns.northwestern.edu/	Otolaryngology:Dental Surgery	otolaryn-dental	430300	Dental Surgery	62723
0	0	0	314000		10310	314000	Otolaryngology Rollup	1	129	Otolaryngology-Rollup	312/695-8182	1325		http://www.oto-hns.northwestern.edu/	Otolaryngology-Rollup		430300	Otolaryngology-Rollup	62724
0	1	1	613000			613010	CLP	2	221	Chemistry of Life Processes Institute	847/467-2587		School	http://www.clp.northwestern.edu/	Chemistry of Life Processes Institute			Chemistry of Life Processes Institute	0
0	0	1	431300			431310	STIL	1	116	Simulation Technology and Immersive Learning Center (STIL)	312/503-7700



	18-142		http://simulation.northwestern.edu/default.aspx	STIL			Simulation Technology and Immersive Learning Center (STIL)	11
0	0	1	422000			422010	NCCO	1		Northwestern University Comprehensive Center on Obesity			Clinical	http://www.ncco.northwestern.edu/index.html	NCCO			Obesity Center	62725
0	1	1	612000			612010	IPR	2	220	Institute for Policy Research	847/491-3395		School	http://www.northwestern.edu/ipr/	Institute for Policy Research			Institute for Policy Research	62726
0	1	0	310000	Fertility Preservation	10110	310130	Ob/Gyn-Fertility Preserv	1	130	Obstetrics and Gynecology-Fertility Preservation	312/695-6600	1015	Clinical	http://www.feinberg.northwestern.edu/obgyn/index.html	OB/GYN:Fertility Preservation	obgyn-fertility		Obstetrics and Gynecology-Fertility Preservation	62727
0	1	0	323000	Medical Social Sciences	10340	323010	Medical Social Sciences	1	141	Medical Social Sciences	312/503-3303	27th Floor	Clinical	http://www.mss.northwestern.edu/ 	Medical Social Sciences	medical-social		Medical Social Sciences	62728
0	0	1	424000			424010	Ctr Global Health-IPHAM	1		Center for Global Health - Institute for Public Health and Medicine			Clinical	http://globalhealth.northwestern.edu/	Center for Global Health			Global Health Center-IPHAM	62729
0	0	1	423000			423010	Comprehensive Transplant	1		Comprehensive Transplant Center			Clinical	http://www.feinberg.northwestern.edu/transplant/index.html	Comprehensive Transplant Center			Transplant Center	62730
0	0	1	431100			431110	CMIDD	2	221	Center for Molecular Innovation and Drug Discovery	847/467-2629	Third Floor		http://www.cmidd.northwestern.edu/	Molecular Innovation and Drug Discovery			Center for Molecular Innovation and Drug Discovery	10
0	0	1	425000			425010	Reproductive Science			Center for Reproductive Science			Clinical	http://www.research.northwestern.edu/crs/	Center for Reproductive Science			Reproductive Science	62731
0	0	1	426000			426010	Cells to Society			Cells to Society			Clincial	http://www.northwestern.edu/ipr/c2s/index.html	Cells to Society			Cells to Society	62732
0	0	1	427000			427010	Brain Tumor Institute	1	104	The Northwestern Brain Tumor Institute	312/695-0990	20th floor		http://www.braintumorinstitute.org	The Northwestern Brain Tumor Institute			Brain Tumor Institute (NBTI)	62733
0	1	0	202000	Preventive medicine-health and Biomedical Informatics	10120	202020	PrevMed-Health&BiomedInfo	1	130	Preventive Medicine-Health and Biomedical Informatics	312/908-7914	1400	Clinical	http://informatics.northwestern.edu/hbmi/	PrevMed-Health & Biomedical Informatics	prevmed-bioinform		Preventive medicine-Health and Biomedical Informatics	62774
0	0	0	202000		10120	202000	Preventive Med-Rollup	1	130	Preventive Medicine-Rollup	312/908-7914	1400	Clinical	http://www.preventivemedicine.northwestern.edu/	Preventive Medicine-Rollup			Preventive medicine-Rollup	62775
0	0	1	431000			431010	NSRC			Northwestern Synchrotron Research Center	312/926-4000			http://www.dnd.aps.anl.gov/	Northwestern Synchrotron Research Center			Northwestern Synchrotron Research Center	62777
0	0	1	431200			431210	CBITs	1	130	Center for Behavioral Intervention Technologies (CBITs)	312/503-5387 	1220		http://cbits.northwestern.edu	CBITs			Center for Behavioral Intervention Technologies (CBITs)	12
0	0	1	431400			431410	CCNE			Center for Cancer Nanotechnology Excellence (CCNE) 	847/467-5335			http://www.nu-ccne.org/	CCNE			Center for Cancer Nanotechnology Excellence (CCNE) 	13
0	0	0	615000			615010	IPHAM	1		Institute for Public Health and Medicine (IPHAM)				http://www.feinberg.northwestern.edu/sites/ipham/	Institute for Public Health and Medicine			Institute for Public Health and Medicine (IPHAM)	
0	0	0	311000			311010	OCRT-Gen. Administration	1	100	Office of Clinical Research and Training-General Administration	312/503-1500	10th floor			OCRT-Gen. Administration			Office of Clinical Research and Training-General Administration	62734
0	0	0	311000			311090	OCRT-Internal CTO	1	100	Office of Clinical Research and Training-Internal CTO	312/503-1500	10th floor			OCRT-Internal CTO			Office of Clinical Research and Training-Internal CTO	62735
0	0	0	311000			311070	OCRT-Quality & Assurance	1	100	Office of Clinical Research and Training-Quality and Assurance	312/503-1500	10th floor			OCRT-Quality & Assurance			Office of Clinical Research and Training-Quality and Assurance	62736
0	0	0	311000			311050	OCRT-Recruitment	1	100	Office of Clinical Research and Training-Recruitment	312/503-1500	10th floor			OCRT-Recruitment			Office of Clinical Research and Training-Recruitment	62737
0	0	0	311000			311060	OCRT-Regulatory	1	100	Office of Clinical Research and Training-Regulatory	312/503-1500	10th floor			OCRT-Regulatory			Office of Clinical Research and Training-Regulatory	62738
0	0	0	311000			311000	OCRT-Rollup	1	100	Office of Clinical Research and Training-Rollup	312/503-1500	10th floor			OCRT-Rollup			Office of Clinical Research and Training-Rollup	62739
0	1	0	312000		10260	312010	Ophthalmology	1	128	Ophthalmology	312/908-8152	440	Clinical	http://www.feinberg.northwestern.edu/depts/ophthalmology/	Ophthalmology	ophthalmology	425900	Ophthalmology	62740
1	1	0	314000	Otolaryngology - head and neck surgery	10310	314010	Otolaryngology	1	129	Otolaryngology - Head and Neck Surgery	312/695-8182	1325	Clinical	http://www.oto-hns.northwestern.edu/	Otolaryngology	otolaryn	430300	Otolaryngology - head and neck surgery	62741
0	1	0	201000			201010	Pathology	1	116	Pathology	312/503-8144	3-140	Clinical	http://www.pathology.northwestern.edu/	Pathology	pathology	396400	Pathology	62742
1	1	0	316000	pediatrics/Other	10170	316010	Pediatrics	1	300	Pediatrics	312/227-4337	86	Clinical	http://www.pediatrics.northwestern.edu/index.html	Pediatrics	pediatrics	433200	Pediatrics	62743
0	1	0	315000		10270	315010	P M & R	1	100	Physical Medicine and Rehabilitation	312/503-3636	1022	Clinical	http://www.feinberg.northwestern.edu/sites/pmr/	P M & R	pmr	428100	Physical medicine and rehabilitation	62744
0	1	0	104000		10290	104010	Physiology	1	116	Physiology	312/503-0752	5-654	Basic	http://www.physio.northwestern.edu/	Physiology	physiology	401000	Physiology	62745
1	1	0	202000	Preventive medicine	10120	202010	Preventive Medicine	1	130	Preventive Medicine	312/908-7914	1400	Clinical	http://www.preventivemedicine.northwestern.edu/	Preventive Medicine	prevmed		Preventive medicine	62746
0	1	0	319000		10210	319010	Radiology	1	129	Radiology	312/695-5753	800	Clinical	http://www.radiology.northwestern.edu/	Radiology	radiology	443500	Radiology	62747
1	1	0	320000	surgery/Other	10100	320010	Surgery	1	103	Surgery	312/926-8060	3-150	Clinical	http://www.surgery.northwestern.edu/index.html	Surgery	surgery	435500	Surgery	62748
0	0	0	320000	Cardiothoracic surgery	10100	320020	Surg-Cardiothoracic	1	129	Surgery-Cardiothoracic	312/695-3121	650	Clinical	http://www.surgery.northwestern.edu/dos-divprog/cardiac/index.html 	Surgery:Cardiothoracic	surg-cardthor		Cardiothoracic surgery	62749
0	0	0	320000		10100	320030	Surg-Dental	1	103	Surgery-Dental	312/926-3264	2-210C	Clinical	http://www.surgery.northwestern.edu/index.html	Surgery:Dental	surg-dent		Dental surgery	62750
0	1	0	320000	Gastrointestinal and endocrine surgery	10100	320040	Surg-GI Endo	1	129	Surgery-Gastrointestinal and Endocrine	312/695-1419	650	Clinical	http://www.surgery.northwestern.edu/dos-divprog/gionc/index.html	Surgery:Gastro-Intestinal Surgery	surg-gastro		Gastrointestinal and endocrine surgery	62751
0	0	0	320000		10100	320050	Surg-Min.Invasive Surgery	1	103	Surgery-Minimally Invasive	312/926-8401	3-150	Clinical	http://www.surgery.northwestern.edu/index.html	Surgery:Minimal Invasive Surgery	surg-mininv		Surgery-minimally invasive	62752
0	0	0	320000		10100	320000	Surg Rollup	1		Surgery-Rollup				http://www.surgery.northwestern.edu/index.html	Surg-Rollup			Surgery-Rollup	62753
0	1	0	320000	Surgical oncology	10100	320070	Surg-Surgical Oncology	1	129	Surgery-Surgical Oncology	312/695-2534	650	Clinical	http://www.surgery.northwestern.edu/dos-divprog/gionc/index.html	Surgery:Surgical Oncology	surg-onco		Surgical oncology	62754
0	1	0	320000	Transplant surgery	10100	320080	Surg-Transplant	1	104	Surgery-Organ Transplantation	312/695-8900	17-200	Clinical	http://www.surgery.northwestern.edu/dos-divprog/transplant/index.html	Surgery:Transplant	surg-trans		Transplant surgery	62755
0	1	0	320000	Trauma/critical care surgery	10100	320090	Surg-Trauma/Critical Care	1	129	Surgery-Trauma/Critical Care	312/695-4835	650	Clinical	http://www.surgery.northwestern.edu/dos-divprog/trauma/index.html	Surgery:Trauma/Critical Care	surg-trauma		Trauma/critical care surgery	62756
0	1	0	321000		10160	321010	Urology	1	113	Urology	312/908-8145	16-703	Clinical	http://www.feinberg.northwestern.edu/depts/urology/	Urology	urology	441800	Urology	62757
0	0	0	501000			501075	FSM-Dean's Office	1	108	FSM-Dean's Office	312/503-0340	4-656			FSM-Dean's Office		459100	FSM-Dean's Office	62758
0	0	0	501000			501030	FSM-Admin Ops/Fac.Affairs	1	116	FSM-Administrative Operations/Faculty Affairs	312/503-8103	4-161			FSM-Admin Ops/Fac.Affairs		458800	FSM-Administrative Operations/Faculty Affairs	62759
0	1	1	421000			421010	Womens Health Rsrch Inst	1	138	Womens Health Research Institute		5-123	Basic	http://www.womenshealth.northwestern.edu/index.html	Womens Health Research Institute			Womens Health Research Institute	62760
0	0	0	415000			415010	Clin Hearing Sci Prog	1	114	Clinical Hearing Science Program	312/503-8920	12-565			Clinical Hearing Science Program		430500	Clinical Hearing Science Program	62761
0	0	0	419000			419010	Center for Bioethics	1	129	Center for Bioethics, Science and Society	312/926-2990	1260			Bioethics, Science and Society			Bioethics, Science and Society	62762
0	0	0	320000		10100	320110	Surg-Education	1		Surgery-Education			Clinical		Surgery:Education			Surgery Education	62763
0	1	0	320000	Breast Surgery	10100	320120	Surg-Breast Surgery	1	110	Surgery-Breast Surgery	312/472-4720	4-420	Clinical	http://www.surgery.northwestern.edu/divisions/breast/index.html	Surgery:Breast Surgery	surg-breast		Breast Surgery	62764
0	1	0	320000	Cardiac Surgery	10100	320130	Surg-Cardiac Surgery	1	129	Surgery-Cardiac Surgery		650	Clinical	http://www.surgery.northwestern.edu/dos-divprog/cardiac/	Surgery:Cardiac Surgery	surg-cardiac		Cardiac Surgery	62765
0	1	0	320000	Thoracic Surgery	10100	320140	Surg-Thoracic Surgery	1	129	Surgery-Thoracic Surgery		650	Clinical	http://www.surgery.northwestern.edu/dos-divprog/thoracic/	Surgery:Thoracic Surgery	surg-thor		Thoracic Surgery	62766
0	0	0	320000		10100	320150	Surg-Clinical Trials Unit	1		Surgery-Clinical Trials Unit			Clinical		Surgery:Clinical Trials Unit			Clinical Trials Unit	62767
0	1	0	319500		10220	319510	Radiation Oncology	1	129	Radiation Oncology		1820	Clinical	http://www.feinberg.northwestern.edu/depts/rad-oncology/index.html	Radiation Oncology	radiation-onco	497400	Radiation Oncology	62768
0	0	0	418000			418010	Rehab Engineering Rsrch	1	111	Rehabilitation Engineering Research	312/238-4637	1436	Clinical	http://www.northwestern.edu/pmr/	Rehabilitation Engineering Research		434200	Physical medicine and rehabilitation	62769
0	1	0	307000	Hospital Medicine	10150	307200	Med-Hospital Medicine	1	510	Medicine-Hospital Medicine	312/926-5924	16-738	Clinical	http://www.medicine.northwestern.edu/hospitalmedicine/	Medicine:Hospital Medicine	med-hospmed		Hospital Medicine	62770
0	1	1	420000			420010	NUCATS	1	101	Northwestern University Clinical and Translational Sciences Institute (NUCATS)	312-503-1709	11th floor	Clinical	http://www.nucats.northwestern.edu/index.html	NUCATS	nucats		NUCATS	62771
0	0	1	428000			428010	Center for Education	1	101	Center for Education in Medicine	312 503 9443	12th floor		http://www.feinberg.northwestern.edu/center-for-education/index.html	Center for Education in Medicine			Center for Education in Medicine	62772
0	0	1	429000			429010	Academy of Educators	1	101	Feinberg Academy of Medical Educators (FAME)	312 503 9443	12th floor		http://www.feinberg.northwestern.edu/center-for-education/index.html	Feinberg Academy for Medical Educators			Academy of Medical Educators	62773
0	0	1	430000			430010	Bluhm Institute	1	129	Bluhm Cardiovascular Institute	312/926-4000	1700			Bluhm Cardiovascular Institute			Bluhm Cardiovascular Institute	62776
0	0	1	614000			614010	Hugh Knowles Center	2		Hugh Knowles Center for Clinical and Basic Science in Hearing and Its Disorders				http://www.communication.northwestern.edu/departments/csd/research/hugh_knowles_center/	Hugh Knowles Center			Hugh Knowles Center	8
0	0	1	617000			617010	NICO	2		Northwestern Institute on Complex Systems				http://www.northwestern.edu/nico/	NICO			NICO	7
0	0	1	431500			431510	Ctr Behavior/Health-IPHAM	1	130	Center for Behavior and Health - Institute for Public Health and Medicine	312/503-0979	1220		http://www.feinberg.northwestern.edu/sites/ipham/centers/behavior-health.html	Center for Behavior and Health			Center for Behavior and Health-IPHAM	6
0	0	1	431600			431610	Ct Pop Hlth Sc-IPHAM	1	130	Center for Population Health Sciences - Institute for Public Health and Medicine	312/908-7914	1400		http://www.feinberg.northwestern.edu/sites/ipham/centers/population-health-sciences.html	Center for Population Health Sciences			Center for Population Health Sciences-IPHAM	5
0	0	1	431700			431710	Patient Ct Outcome-IPHAM	1	100	Center for Patient-Centered Outcomes - Institute for Public Health and Medicine	312/503-1725	729		http://www.feinberg.northwestern.edu/sites/ipham/centers/patient-centered-outcomes.html	Center for Patient-Centered Outcomes			Center for Patient-Centered Outcomes-IPHAM	4
0	0	1	431800			431810	Ctr Community Hlth-IPHAM	1	139	Center for Community Health - Institute for Public Health and Medicine		10th Floor		http://www.feinberg.northwestern.edu/sites/ipham/centers/community-health.html	Center for Community Health			Center for Community Health-IPHAM	3
0	0	1	431900			431910	Ct Educ Public Hlth-IPHAM	1	130	Center for Education in Public Health - Institute for Public Health and Medicine	312/908-7914	1400		http://www.feinberg.northwestern.edu/sites/ipham/education/index.html	Center for Education in Public Health			Center for Education in Public Health-IPHAM	9
0	0	1	432000			432010	Ct Engineer & Hlth-IPHAM	1	139	Center for Engineering and Health - Institute for Public Health and Medicine		10th Floor		http://www.feinberg.northwestern.edu/sites/ipham/centers/engineering-health.html	Center for Engineering and Health			Center for Engineering and Health-IPHAM	1
0	0	1	616000			616010	Ctr Translational Imaging	1		Center for Translational Imaging				http://www.cti.northwestern.edu/	Center for Translational Imaging			Center for Translational Imaging	2
0	0	1	618000			618010	NU-SDRC	1		Northwestern University Skin Disease Research Center (SDRC) 				http://skinresearch.northwestern.edu/index.html	NU-SDRC			NU-SDRC	14
0	0	1	619000			619010	CCM	1		Center for Comparative Medicine (CCM)				http://www.research.northwestern.edu/ccm/	CCM			CCM	15
